iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2023,Afghanistan,17152234636.8715,NY.GDP.MKTP.CD,gdp_current_usd
AFG,2022,Afghanistan,14497243872.1337,NY.GDP.MKTP.CD,gdp_current_usd
AFG,2021,Afghanistan,14259995441.0759,NY.GDP.MKTP.CD,gdp_current_usd
AFG,2020,Afghanistan,19955929052.1496,NY.GDP.MKTP.CD,gdp_current_usd
AFG,2019,Afghanistan,18799444490.1128,NY.GDP.MKTP.CD,gdp_current_usd
AFG,2018,Afghanistan,18053222687.4126,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2024,Albania,27046429296.6673,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2023,Albania,23491242727.4082,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2022,Albania,19017247013.8821,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2021,Albania,18031989573.0294,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2020,Albania,15241458744.5927,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2019,Albania,15585111614.0376,NY.GDP.MKTP.CD,gdp_current_usd
ALB,2018,Albania,15379508329.7568,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2024,Algeria,269322281664.773,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2023,Algeria,247923887214.655,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2022,Algeria,225581644702.568,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2021,Algeria,186231205262.082,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2020,Algeria,164873415325.201,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2019,Algeria,193459662090.677,NY.GDP.MKTP.CD,gdp_current_usd
DZA,2018,Algeria,194554483655.528,NY.GDP.MKTP.CD,gdp_current_usd
ASM,2022,American Samoa,871000000,NY.GDP.MKTP.CD,gdp_current_usd
ASM,2021,American Samoa,750000000,NY.GDP.MKTP.CD,gdp_current_usd
ASM,2020,American Samoa,721000000,NY.GDP.MKTP.CD,gdp_current_usd
ASM,2019,American Samoa,647000000,NY.GDP.MKTP.CD,gdp_current_usd
ASM,2018,American Samoa,639000000,NY.GDP.MKTP.CD,gdp_current_usd
AND,2024,Andorra,4039842405.48117,NY.GDP.MKTP.CD,gdp_current_usd
AND,2023,Andorra,3785065524.84754,NY.GDP.MKTP.CD,gdp_current_usd
AND,2022,Andorra,3380611694.73392,NY.GDP.MKTP.CD,gdp_current_usd
AND,2021,Andorra,3324648075.56293,NY.GDP.MKTP.CD,gdp_current_usd
AND,2020,Andorra,2891002460.29153,NY.GDP.MKTP.CD,gdp_current_usd
AND,2019,Andorra,3155150255.91195,NY.GDP.MKTP.CD,gdp_current_usd
AND,2018,Andorra,3218418631.67579,NY.GDP.MKTP.CD,gdp_current_usd
AGO,2024,Angola,100998916781.079,NY.GDP.MKTP.CD,gdp_current_usd
AGO,2023,Angola,107167747140.127,NY.GDP.MKTP.CD,gdp_current_usd
AGO,2022,Angola,131212208930.344,NY.GDP.MKTP.CD,gdp_current_usd
AGO,2021,Angola,79559543805.2963,NY.GDP.MKTP.CD,gdp_current_usd
