iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2023,Afghanistan,2201.72290691677,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AFG,2022,Afghanistan,2122.99581512663,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AFG,2021,Afghanistan,2144.16657002819,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AFG,2020,Afghanistan,2561.98176058622,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AFG,2019,Afghanistan,2583.48533239877,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AFG,2018,Afghanistan,2432.27670083336,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2024,Albania,26701.6749563776,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2023,Albania,24822.3543089995,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2022,Albania,22138.4182857345,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2021,Albania,18212.8702466686,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2020,Albania,16287.6097663649,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2019,Albania,16442.1259393239,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
ALB,2018,Albania,15055.2807998752,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2024,Algeria,17620.7423956126,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2023,Algeria,16824.4879034627,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2022,Algeria,15836.0944370321,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2021,Algeria,14496.8654697299,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2020,Algeria,12676.5130564294,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2019,Algeria,13892.5333446205,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
DZA,2018,Algeria,13727.1266357859,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AND,2024,Andorra,74939.4746038578,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
AND,2023,Andorra,71730.668682165,NY.GDP.PCAP.PP.CD,gdp_per_capita_ppp
