iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2024,Afghanistan,42647492,SP.POP.TOTL,population
AFG,2023,Afghanistan,41454761,SP.POP.TOTL,population
AFG,2022,Afghanistan,40578842,SP.POP.TOTL,population
AFG,2021,Afghanistan,40000412,SP.POP.TOTL,population
AFG,2020,Afghanistan,39068979,SP.POP.TOTL,population
AFG,2019,Afghanistan,37856121,SP.POP.TOTL,population
AFG,2018,Afghanistan,36743039,SP.POP.TOTL,population
ALB,2024,Albania,2377128,SP.POP.TOTL,population
ALB,2023,Albania,2414095,SP.POP.TOTL,population
ALB,2022,Albania,2451636,SP.POP.TOTL,population
ALB,2021,Albania,2489762,SP.POP.TOTL,population
ALB,2020,Albania,2528480,SP.POP.TOTL,population
ALB,2019,Albania,2567801,SP.POP.TOTL,population
ALB,2018,Albania,2607733,SP.POP.TOTL,population
DZA,2024,Algeria,46814308,SP.POP.TOTL,population
DZA,2023,Algeria,46164219,SP.POP.TOTL,population
DZA,2022,Algeria,45477389,SP.POP.TOTL,population
DZA,2021,Algeria,44761099,SP.POP.TOTL,population
DZA,2020,Algeria,44042091,SP.POP.TOTL,population
DZA,2019,Algeria,43294546,SP.POP.TOTL,population
DZA,2018,Algeria,42505035,SP.POP.TOTL,population
ASM,2024,American Samoa,46765,SP.POP.TOTL,population
ASM,2023,American Samoa,47521,SP.POP.TOTL,population
ASM,2022,American Samoa,48342,SP.POP.TOTL,population
ASM,2021,American Samoa,49225,SP.POP.TOTL,population
ASM,2020,American Samoa,49761,SP.POP.TOTL,population
ASM,2019,American Samoa,50209,SP.POP.TOTL,population
ASM,2018,American Samoa,50908,SP.POP.TOTL,population
AND,2024,Andorra,81938,SP.POP.TOTL,population
AND,2023,Andorra,80856,SP.POP.TOTL,population
AND,2022,Andorra,79705,SP.POP.TOTL,population
AND,2021,Andorra,78364,SP.POP.TOTL,population
AND,2020,Andorra,77380,SP.POP.TOTL,population
AND,2019,Andorra,76474,SP.POP.TOTL,population
AND,2018,Andorra,75162,SP.POP.TOTL,population
AGO,2024,Angola,37885849,SP.POP.TOTL,population
AGO,2023,Angola,36749906,SP.POP.TOTL,population
AGO,2022,Angola,35635029,SP.POP.TOTL,population
AGO,2021,Angola,34532429,SP.POP.TOTL,population
AGO,2020,Angola,33451132,SP.POP.TOTL,population
AGO,2019,Angola,32375632,SP.POP.TOTL,population
AGO,2018,Angola,31297155,SP.POP.TOTL,population
ATG,2024,Antigua and Barbuda,93772,SP.POP.TOTL,population
ATG,2023,Antigua and Barbuda,93316,SP.POP.TOTL,population
ATG,2022,Antigua and Barbuda,92840,SP.POP.TOTL,population
ATG,2021,Antigua and Barbuda,92349,SP.POP.TOTL,population
ATG,2020,Antigua and Barbuda,91846,SP.POP.TOTL,population
ATG,2019,Antigua and Barbuda,91364,SP.POP.TOTL,population
ATG,2018,Antigua and Barbuda,90926,SP.POP.TOTL,population
ARG,2024,Argentina,45696159,SP.POP.TOTL,population
ARG,2023,Argentina,45538401,SP.POP.TOTL,population
ARG,2022,Argentina,45407904,SP.POP.TOTL,population
ARG,2021,Argentina,45312281,SP.POP.TOTL,population
ARG,2020,Argentina,45191965,SP.POP.TOTL,population
ARG,2019,Argentina,44973465,SP.POP.TOTL,population
ARG,2018,Argentina,44654882,SP.POP.TOTL,population
ARM,2024,Armenia,3033500,SP.POP.TOTL,population
ARM,2023,Armenia,2964300,SP.POP.TOTL,population
ARM,2022,Armenia,2969200,SP.POP.TOTL,population
ARM,2021,Armenia,2962300,SP.POP.TOTL,population
ARM,2020,Armenia,2961500,SP.POP.TOTL,population
ARM,2019,Armenia,2962500,SP.POP.TOTL,population
ARM,2018,Armenia,2969000,SP.POP.TOTL,population
ABW,2024,Aruba,107995,SP.POP.TOTL,population
ABW,2023,Aruba,107359,SP.POP.TOTL,population
ABW,2022,Aruba,107310,SP.POP.TOTL,population
ABW,2021,Aruba,107700,SP.POP.TOTL,population
ABW,2020,Aruba,108587,SP.POP.TOTL,population
ABW,2019,Aruba,109203,SP.POP.TOTL,population
ABW,2018,Aruba,108908,SP.POP.TOTL,population
AUS,2024,Australia,27196812,SP.POP.TOTL,population
AUS,2023,Australia,26659922,SP.POP.TOTL,population
AUS,2022,Australia,26018721,SP.POP.TOTL,population
AUS,2021,Australia,25685412,SP.POP.TOTL,population
AUS,2020,Australia,25649248,SP.POP.TOTL,population
AUS,2019,Australia,25334826,SP.POP.TOTL,population
AUS,2018,Australia,24963258,SP.POP.TOTL,population
AUT,2024,Austria,9177982,SP.POP.TOTL,population
AUT,2023,Austria,9131761,SP.POP.TOTL,population
AUT,2022,Austria,9041851,SP.POP.TOTL,population
AUT,2021,Austria,8955797,SP.POP.TOTL,population
AUT,2020,Austria,8916864,SP.POP.TOTL,population
AUT,2019,Austria,8879920,SP.POP.TOTL,population
AUT,2018,Austria,8840521,SP.POP.TOTL,population
AZE,2024,Azerbaijan,10202830,SP.POP.TOTL,population
AZE,2023,Azerbaijan,10153958,SP.POP.TOTL,population
AZE,2022,Azerbaijan,10141756,SP.POP.TOTL,population
AZE,2021,Azerbaijan,10137750,SP.POP.TOTL,population
AZE,2020,Azerbaijan,10093121,SP.POP.TOTL,population
AZE,2019,Azerbaijan,10024283,SP.POP.TOTL,population
AZE,2018,Azerbaijan,9939771,SP.POP.TOTL,population
BHS,2024,"Bahamas, The",401283,SP.POP.TOTL,population
BHS,2023,"Bahamas, The",399440,SP.POP.TOTL,population
BHS,2022,"Bahamas, The",397538,SP.POP.TOTL,population
BHS,2021,"Bahamas, The",396373,SP.POP.TOTL,population
BHS,2020,"Bahamas, The",395863,SP.POP.TOTL,population
BHS,2019,"Bahamas, The",394675,SP.POP.TOTL,population
BHS,2018,"Bahamas, The",392717,SP.POP.TOTL,population
BHR,2024,Bahrain,1588670,SP.POP.TOTL,population
BHR,2023,Bahrain,1577059,SP.POP.TOTL,population
BHR,2022,Bahrain,1524693,SP.POP.TOTL,population
BHR,2021,Bahrain,1504365,SP.POP.TOTL,population
BHR,2020,Bahrain,1472204,SP.POP.TOTL,population
BHR,2019,Bahrain,1483756,SP.POP.TOTL,population
BHR,2018,Bahrain,1503091,SP.POP.TOTL,population
BGD,2024,Bangladesh,173562364,SP.POP.TOTL,population
BGD,2023,Bangladesh,171466990,SP.POP.TOTL,population
BGD,2022,Bangladesh,169384897,SP.POP.TOTL,population
BGD,2021,Bangladesh,167658854,SP.POP.TOTL,population
BGD,2020,Bangladesh,166298024,SP.POP.TOTL,population
BGD,2019,Bangladesh,164913055,SP.POP.TOTL,population
BGD,2018,Bangladesh,163523103,SP.POP.TOTL,population
BRB,2024,Barbados,282467,SP.POP.TOTL,population
BRB,2023,Barbados,282336,SP.POP.TOTL,population
BRB,2022,Barbados,282318,SP.POP.TOTL,population
BRB,2021,Barbados,282147,SP.POP.TOTL,population
BRB,2020,Barbados,281698,SP.POP.TOTL,population
BRB,2019,Barbados,281207,SP.POP.TOTL,population
BRB,2018,Barbados,280711,SP.POP.TOTL,population
BLR,2024,Belarus,9132629,SP.POP.TOTL,population
BLR,2023,Belarus,9178298,SP.POP.TOTL,population
BLR,2022,Belarus,9228071,SP.POP.TOTL,population
BLR,2021,Belarus,9302585,SP.POP.TOTL,population
BLR,2020,Belarus,9379952,SP.POP.TOTL,population
BLR,2019,Belarus,9419758,SP.POP.TOTL,population
BLR,2018,Belarus,9438785,SP.POP.TOTL,population
BEL,2024,Belgium,11858610,SP.POP.TOTL,population
BEL,2023,Belgium,11779946,SP.POP.TOTL,population
BEL,2022,Belgium,11680210,SP.POP.TOTL,population
BEL,2021,Belgium,11586195,SP.POP.TOTL,population
BEL,2020,Belgium,11538604,SP.POP.TOTL,population
BEL,2019,Belgium,11488980,SP.POP.TOTL,population
BEL,2018,Belgium,11427054,SP.POP.TOTL,population
BLZ,2024,Belize,417072,SP.POP.TOTL,population
BLZ,2023,Belize,411106,SP.POP.TOTL,population
BLZ,2022,Belize,402733,SP.POP.TOTL,population
BLZ,2021,Belize,395346,SP.POP.TOTL,population
BLZ,2020,Belize,390812,SP.POP.TOTL,population
BLZ,2019,Belize,385829,SP.POP.TOTL,population
BLZ,2018,Belize,380226,SP.POP.TOTL,population
BEN,2024,Benin,14462724,SP.POP.TOTL,population
BEN,2023,Benin,14111034,SP.POP.TOTL,population
BEN,2022,Benin,13759501,SP.POP.TOTL,population
BEN,2021,Benin,13413417,SP.POP.TOTL,population
BEN,2020,Benin,13070169,SP.POP.TOTL,population
BEN,2019,Benin,12726755,SP.POP.TOTL,population
BEN,2018,Benin,12383347,SP.POP.TOTL,population
BMU,2024,Bermuda,64636,SP.POP.TOTL,population
BMU,2023,Bermuda,64698,SP.POP.TOTL,population
BMU,2022,Bermuda,64749,SP.POP.TOTL,population
BMU,2021,Bermuda,64648,SP.POP.TOTL,population
BMU,2020,Bermuda,64382,SP.POP.TOTL,population
BMU,2019,Bermuda,64107,SP.POP.TOTL,population
BMU,2018,Bermuda,63831,SP.POP.TOTL,population
BTN,2024,Bhutan,791524,SP.POP.TOTL,population
BTN,2023,Bhutan,786385,SP.POP.TOTL,population
BTN,2022,Bhutan,780914,SP.POP.TOTL,population
BTN,2021,Bhutan,775442,SP.POP.TOTL,population
BTN,2020,Bhutan,770006,SP.POP.TOTL,population
BTN,2019,Bhutan,764824,SP.POP.TOTL,population
BTN,2018,Bhutan,759759,SP.POP.TOTL,population
BOL,2024,Bolivia,12413315,SP.POP.TOTL,population
BOL,2023,Bolivia,12244159,SP.POP.TOTL,population
BOL,2022,Bolivia,12077154,SP.POP.TOTL,population
BOL,2021,Bolivia,11937360,SP.POP.TOTL,population
BOL,2020,Bolivia,11816299,SP.POP.TOTL,population
