iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2025,Afghanistan,13.351,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2024,Afghanistan,13.687,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2023,Afghanistan,14.008,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2022,Afghanistan,14.1,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2021,Afghanistan,12.006,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2020,Afghanistan,11.71,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2019,Afghanistan,11.187,SL.UEM.TOTL.ZS,unemployment_rate
AFG,2018,Afghanistan,11.192,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2025,Albania,10.926,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2024,Albania,10.689,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2023,Albania,10.669,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2022,Albania,10.785,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2021,Albania,11.474,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2020,Albania,11.639,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2019,Albania,11.466,SL.UEM.TOTL.ZS,unemployment_rate
ALB,2018,Albania,12.304,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2025,Algeria,11.633,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2024,Algeria,11.655,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2023,Algeria,11.645,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2022,Algeria,12.382,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2021,Algeria,13.656,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2020,Algeria,14.08,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2019,Algeria,12.302,SL.UEM.TOTL.ZS,unemployment_rate
DZA,2018,Algeria,12.112,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2025,Angola,14.108,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2024,Angola,14.02,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2023,Angola,14.051,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2022,Angola,14.124,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2021,Angola,15.799,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2020,Angola,16.696,SL.UEM.TOTL.ZS,unemployment_rate
AGO,2019,Angola,16.497,SL.UEM.TOTL.ZS,unemployment_rate
