iso3,year,country_name,value,wb_indicator,canonical_name
ALB,2023,Albania,2888.86725667383,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ALB,2022,Albania,2840.96007727085,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ALB,2021,Albania,2834.40746545252,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ALB,2020,Albania,2642.69442510916,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ALB,2019,Albania,2553.9362279242,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ALB,2018,Albania,2502.55681850864,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2023,Algeria,1827.95251014644,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2022,Algeria,1756.58721304339,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2021,Algeria,1681.48239613152,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2020,Algeria,1591.97709300405,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2019,Algeria,1651.17795668766,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
DZA,2018,Algeria,1568.47300560981,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2023,Angola,379.103010494775,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2022,Angola,373.031827755774,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2021,Angola,394.730414127544,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2020,Angola,439.11817393803,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2019,Angola,411.266102851676,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
AGO,2018,Angola,370.736573340292,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2024,Argentina,2822.09714825266,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2023,Argentina,2821.77233232234,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2022,Argentina,2833.11909750338,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2021,Argentina,2942.91077511635,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2020,Argentina,2827.42739776861,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2019,Argentina,2876.71852724712,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARG,2018,Argentina,2971.34364838317,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
ARM,2023,Armenia,2386.06079006848,EG.USE.ELEC.KH.PC,electric_consumption_kwh_pc
