iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2021,Afghanistan,20600980,BX.KLT.DINV.CD.WD,fdi_net_inflows
AFG,2020,Afghanistan,12970147.9832,BX.KLT.DINV.CD.WD,fdi_net_inflows
AFG,2019,Afghanistan,23404553.647249,BX.KLT.DINV.CD.WD,fdi_net_inflows
AFG,2018,Afghanistan,119435105.715177,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2024,Albania,1710279512.48091,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2023,Albania,1620982550.54309,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2022,Albania,1441381891.41694,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2021,Albania,1218586452.37157,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2020,Albania,1069744879.65452,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2019,Albania,1201022154.46643,BX.KLT.DINV.CD.WD,fdi_net_inflows
ALB,2018,Albania,1204383363.60476,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2024,Algeria,1226414841.37248,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2023,Algeria,1214378660.66465,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2022,Algeria,241796029.580125,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2021,Algeria,869194073.014935,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2020,Algeria,1143918159.62918,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2019,Algeria,1381200049.59264,BX.KLT.DINV.CD.WD,fdi_net_inflows
DZA,2018,Algeria,1466116068.03411,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2024,Andorra,268353295.972631,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2023,Andorra,275778939.21399,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2022,Andorra,593981421.298943,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2021,Andorra,484821990.091782,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2020,Andorra,272687591.327234,BX.KLT.DINV.CD.WD,fdi_net_inflows
AND,2019,Andorra,422216126.281171,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2024,Angola,-1109663097.06424,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2023,Angola,-2119632185.51477,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2022,Angola,-6598652652.09389,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2021,Angola,-4355116552.71588,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2020,Angola,-1866468113.07453,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2019,Angola,-4098478747.63754,BX.KLT.DINV.CD.WD,fdi_net_inflows
AGO,2018,Angola,-6456076413.12033,BX.KLT.DINV.CD.WD,fdi_net_inflows
ATG,2024,Antigua and Barbuda,245739889.629629,BX.KLT.DINV.CD.WD,fdi_net_inflows
ATG,2023,Antigua and Barbuda,293031029.629629,BX.KLT.DINV.CD.WD,fdi_net_inflows
ATG,2022,Antigua and Barbuda,305804215.555555,BX.KLT.DINV.CD.WD,fdi_net_inflows
