iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2023,Afghanistan,15.2924823859473,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AFG,2022,Afghanistan,16.7,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AFG,2021,Afghanistan,13,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AFG,2020,Afghanistan,11.5,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2024,Albania,24.9514965978049,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2023,Albania,23.4392861436214,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2022,Albania,26.8023654741294,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2021,Albania,28.6722669213413,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2020,Albania,26.2183472454095,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2019,Albania,25.2875256073276,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ALB,2018,Albania,27.1252994132038,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2024,Algeria,41.098075603421,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2023,Algeria,37.6168765143841,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2022,Algeria,35.0979536992694,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2021,Algeria,39.146266285101,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2020,Algeria,42.9493576825015,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2019,Algeria,44.6295617875004,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
DZA,2018,Algeria,46.4568594962626,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2024,Angola,10.4110011927256,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2023,Angola,12.3076318613212,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2022,Angola,14.1769859541901,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2021,Angola,15.9851660648707,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2020,Angola,19.6439562319095,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2019,Angola,24.6757736004733,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AGO,2018,Angola,24.2002490160737,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2024,Argentina,15.8378002382311,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2023,Argentina,19.3822632919135,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2022,Argentina,17.3855861358427,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2021,Argentina,18.0762892471421,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2020,Argentina,14.4151557410245,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2019,Argentina,14.2100303992191,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARG,2018,Argentina,16.6138850156371,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2024,Armenia,23.8327452429021,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2023,Armenia,22.9413054452812,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2022,Armenia,22.2551321660516,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2021,Armenia,22.9638762261581,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2020,Armenia,19.663832943599,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2019,Armenia,17.4085294108567,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ARM,2018,Armenia,22.3997393267701,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2024,Aruba,25.1538409611884,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2023,Aruba,22.335385480803,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2022,Aruba,19.8080671623567,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2021,Aruba,20.2449106732973,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2020,Aruba,23.9492805852762,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2019,Aruba,22.6154511785237,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
ABW,2018,Aruba,22.4017184437014,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2024,Australia,24.323541758006,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2023,Australia,23.873104248989,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2022,Australia,23.6997957124432,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2021,Australia,22.8801883097412,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2020,Australia,22.3449300806534,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2019,Australia,23.2971815966264,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUS,2018,Australia,24.5546475824653,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2024,Austria,23.5771489456415,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2023,Austria,26.0041363951547,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2022,Austria,29.2367940014427,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2021,Austria,27.6569430631097,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2020,Austria,25.6530737541266,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2019,Austria,25.5090080970816,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AUT,2018,Austria,25.8982762235252,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2024,Azerbaijan,21.0824224099037,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2023,Azerbaijan,17.7431851628057,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2022,Azerbaijan,12.0037141895326,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2021,Azerbaijan,17.0785981597198,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2020,Azerbaijan,23.6659543305763,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2019,Azerbaijan,20.3077798481492,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
AZE,2018,Azerbaijan,20.1294761024821,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2024,"Bahamas, The",26.8063766358446,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2023,"Bahamas, The",22.8631485204272,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2022,"Bahamas, The",23.8155546600656,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2021,"Bahamas, The",24.4404752014622,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2020,"Bahamas, The",23.0710591323143,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2019,"Bahamas, The",25.3844995104316,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
BHS,2018,"Bahamas, The",25.6388854218672,NE.GDI.TOTL.ZS,gross_capital_formation_pct_gdp
