iso3,year,country_name,value,wb_indicator,canonical_name
AFG,2019,Afghanistan,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AFG,2018,Afghanistan,0,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ALB,2022,Albania,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ALB,2021,Albania,0.08,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ALB,2020,Albania,0.04,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ALB,2019,Albania,0.02,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ALB,2018,Albania,0.02,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AND,2022,Andorra,12.56,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AND,2021,Andorra,21.09,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AND,2020,Andorra,21.3,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AND,2019,Andorra,30.06,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AND,2018,Andorra,26.38,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AGO,2022,Angola,0.02,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AGO,2021,Angola,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AGO,2020,Angola,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AGO,2019,Angola,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
AGO,2018,Angola,0.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ATG,2019,Antigua and Barbuda,0.7,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ATG,2018,Antigua and Barbuda,1.24,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARG,2022,Argentina,0.03,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARG,2021,Argentina,0.03,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARG,2020,Argentina,0.07,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARG,2019,Argentina,0.07,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARG,2018,Argentina,0.06,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARM,2022,Armenia,9.78,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARM,2021,Armenia,0.51,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARM,2020,Armenia,0.43,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARM,2019,Armenia,0.28,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ARM,2018,Armenia,0.32,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ABW,2021,Aruba,0.65,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ABW,2020,Aruba,1.01,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ABW,2019,Aruba,1.38,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
ABW,2018,Aruba,1.33,TX.VAL.ICTG.ZS.UN,ict_goods_exports_pct
