iso3,year,country_name,value,wb_indicator,canonical_name
ALB,2021,Albania,23,IP.PAT.RESD,patent_applications_residents
ALB,2019,Albania,4,IP.PAT.RESD,patent_applications_residents
ALB,2018,Albania,15,IP.PAT.RESD,patent_applications_residents
DZA,2021,Algeria,268,IP.PAT.RESD,patent_applications_residents
DZA,2020,Algeria,163,IP.PAT.RESD,patent_applications_residents
DZA,2019,Algeria,113,IP.PAT.RESD,patent_applications_residents
DZA,2018,Algeria,152,IP.PAT.RESD,patent_applications_residents
AND,2021,Andorra,3,IP.PAT.RESD,patent_applications_residents
AND,2020,Andorra,3,IP.PAT.RESD,patent_applications_residents
AND,2019,Andorra,3,IP.PAT.RESD,patent_applications_residents
AND,2018,Andorra,1,IP.PAT.RESD,patent_applications_residents
AGO,2019,Angola,2,IP.PAT.RESD,patent_applications_residents
AGO,2018,Angola,6,IP.PAT.RESD,patent_applications_residents
ATG,2018,Antigua and Barbuda,5,IP.PAT.RESD,patent_applications_residents
ARG,2021,Argentina,406,IP.PAT.RESD,patent_applications_residents
ARG,2020,Argentina,930,IP.PAT.RESD,patent_applications_residents
ARG,2019,Argentina,442,IP.PAT.RESD,patent_applications_residents
ARG,2018,Argentina,425,IP.PAT.RESD,patent_applications_residents
ARM,2021,Armenia,40,IP.PAT.RESD,patent_applications_residents
ARM,2020,Armenia,63,IP.PAT.RESD,patent_applications_residents
ARM,2019,Armenia,112,IP.PAT.RESD,patent_applications_residents
ARM,2018,Armenia,101,IP.PAT.RESD,patent_applications_residents
AUS,2021,Australia,2966,IP.PAT.RESD,patent_applications_residents
AUS,2020,Australia,2368,IP.PAT.RESD,patent_applications_residents
AUS,2019,Australia,2637,IP.PAT.RESD,patent_applications_residents
AUS,2018,Australia,2757,IP.PAT.RESD,patent_applications_residents
AUT,2021,Austria,1872,IP.PAT.RESD,patent_applications_residents
AUT,2020,Austria,2124,IP.PAT.RESD,patent_applications_residents
AUT,2019,Austria,2066,IP.PAT.RESD,patent_applications_residents
AUT,2018,Austria,2039,IP.PAT.RESD,patent_applications_residents
AZE,2021,Azerbaijan,119,IP.PAT.RESD,patent_applications_residents
AZE,2020,Azerbaijan,90,IP.PAT.RESD,patent_applications_residents
AZE,2019,Azerbaijan,147,IP.PAT.RESD,patent_applications_residents
AZE,2018,Azerbaijan,155,IP.PAT.RESD,patent_applications_residents
BHR,2021,Bahrain,3,IP.PAT.RESD,patent_applications_residents
BHR,2020,Bahrain,7,IP.PAT.RESD,patent_applications_residents
BHR,2019,Bahrain,4,IP.PAT.RESD,patent_applications_residents
BHR,2018,Bahrain,11,IP.PAT.RESD,patent_applications_residents
BGD,2021,Bangladesh,74,IP.PAT.RESD,patent_applications_residents
BGD,2020,Bangladesh,40,IP.PAT.RESD,patent_applications_residents
BGD,2019,Bangladesh,68,IP.PAT.RESD,patent_applications_residents
BGD,2018,Bangladesh,69,IP.PAT.RESD,patent_applications_residents
BRB,2021,Barbados,73,IP.PAT.RESD,patent_applications_residents
BRB,2020,Barbados,29,IP.PAT.RESD,patent_applications_residents
BLR,2021,Belarus,276,IP.PAT.RESD,patent_applications_residents
BLR,2020,Belarus,317,IP.PAT.RESD,patent_applications_residents
BLR,2019,Belarus,298,IP.PAT.RESD,patent_applications_residents
BLR,2018,Belarus,453,IP.PAT.RESD,patent_applications_residents
BEL,2021,Belgium,799,IP.PAT.RESD,patent_applications_residents
BEL,2020,Belgium,862,IP.PAT.RESD,patent_applications_residents
BEL,2019,Belgium,876,IP.PAT.RESD,patent_applications_residents
BEL,2018,Belgium,892,IP.PAT.RESD,patent_applications_residents
BTN,2019,Bhutan,1,IP.PAT.RESD,patent_applications_residents
BTN,2018,Bhutan,1,IP.PAT.RESD,patent_applications_residents
BOL,2021,Bolivia,5,IP.PAT.RESD,patent_applications_residents
BOL,2020,Bolivia,8,IP.PAT.RESD,patent_applications_residents
BIH,2021,Bosnia and Herzegovina,53,IP.PAT.RESD,patent_applications_residents
BIH,2020,Bosnia and Herzegovina,50,IP.PAT.RESD,patent_applications_residents
BIH,2019,Bosnia and Herzegovina,45,IP.PAT.RESD,patent_applications_residents
BIH,2018,Bosnia and Herzegovina,84,IP.PAT.RESD,patent_applications_residents
BWA,2021,Botswana,3,IP.PAT.RESD,patent_applications_residents
BWA,2020,Botswana,2,IP.PAT.RESD,patent_applications_residents
BWA,2019,Botswana,2,IP.PAT.RESD,patent_applications_residents
BRA,2021,Brazil,4666,IP.PAT.RESD,patent_applications_residents
BRA,2020,Brazil,5280,IP.PAT.RESD,patent_applications_residents
BRA,2019,Brazil,5464,IP.PAT.RESD,patent_applications_residents
BRA,2018,Brazil,4980,IP.PAT.RESD,patent_applications_residents
BRN,2021,Brunei Darussalam,2,IP.PAT.RESD,patent_applications_residents
BRN,2020,Brunei Darussalam,5,IP.PAT.RESD,patent_applications_residents
BRN,2019,Brunei Darussalam,8,IP.PAT.RESD,patent_applications_residents
BRN,2018,Brunei Darussalam,26,IP.PAT.RESD,patent_applications_residents
BGR,2021,Bulgaria,165,IP.PAT.RESD,patent_applications_residents
BGR,2020,Bulgaria,239,IP.PAT.RESD,patent_applications_residents
BGR,2019,Bulgaria,186,IP.PAT.RESD,patent_applications_residents
BGR,2018,Bulgaria,180,IP.PAT.RESD,patent_applications_residents
BDI,2020,Burundi,2,IP.PAT.RESD,patent_applications_residents
BDI,2018,Burundi,2,IP.PAT.RESD,patent_applications_residents
CPV,2021,Cabo Verde,1,IP.PAT.RESD,patent_applications_residents
CPV,2020,Cabo Verde,1,IP.PAT.RESD,patent_applications_residents
CPV,2018,Cabo Verde,3,IP.PAT.RESD,patent_applications_residents
KHM,2018,Cambodia,1,IP.PAT.RESD,patent_applications_residents
CAN,2021,Canada,4710,IP.PAT.RESD,patent_applications_residents
CAN,2020,Canada,4452,IP.PAT.RESD,patent_applications_residents
CAN,2019,Canada,4238,IP.PAT.RESD,patent_applications_residents
CAN,2018,Canada,4349,IP.PAT.RESD,patent_applications_residents
CHL,2021,Chile,402,IP.PAT.RESD,patent_applications_residents
CHL,2020,Chile,372,IP.PAT.RESD,patent_applications_residents
CHL,2019,Chile,438,IP.PAT.RESD,patent_applications_residents
CHL,2018,Chile,406,IP.PAT.RESD,patent_applications_residents
CHN,2021,China,1426644,IP.PAT.RESD,patent_applications_residents
CHN,2020,China,1344817,IP.PAT.RESD,patent_applications_residents
CHN,2019,China,1243568,IP.PAT.RESD,patent_applications_residents
CHN,2018,China,1393815,IP.PAT.RESD,patent_applications_residents
COL,2021,Colombia,432,IP.PAT.RESD,patent_applications_residents
COL,2020,Colombia,369,IP.PAT.RESD,patent_applications_residents
COL,2019,Colombia,422,IP.PAT.RESD,patent_applications_residents
COL,2018,Colombia,415,IP.PAT.RESD,patent_applications_residents
COD,2020,"Congo, Dem. Rep.",72,IP.PAT.RESD,patent_applications_residents
COD,2019,"Congo, Dem. Rep.",42,IP.PAT.RESD,patent_applications_residents
COD,2018,"Congo, Dem. Rep.",44,IP.PAT.RESD,patent_applications_residents
CRI,2021,Costa Rica,15,IP.PAT.RESD,patent_applications_residents
CRI,2020,Costa Rica,12,IP.PAT.RESD,patent_applications_residents
CRI,2019,Costa Rica,16,IP.PAT.RESD,patent_applications_residents
CRI,2018,Costa Rica,8,IP.PAT.RESD,patent_applications_residents
HRV,2021,Croatia,77,IP.PAT.RESD,patent_applications_residents
HRV,2020,Croatia,117,IP.PAT.RESD,patent_applications_residents
HRV,2019,Croatia,195,IP.PAT.RESD,patent_applications_residents
HRV,2018,Croatia,121,IP.PAT.RESD,patent_applications_residents
CUB,2021,Cuba,21,IP.PAT.RESD,patent_applications_residents
CUB,2020,Cuba,33,IP.PAT.RESD,patent_applications_residents
CUB,2019,Cuba,27,IP.PAT.RESD,patent_applications_residents
CUB,2018,Cuba,29,IP.PAT.RESD,patent_applications_residents
CYP,2021,Cyprus,1,IP.PAT.RESD,patent_applications_residents
CYP,2020,Cyprus,2,IP.PAT.RESD,patent_applications_residents
CYP,2019,Cyprus,4,IP.PAT.RESD,patent_applications_residents
CYP,2018,Cyprus,4,IP.PAT.RESD,patent_applications_residents
CZE,2021,Czechia,541,IP.PAT.RESD,patent_applications_residents
CZE,2020,Czechia,673,IP.PAT.RESD,patent_applications_residents
CZE,2019,Czechia,765,IP.PAT.RESD,patent_applications_residents
CZE,2018,Czechia,678,IP.PAT.RESD,patent_applications_residents
DNK,2021,Denmark,1090,IP.PAT.RESD,patent_applications_residents
DNK,2020,Denmark,1261,IP.PAT.RESD,patent_applications_residents
DNK,2019,Denmark,1351,IP.PAT.RESD,patent_applications_residents
DNK,2018,Denmark,1262,IP.PAT.RESD,patent_applications_residents
DJI,2021,Djibouti,3,IP.PAT.RESD,patent_applications_residents
DOM,2021,Dominican Republic,7,IP.PAT.RESD,patent_applications_residents
DOM,2020,Dominican Republic,10,IP.PAT.RESD,patent_applications_residents
DOM,2019,Dominican Republic,23,IP.PAT.RESD,patent_applications_residents
DOM,2018,Dominican Republic,17,IP.PAT.RESD,patent_applications_residents
ECU,2021,Ecuador,35,IP.PAT.RESD,patent_applications_residents
ECU,2020,Ecuador,33,IP.PAT.RESD,patent_applications_residents
ECU,2019,Ecuador,29,IP.PAT.RESD,patent_applications_residents
ECU,2018,Ecuador,34,IP.PAT.RESD,patent_applications_residents
EGY,2021,"Egypt, Arab Rep.",881,IP.PAT.RESD,patent_applications_residents
EGY,2020,"Egypt, Arab Rep.",978,IP.PAT.RESD,patent_applications_residents
