iso3,year,country_name,value,wb_indicator,canonical_name
ALB,2022,Albania,0.19997,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ALB,2021,Albania,0.18998,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
DZA,2024,Algeria,0.44395,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
DZA,2023,Algeria,0.37787,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AND,2022,Andorra,0.15818,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2023,Argentina,0.60111,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2022,Argentina,0.54951,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2021,Argentina,0.5236,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2020,Argentina,0.54126,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2019,Argentina,0.47813,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARG,2018,Argentina,0.4883,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2024,Armenia,0.2861,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2023,Armenia,0.1821,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2022,Armenia,0.20955,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2021,Armenia,0.20557,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2020,Armenia,0.2092,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2019,Armenia,0.17854,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
ARM,2018,Armenia,0.18876,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUS,2021,Australia,1.85783,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUS,2019,Australia,1.82826,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2023,Austria,3.25517,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2022,Austria,3.17775,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2021,Austria,3.25565,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2020,Austria,3.20758,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2019,Austria,3.14405,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AUT,2018,Austria,3.10828,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2024,Azerbaijan,0.20778,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2023,Azerbaijan,0.1816,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2022,Azerbaijan,0.1513,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2021,Azerbaijan,0.20836,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2020,Azerbaijan,0.2239,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2019,Azerbaijan,0.20013,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
AZE,2018,Azerbaijan,0.18416,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BHR,2024,Bahrain,0.19327,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2024,Belarus,0.5872,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2023,Belarus,0.57348,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2022,Belarus,0.47477,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2021,Belarus,0.45981,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2020,Belarus,0.53901,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2019,Belarus,0.57733,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BLR,2018,Belarus,0.60443,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2023,Belgium,3.27235,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2022,Belgium,3.19592,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2021,Belgium,3.40589,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2020,Belgium,3.36823,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2019,Belgium,3.15154,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BEL,2018,Belgium,2.86365,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BMU,2020,Bermuda,0.22546,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BMU,2019,Bermuda,0.26451,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BMU,2018,Bermuda,0.22851,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BTN,2024,Bhutan,0.09979,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BTN,2023,Bhutan,0.10787,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BOL,2021,Bolivia,0.06308,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BOL,2019,Bolivia,0.06643,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2024,Bosnia and Herzegovina,0.21437,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2023,Bosnia and Herzegovina,0.18853,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2022,Bosnia and Herzegovina,0.18743,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2021,Bosnia and Herzegovina,0.19035,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2020,Bosnia and Herzegovina,0.20325,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2019,Bosnia and Herzegovina,0.19001,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BIH,2018,Bosnia and Herzegovina,0.19199,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2023,Brazil,1.1938,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2022,Brazil,1.18873,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2021,Brazil,1.13371,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2020,Brazil,1.21907,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2019,Brazil,1.15115,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
BRA,2018,Brazil,1.15016,GB.XPD.RSDV.GD.ZS,rd_expenditure_pct_gdp
