iso3,year,country_name,value,wb_indicator,canonical_name
ABW,2018,Aruba,1.1629372,CC.EST,control_of_corruption
ADO,2018,Andorra,1.1732244,CC.EST,control_of_corruption
AFG,2018,Afghanistan,-1.5398439,CC.EST,control_of_corruption
AGO,2018,Angola,-1.1817819999999999,CC.EST,control_of_corruption
AIA,2018,Anguilla,1.1732244,CC.EST,control_of_corruption
ALB,2018,Albania,-0.5871088999999999,CC.EST,control_of_corruption
ARE,2018,United Arab Emirates,1.0948106,CC.EST,control_of_corruption
ARG,2018,Argentina,-0.0057354,CC.EST,control_of_corruption
ARM,2018,Armenia,-0.1642391,CC.EST,control_of_corruption
ASM,2018,American Samoa,1.7972711,CC.EST,control_of_corruption
ATG,2018,Antigua and Barbuda,0.2262187,CC.EST,control_of_corruption
AUS,2018,Australia,1.7686469,CC.EST,control_of_corruption
AUT,2018,Austria,1.6348091,CC.EST,control_of_corruption
AZE,2018,Azerbaijan,-0.9065044,CC.EST,control_of_corruption
BDI,2018,Burundi,-1.4646424999999998,CC.EST,control_of_corruption
BEL,2018,Belgium,1.4543602999999998,CC.EST,control_of_corruption
BEN,2018,Benin,-0.29214219999999996,CC.EST,control_of_corruption
BFA,2018,Burkina Faso,-0.1575363,CC.EST,control_of_corruption
BGD,2018,Bangladesh,-1.0964787,CC.EST,control_of_corruption
BGR,2018,Bulgaria,-0.1893944,CC.EST,control_of_corruption
BHR,2018,Bahrain,-0.140961,CC.EST,control_of_corruption
BHS,2018,"Bahamas, The",1.1027809,CC.EST,control_of_corruption
BIH,2018,Bosnia and Herzegovina,-0.6404386,CC.EST,control_of_corruption
BLR,2018,Belarus,-0.1272022,CC.EST,control_of_corruption
BLZ,2018,Belize,-0.1082321,CC.EST,control_of_corruption
BMU,2018,Bermuda,1.1732244,CC.EST,control_of_corruption
BOL,2018,Bolivia,-0.8237458,CC.EST,control_of_corruption
BRA,2018,Brazil,-0.407628,CC.EST,control_of_corruption
BRB,2018,Barbados,1.1350977,CC.EST,control_of_corruption
BRN,2018,Brunei Darussalam,1.2159731,CC.EST,control_of_corruption
BTN,2018,Bhutan,1.4519305999999998,CC.EST,control_of_corruption
BWA,2018,Botswana,0.851239,CC.EST,control_of_corruption
CAF,2018,Central African Republic,-1.22089,CC.EST,control_of_corruption
CAN,2018,Canada,1.8073526,CC.EST,control_of_corruption
CHE,2018,Switzerland,2.2937762,CC.EST,control_of_corruption
CHL,2018,Chile,1.1121229,CC.EST,control_of_corruption
CHN,2018,China,-0.0701512,CC.EST,control_of_corruption
CIV,2018,Côte d’Ivoire,-0.48316899999999996,CC.EST,control_of_corruption
CMR,2018,Cameroon,-1.1162626,CC.EST,control_of_corruption
COD,2018,"Congo, Dem. Rep.",-1.5315596,CC.EST,control_of_corruption
COG,2018,"Congo, Rep.",-1.3693693999999998,CC.EST,control_of_corruption
COL,2018,Colombia,-0.3185939,CC.EST,control_of_corruption
COM,2018,Comoros,-1.0235349999999999,CC.EST,control_of_corruption
CPV,2018,Cabo Verde,0.8724586,CC.EST,control_of_corruption
CRI,2018,Costa Rica,0.6496945,CC.EST,control_of_corruption
CUB,2018,Cuba,-0.0111422,CC.EST,control_of_corruption
CYM,2018,Cayman Islands,0.6032059,CC.EST,control_of_corruption
CYP,2018,Cyprus,0.6608594999999999,CC.EST,control_of_corruption
CZE,2018,Czechia,0.6140583,CC.EST,control_of_corruption
DEU,2018,Germany,1.9178103,CC.EST,control_of_corruption
DJI,2018,Djibouti,-0.8215555999999999,CC.EST,control_of_corruption
DMA,2018,Dominica,0.5097887999999999,CC.EST,control_of_corruption
DNK,2018,Denmark,2.1580954,CC.EST,control_of_corruption
DOM,2018,Dominican Republic,-0.8443735,CC.EST,control_of_corruption
DZA,2018,Algeria,-0.5385135999999999,CC.EST,control_of_corruption
ECU,2018,Ecuador,-0.6184242999999999,CC.EST,control_of_corruption
EGY,2018,"Egypt, Arab Rep.",-0.4749757,CC.EST,control_of_corruption
ERI,2018,Eritrea,-1.4338129,CC.EST,control_of_corruption
ESP,2018,Spain,0.7455086999999999,CC.EST,control_of_corruption
