iso3,year,country_name,value,wb_indicator,canonical_name
ABW,2018,Aruba,0.2985983,PV.STD.ERR,political_stability_se
ADO,2018,Andorra,0.36498749999999996,PV.STD.ERR,political_stability_se
AFG,2018,Afghanistan,0.2564806,PV.STD.ERR,political_stability_se
AGO,2018,Angola,0.2242436,PV.STD.ERR,political_stability_se
AIA,2018,Anguilla,0.3382293,PV.STD.ERR,political_stability_se
ALB,2018,Albania,0.24518969999999998,PV.STD.ERR,political_stability_se
ARE,2018,United Arab Emirates,0.23949689999999998,PV.STD.ERR,political_stability_se
ARG,2018,Argentina,0.23949689999999998,PV.STD.ERR,political_stability_se
ARM,2018,Armenia,0.2501539,PV.STD.ERR,political_stability_se
ASM,2018,American Samoa,0.41535,PV.STD.ERR,political_stability_se
ATG,2018,Antigua and Barbuda,0.3000825,PV.STD.ERR,political_stability_se
AUS,2018,Australia,0.227402,PV.STD.ERR,political_stability_se
AUT,2018,Austria,0.2441342,PV.STD.ERR,political_stability_se
AZE,2018,Azerbaijan,0.2501539,PV.STD.ERR,political_stability_se
BDI,2018,Burundi,0.24624569999999998,PV.STD.ERR,political_stability_se
BEL,2018,Belgium,0.2441342,PV.STD.ERR,political_stability_se
BEN,2018,Benin,0.24624569999999998,PV.STD.ERR,political_stability_se
BFA,2018,Burkina Faso,0.2358314,PV.STD.ERR,political_stability_se
BGD,2018,Bangladesh,0.24518969999999998,PV.STD.ERR,political_stability_se
BGR,2018,Bulgaria,0.23949689999999998,PV.STD.ERR,political_stability_se
BHR,2018,Bahrain,0.2501539,PV.STD.ERR,political_stability_se
BHS,2018,"Bahamas, The",0.2633913,PV.STD.ERR,political_stability_se
BIH,2018,Bosnia and Herzegovina,0.2515862,PV.STD.ERR,political_stability_se
BLR,2018,Belarus,0.24971359999999998,PV.STD.ERR,political_stability_se
BLZ,2018,Belize,0.2713692,PV.STD.ERR,political_stability_se
BMU,2018,Bermuda,0.3382293,PV.STD.ERR,political_stability_se
BOL,2018,Bolivia,0.24518969999999998,PV.STD.ERR,political_stability_se
BRA,2018,Brazil,0.22364009999999998,PV.STD.ERR,political_stability_se
BRB,2018,Barbados,0.2569781,PV.STD.ERR,political_stability_se
BRN,2018,Brunei Darussalam,0.2639083,PV.STD.ERR,political_stability_se
BTN,2018,Bhutan,0.2569578,PV.STD.ERR,political_stability_se
BWA,2018,Botswana,0.2358314,PV.STD.ERR,political_stability_se
CAF,2018,Central African Republic,0.2508293,PV.STD.ERR,political_stability_se
CAN,2018,Canada,0.2441342,PV.STD.ERR,political_stability_se
CHE,2018,Switzerland,0.24903329999999999,PV.STD.ERR,political_stability_se
CHL,2018,Chile,0.23949689999999998,PV.STD.ERR,political_stability_se
CHN,2018,China,0.24642309999999998,PV.STD.ERR,political_stability_se
CIV,2018,Côte d’Ivoire,0.2358314,PV.STD.ERR,political_stability_se
CMR,2018,Cameroon,0.2358314,PV.STD.ERR,political_stability_se
COD,2018,"Congo, Dem. Rep.",0.2242436,PV.STD.ERR,political_stability_se
COG,2018,"Congo, Rep.",0.24448899999999998,PV.STD.ERR,political_stability_se
COK,2018,Cook Islands,0.5331819,PV.STD.ERR,political_stability_se
COL,2018,Colombia,0.23949689999999998,PV.STD.ERR,political_stability_se
COM,2018,Comoros,0.2799025,PV.STD.ERR,political_stability_se
CPV,2018,Cabo Verde,0.2512947,PV.STD.ERR,political_stability_se
CRI,2018,Costa Rica,0.24518969999999998,PV.STD.ERR,political_stability_se
CUB,2018,Cuba,0.2549636,PV.STD.ERR,political_stability_se
CYM,2018,Cayman Islands,0.3477148,PV.STD.ERR,political_stability_se
CYP,2018,Cyprus,0.24903329999999999,PV.STD.ERR,political_stability_se
CZE,2018,Czechia,0.23949689999999998,PV.STD.ERR,political_stability_se
DEU,2018,Germany,0.2441342,PV.STD.ERR,political_stability_se
DJI,2018,Djibouti,0.2508293,PV.STD.ERR,political_stability_se
DMA,2018,Dominica,0.3000825,PV.STD.ERR,political_stability_se
DNK,2018,Denmark,0.2441342,PV.STD.ERR,political_stability_se
DOM,2018,Dominican Republic,0.24518969999999998,PV.STD.ERR,political_stability_se
DZA,2018,Algeria,0.2402385,PV.STD.ERR,political_stability_se
ECU,2018,Ecuador,0.24518969999999998,PV.STD.ERR,political_stability_se
EGY,2018,"Egypt, Arab Rep.",0.2358314,PV.STD.ERR,political_stability_se
ERI,2018,Eritrea,0.25882,PV.STD.ERR,political_stability_se
