iso3,year,country_name,value,wb_indicator,canonical_name
ABW,2018,Aruba,0.9845005,RQ.EST,regulatory_quality
ADO,2018,Andorra,1.3467972,RQ.EST,regulatory_quality
AFG,2018,Afghanistan,-1.3029823,RQ.EST,regulatory_quality
AGO,2018,Angola,-1.0624392999999999,RQ.EST,regulatory_quality
AIA,2018,Anguilla,0.8732078999999999,RQ.EST,regulatory_quality
ALB,2018,Albania,0.1139598,RQ.EST,regulatory_quality
ARE,2018,United Arab Emirates,1.079234,RQ.EST,regulatory_quality
ARG,2018,Argentina,-0.19013349999999998,RQ.EST,regulatory_quality
ARM,2018,Armenia,0.2852478,RQ.EST,regulatory_quality
ASM,2018,American Samoa,-0.0739706,RQ.EST,regulatory_quality
ATG,2018,Antigua and Barbuda,0.484595,RQ.EST,regulatory_quality
AUS,2018,Australia,1.828177,RQ.EST,regulatory_quality
AUT,2018,Austria,1.5307119999999999,RQ.EST,regulatory_quality
AZE,2018,Azerbaijan,-0.2005079,RQ.EST,regulatory_quality
BDI,2018,Burundi,-0.9758328,RQ.EST,regulatory_quality
BEL,2018,Belgium,1.2683788,RQ.EST,regulatory_quality
BEN,2018,Benin,-0.45192459999999995,RQ.EST,regulatory_quality
BFA,2018,Burkina Faso,-0.42376389999999997,RQ.EST,regulatory_quality
BGD,2018,Bangladesh,-0.7854912,RQ.EST,regulatory_quality
BGR,2018,Bulgaria,0.48163459999999997,RQ.EST,regulatory_quality
BHR,2018,Bahrain,0.4964201,RQ.EST,regulatory_quality
BHS,2018,"Bahamas, The",0.1415783,RQ.EST,regulatory_quality
BIH,2018,Bosnia and Herzegovina,-0.3157976,RQ.EST,regulatory_quality
BLR,2018,Belarus,-0.7883245,RQ.EST,regulatory_quality
BLZ,2018,Belize,-0.6630634999999999,RQ.EST,regulatory_quality
BMU,2018,Bermuda,0.8732078999999999,RQ.EST,regulatory_quality
BOL,2018,Bolivia,-0.8485465,RQ.EST,regulatory_quality
BRA,2018,Brazil,-0.24429199999999998,RQ.EST,regulatory_quality
BRB,2018,Barbados,0.42215769999999997,RQ.EST,regulatory_quality
BRN,2018,Brunei Darussalam,0.8702445999999999,RQ.EST,regulatory_quality
BTN,2018,Bhutan,-0.0472384,RQ.EST,regulatory_quality
BWA,2018,Botswana,0.5568633,RQ.EST,regulatory_quality
CAF,2018,Central African Republic,-1.3677626999999999,RQ.EST,regulatory_quality
CAN,2018,Canada,1.642282,RQ.EST,regulatory_quality
CHE,2018,Switzerland,1.8048586999999998,RQ.EST,regulatory_quality
CHL,2018,Chile,1.1753875,RQ.EST,regulatory_quality
CHN,2018,China,-0.0905581,RQ.EST,regulatory_quality
CIV,2018,Côte d’Ivoire,-0.297267,RQ.EST,regulatory_quality
CMR,2018,Cameroon,-0.7746014999999999,RQ.EST,regulatory_quality
COD,2018,"Congo, Dem. Rep.",-1.2952622,RQ.EST,regulatory_quality
COG,2018,"Congo, Rep.",-1.1717606,RQ.EST,regulatory_quality
COL,2018,Colombia,0.10885399999999999,RQ.EST,regulatory_quality
COM,2018,Comoros,-1.2410959,RQ.EST,regulatory_quality
CPV,2018,Cabo Verde,-0.20702969999999998,RQ.EST,regulatory_quality
CRI,2018,Costa Rica,0.6513804,RQ.EST,regulatory_quality
CUB,2018,Cuba,-1.2250246,RQ.EST,regulatory_quality
CYM,2018,Cayman Islands,1.0785257,RQ.EST,regulatory_quality
CYP,2018,Cyprus,0.9434583999999999,RQ.EST,regulatory_quality
CZE,2018,Czechia,1.1466245,RQ.EST,regulatory_quality
DEU,2018,Germany,1.6795514999999999,RQ.EST,regulatory_quality
DJI,2018,Djibouti,-0.7398709,RQ.EST,regulatory_quality
DMA,2018,Dominica,0.159295,RQ.EST,regulatory_quality
DNK,2018,Denmark,1.8428455,RQ.EST,regulatory_quality
DOM,2018,Dominican Republic,-0.1446846,RQ.EST,regulatory_quality
DZA,2018,Algeria,-1.0402376,RQ.EST,regulatory_quality
ECU,2018,Ecuador,-0.8243339,RQ.EST,regulatory_quality
EGY,2018,"Egypt, Arab Rep.",-0.7426752999999999,RQ.EST,regulatory_quality
ERI,2018,Eritrea,-1.9132827,RQ.EST,regulatory_quality
ESP,2018,Spain,0.8836957,RQ.EST,regulatory_quality
EST,2018,Estonia,1.431181,RQ.EST,regulatory_quality
ETH,2018,Ethiopia,-0.8463421999999999,RQ.EST,regulatory_quality
FIN,2018,Finland,1.8525188,RQ.EST,regulatory_quality
FJI,2018,Fiji,-0.2004155,RQ.EST,regulatory_quality
FRA,2018,France,1.2678981,RQ.EST,regulatory_quality
FSM,2018,"Micronesia, Fed. Sts.",-0.7713626,RQ.EST,regulatory_quality
GAB,2018,Gabon,-0.7564955999999999,RQ.EST,regulatory_quality
GBR,2018,United Kingdom,1.6748823,RQ.EST,regulatory_quality
GEO,2018,Georgia,0.8011621999999999,RQ.EST,regulatory_quality
GHA,2018,Ghana,-0.16882049999999998,RQ.EST,regulatory_quality
GIN,2018,Guinea,-0.8028236999999999,RQ.EST,regulatory_quality
GMB,2018,"Gambia, The",-0.7118009,RQ.EST,regulatory_quality
GNB,2018,Guinea-Bissau,-1.2523992,RQ.EST,regulatory_quality
GNQ,2018,Equatorial Guinea,-1.4958505,RQ.EST,regulatory_quality
GRC,2018,Greece,0.2867976,RQ.EST,regulatory_quality
GRD,2018,Grenada,-0.1478545,RQ.EST,regulatory_quality
GRL,2018,Greenland,1.5091118,RQ.EST,regulatory_quality
GTM,2018,Guatemala,-0.3907315,RQ.EST,regulatory_quality
GUF,2018,French Guiana,1.3749940999999999,RQ.EST,regulatory_quality
GUM,2018,Guam,-0.0739706,RQ.EST,regulatory_quality
GUY,2018,Guyana,-0.4646567,RQ.EST,regulatory_quality
HKG,2018,"Hong Kong SAR, China",2.2141902,RQ.EST,regulatory_quality
HND,2018,Honduras,-0.4794427,RQ.EST,regulatory_quality
HRV,2018,Croatia,0.3955931,RQ.EST,regulatory_quality
HTI,2018,Haiti,-1.2417981999999999,RQ.EST,regulatory_quality
HUN,2018,Hungary,0.4420607,RQ.EST,regulatory_quality
IDN,2018,Indonesia,0.07345879999999999,RQ.EST,regulatory_quality
IND,2018,India,-0.1555625,RQ.EST,regulatory_quality
IRL,2018,Ireland,1.6485933,RQ.EST,regulatory_quality
IRN,2018,"Iran, Islamic Rep.",-1.2929956,RQ.EST,regulatory_quality
IRQ,2018,Iraq,-1.1611810999999999,RQ.EST,regulatory_quality
ISL,2018,Iceland,1.4402955,RQ.EST,regulatory_quality
ISR,2018,Israel,1.163545,RQ.EST,regulatory_quality
ITA,2018,Italy,0.5602676999999999,RQ.EST,regulatory_quality
JAM,2018,Jamaica,0.1473187,RQ.EST,regulatory_quality
JEY,2018,"Jersey, Channel Islands",0.9226095999999999,RQ.EST,regulatory_quality
JOR,2018,Jordan,0.0851019,RQ.EST,regulatory_quality
JPN,2018,Japan,1.364542,RQ.EST,regulatory_quality
KAZ,2018,Kazakhstan,0.0552752,RQ.EST,regulatory_quality
KEN,2018,Kenya,-0.2993553,RQ.EST,regulatory_quality
KGZ,2018,Kyrgyz Republic,-0.3502337,RQ.EST,regulatory_quality
KHM,2018,Cambodia,-0.5908086,RQ.EST,regulatory_quality
KIR,2018,Kiribati,-0.6772777,RQ.EST,regulatory_quality
KNA,2018,St. Kitts and Nevis,0.48429249999999996,RQ.EST,regulatory_quality
KOR,2018,"Korea, Rep.",0.9569194,RQ.EST,regulatory_quality
KWT,2018,Kuwait,0.0185723,RQ.EST,regulatory_quality
LAO,2018,Lao PDR,-0.7927044999999999,RQ.EST,regulatory_quality
LBN,2018,Lebanon,-0.47046109999999997,RQ.EST,regulatory_quality
LBR,2018,Liberia,-0.8639309,RQ.EST,regulatory_quality
LBY,2018,Libya,-2.0627355,RQ.EST,regulatory_quality
LCA,2018,St. Lucia,0.29405909999999996,RQ.EST,regulatory_quality
LIE,2018,Liechtenstein,1.6559665,RQ.EST,regulatory_quality
LKA,2018,Sri Lanka,-0.1897983,RQ.EST,regulatory_quality
LSO,2018,Lesotho,-0.5168768,RQ.EST,regulatory_quality
LTU,2018,Lithuania,1.0635820999999999,RQ.EST,regulatory_quality
LUX,2018,Luxembourg,1.7344218999999998,RQ.EST,regulatory_quality
LVA,2018,Latvia,1.0176262999999999,RQ.EST,regulatory_quality
MAC,2018,"Macao SAR, China",1.5266096,RQ.EST,regulatory_quality
MAR,2018,Morocco,-0.1157961,RQ.EST,regulatory_quality
MCO,2018,Monaco,1.3467972,RQ.EST,regulatory_quality
MDA,2018,Moldova,-0.1859583,RQ.EST,regulatory_quality
MDG,2018,Madagascar,-0.8901794,RQ.EST,regulatory_quality
MDV,2018,Maldives,-0.2269273,RQ.EST,regulatory_quality
MEX,2018,Mexico,-0.0031766999999999997,RQ.EST,regulatory_quality
MHL,2018,Marshall Islands,-0.7985966,RQ.EST,regulatory_quality
MKD,2018,North Macedonia,0.3988409,RQ.EST,regulatory_quality
MLI,2018,Mali,-0.6149817,RQ.EST,regulatory_quality
MLT,2018,Malta,1.2462056,RQ.EST,regulatory_quality
MMR,2018,Myanmar,-0.8166314,RQ.EST,regulatory_quality
MNE,2018,Montenegro,0.29257079999999996,RQ.EST,regulatory_quality
MNG,2018,Mongolia,0.0263885,RQ.EST,regulatory_quality
MOZ,2018,Mozambique,-0.7313974999999999,RQ.EST,regulatory_quality
MRT,2018,Mauritania,-0.7617925,RQ.EST,regulatory_quality
MTQ,2018,Martinique,1.1100024,RQ.EST,regulatory_quality
MUS,2018,Mauritius,1.0408013999999999,RQ.EST,regulatory_quality
MWI,2018,Malawi,-0.6718156,RQ.EST,regulatory_quality
MYS,2018,Malaysia,0.7479363,RQ.EST,regulatory_quality
NAM,2018,Namibia,0.0632488,RQ.EST,regulatory_quality
NER,2018,Niger,-0.6639231,RQ.EST,regulatory_quality
NGA,2018,Nigeria,-0.8300183999999999,RQ.EST,regulatory_quality
NIC,2018,Nicaragua,-0.5539729,RQ.EST,regulatory_quality
NLD,2018,Netherlands,1.9366984999999999,RQ.EST,regulatory_quality
NOR,2018,Norway,1.8168864,RQ.EST,regulatory_quality
NPL,2018,Nepal,-0.5915737,RQ.EST,regulatory_quality
