iso3,year,country_name,value,wb_indicator,canonical_name
ABW,2018,Aruba,0.27025309999999997,RL.STD.ERR,rule_of_law_se
ADO,2018,Andorra,0.40547239999999996,RL.STD.ERR,rule_of_law_se
AFG,2018,Afghanistan,0.1595372,RL.STD.ERR,rule_of_law_se
AGO,2018,Angola,0.1763302,RL.STD.ERR,rule_of_law_se
AIA,2018,Anguilla,0.4850462,RL.STD.ERR,rule_of_law_se
ALB,2018,Albania,0.14748,RL.STD.ERR,rule_of_law_se
ARE,2018,United Arab Emirates,0.1459709,RL.STD.ERR,rule_of_law_se
ARG,2018,Argentina,0.14397559999999998,RL.STD.ERR,rule_of_law_se
ARM,2018,Armenia,0.1845667,RL.STD.ERR,rule_of_law_se
ASM,2018,American Samoa,0.4850462,RL.STD.ERR,rule_of_law_se
ATG,2018,Antigua and Barbuda,0.21487489999999998,RL.STD.ERR,rule_of_law_se
AUS,2018,Australia,0.1476746,RL.STD.ERR,rule_of_law_se
AUT,2018,Austria,0.1447776,RL.STD.ERR,rule_of_law_se
AZE,2018,Azerbaijan,0.1852482,RL.STD.ERR,rule_of_law_se
BDI,2018,Burundi,0.161817,RL.STD.ERR,rule_of_law_se
BEL,2018,Belgium,0.1447776,RL.STD.ERR,rule_of_law_se
BEN,2018,Benin,0.161817,RL.STD.ERR,rule_of_law_se
BFA,2018,Burkina Faso,0.13398849999999998,RL.STD.ERR,rule_of_law_se
BGD,2018,Bangladesh,0.1433471,RL.STD.ERR,rule_of_law_se
BGR,2018,Bulgaria,0.1412388,RL.STD.ERR,rule_of_law_se
BHR,2018,Bahrain,0.1866154,RL.STD.ERR,rule_of_law_se
BHS,2018,"Bahamas, The",0.1623849,RL.STD.ERR,rule_of_law_se
BIH,2018,Bosnia and Herzegovina,0.1544198,RL.STD.ERR,rule_of_law_se
BLR,2018,Belarus,0.1555751,RL.STD.ERR,rule_of_law_se
BLZ,2018,Belize,0.1662859,RL.STD.ERR,rule_of_law_se
BMU,2018,Bermuda,0.4850462,RL.STD.ERR,rule_of_law_se
BOL,2018,Bolivia,0.1423721,RL.STD.ERR,rule_of_law_se
BRA,2018,Brazil,0.14201229999999998,RL.STD.ERR,rule_of_law_se
BRB,2018,Barbados,0.15943559999999998,RL.STD.ERR,rule_of_law_se
BRN,2018,Brunei Darussalam,0.2004018,RL.STD.ERR,rule_of_law_se
BTN,2018,Bhutan,0.1791594,RL.STD.ERR,rule_of_law_se
BWA,2018,Botswana,0.1469825,RL.STD.ERR,rule_of_law_se
CAF,2018,Central African Republic,0.16825679999999998,RL.STD.ERR,rule_of_law_se
CAN,2018,Canada,0.1491815,RL.STD.ERR,rule_of_law_se
CHE,2018,Switzerland,0.1845616,RL.STD.ERR,rule_of_law_se
CHL,2018,Chile,0.14461459999999998,RL.STD.ERR,rule_of_law_se
CHN,2018,China,0.14531239999999998,RL.STD.ERR,rule_of_law_se
CIV,2018,Côte d’Ivoire,0.13398849999999998,RL.STD.ERR,rule_of_law_se
CMR,2018,Cameroon,0.13398849999999998,RL.STD.ERR,rule_of_law_se
COD,2018,"Congo, Dem. Rep.",0.15508909999999998,RL.STD.ERR,rule_of_law_se
COG,2018,"Congo, Rep.",0.1629087,RL.STD.ERR,rule_of_law_se
COK,2018,Cook Islands,0.657427,RL.STD.ERR,rule_of_law_se
COL,2018,Colombia,0.14397559999999998,RL.STD.ERR,rule_of_law_se
COM,2018,Comoros,0.20722349999999998,RL.STD.ERR,rule_of_law_se
CPV,2018,Cabo Verde,0.1676094,RL.STD.ERR,rule_of_law_se
CRI,2018,Costa Rica,0.149482,RL.STD.ERR,rule_of_law_se
