iso3,year,country_name,value,wb_indicator,canonical_name
ABW,2018,Aruba,1.4179055999999999,VA.EST,voice_accountability
ADO,2018,Andorra,0.9863455,VA.EST,voice_accountability
AFG,2018,Afghanistan,-1.1858104,VA.EST,voice_accountability
AGO,2018,Angola,-1.005668,VA.EST,voice_accountability
ALB,2018,Albania,0.1354782,VA.EST,voice_accountability
ARE,2018,United Arab Emirates,-0.8308639999999999,VA.EST,voice_accountability
ARG,2018,Argentina,0.6297742,VA.EST,voice_accountability
ARM,2018,Armenia,0.2320021,VA.EST,voice_accountability
ATG,2018,Antigua and Barbuda,0.5037134,VA.EST,voice_accountability
AUS,2018,Australia,1.5700131,VA.EST,voice_accountability
AUT,2018,Austria,1.4643983,VA.EST,voice_accountability
AZE,2018,Azerbaijan,-1.2691213,VA.EST,voice_accountability
BDI,2018,Burundi,-1.5664182999999998,VA.EST,voice_accountability
BEL,2018,Belgium,1.4858460999999998,VA.EST,voice_accountability
BEN,2018,Benin,0.22560129999999998,VA.EST,voice_accountability
BFA,2018,Burkina Faso,-0.0592664,VA.EST,voice_accountability
BGD,2018,Bangladesh,-0.9623516999999999,VA.EST,voice_accountability
BGR,2018,Bulgaria,0.0730547,VA.EST,voice_accountability
BHR,2018,Bahrain,-1.2823194999999998,VA.EST,voice_accountability
BHS,2018,"Bahamas, The",0.5155607,VA.EST,voice_accountability
BIH,2018,Bosnia and Herzegovina,-0.4378719,VA.EST,voice_accountability
BLR,2018,Belarus,-1.1010552999999998,VA.EST,voice_accountability
BLZ,2018,Belize,0.0799134,VA.EST,voice_accountability
BOL,2018,Bolivia,-0.32251779999999997,VA.EST,voice_accountability
BRA,2018,Brazil,0.2933228,VA.EST,voice_accountability
BRB,2018,Barbados,0.9455467,VA.EST,voice_accountability
BRN,2018,Brunei Darussalam,-0.7828674999999999,VA.EST,voice_accountability
BTN,2018,Bhutan,0.4090063,VA.EST,voice_accountability
BWA,2018,Botswana,0.2110871,VA.EST,voice_accountability
CAF,2018,Central African Republic,-0.9916079999999999,VA.EST,voice_accountability
