iso3,variable,has_value,tier
ARE,ai_readiness_score,1,Y_principal
ARE,ai_adoption_rate,1,Y_principal
ARE,ai_investment_usd_bn_cumulative,1,Y_principal
ARE,ai_startups_cumulative,1,Y_principal
ARE,has_ai_law,1,X1_principal
ARE,regulatory_approach,1,X1_principal
ARE,regulatory_intensity,1,X1_principal
ARE,enforcement_level,1,X1_principal
ARE,thematic_coverage,1,X1_principal
ARE,gdp_per_capita_ppp,1,X2_core
ARE,internet_penetration,1,X2_core
ARE,gii_score,1,X2_core
ARE,oecd_member,1,X2_core
ARE,region,1,X2_core
ARE,rd_expenditure,1,X2_extended
ARE,tertiary_education,1,X2_extended
ARE,regulatory_quality,1,X2_confounder_gov
ARE,rule_of_law,1,X2_confounder_gov
ARE,has_gdpr_like_law,1,X2_confounder_gdpr
ARE,gdpr_similarity_level,1,X2_confounder_gdpr
ARE,ict_service_exports_pct,1,X2_digital_economy
ARE,high_tech_exports_pct,1,X2_digital_economy
ARE,fh_total_score,1,X2_confounder_fh
ARE,fh_democracy_level,1,X2_confounder_fh
ARE,legal_origin,1,X2_legal_origin
ARE,is_common_law,1,X2_legal_origin
ARE,ai_patents_per100k,0,Y_robustness
ARE,ai_investment_usd_bn_2024,1,Y_robustness
ARE,ai_startups_2024,1,Y_robustness
ARE,government_effectiveness,1,X2_robustness
ARE,control_of_corruption,1,X2_robustness
ARE,ai_investment_vc_proxy,0,X2_robustness
ARG,ai_readiness_score,1,Y_principal
ARG,ai_adoption_rate,1,Y_principal
ARG,ai_investment_usd_bn_cumulative,1,Y_principal
ARG,ai_startups_cumulative,1,Y_principal
ARG,has_ai_law,1,X1_principal
ARG,regulatory_approach,1,X1_principal
ARG,regulatory_intensity,1,X1_principal
ARG,enforcement_level,1,X1_principal
ARG,thematic_coverage,1,X1_principal
ARG,gdp_per_capita_ppp,1,X2_core
ARG,internet_penetration,1,X2_core
ARG,gii_score,1,X2_core
ARG,oecd_member,1,X2_core
ARG,region,1,X2_core
ARG,rd_expenditure,1,X2_extended
ARG,tertiary_education,1,X2_extended
