iso3,oecd_member,region
ARE,0,Northern Africa and Western Asia
ARG,0,Latin America and the Caribbean
ARM,0,Northern Africa and Western Asia
AUS,1,"South East Asia, East Asia, and Oceania"
AUT,1,Europe
BEL,1,Europe
BGD,0,Central and Southern Asia
BGR,0,Europe
BHR,0,Northern Africa and Western Asia
BLR,0,Europe
BLZ,0,Latin America and the Caribbean
BRA,0,Latin America and the Caribbean
BRB,0,Latin America and the Caribbean
CAN,1,Northern America
CHE,1,Europe
CHL,1,Latin America and the Caribbean
CHN,0,"South East Asia, East Asia, and Oceania"
CMR,0,Sub-Saharan Africa
COL,1,Latin America and the Caribbean
CRI,1,Latin America and the Caribbean
CYP,0,Northern Africa and Western Asia
CZE,1,Europe
DEU,1,Europe
DNK,1,Europe
ECU,0,Latin America and the Caribbean
EGY,0,Northern Africa and Western Asia
ESP,1,Europe
EST,1,Europe
FIN,1,Europe
FRA,1,Europe
GBR,1,Europe
GHA,0,Sub-Saharan Africa
GRC,1,Europe
HRV,0,Europe
HUN,1,Europe
IDN,0,"South East Asia, East Asia, and Oceania"
IND,0,Central and Southern Asia
IRL,1,Europe
ISL,1,Europe
ISR,1,Northern Africa and Western Asia
ITA,1,Europe
JOR,0,Northern Africa and Western Asia
JPN,1,"South East Asia, East Asia, and Oceania"
KAZ,0,Central and Southern Asia
KEN,0,Sub-Saharan Africa
KOR,1,"South East Asia, East Asia, and Oceania"
LBN,0,Northern Africa and Western Asia
LKA,0,Central and Southern Asia
LTU,1,Europe
LUX,1,Europe
LVA,1,Europe
MAR,0,Northern Africa and Western Asia
MEX,1,Latin America and the Caribbean
MLT,0,Europe
MNG,0,"South East Asia, East Asia, and Oceania"
MUS,0,Sub-Saharan Africa
MYS,0,"South East Asia, East Asia, and Oceania"
NGA,0,Sub-Saharan Africa
NLD,1,Europe
NOR,1,Europe
NZL,1,"South East Asia, East Asia, and Oceania"
PAK,0,Central and Southern Asia
PAN,0,Latin America and the Caribbean
PER,0,Latin America and the Caribbean
PHL,0,"South East Asia, East Asia, and Oceania"
POL,1,Europe
PRT,1,Europe
ROU,0,Europe
RUS,0,Europe
SAU,0,Northern Africa and Western Asia
SGP,0,"South East Asia, East Asia, and Oceania"
SRB,0,Europe
SVK,1,Europe
SVN,1,Europe
SWE,1,Europe
SYC,0,Sub-Saharan Africa
THA,0,"South East Asia, East Asia, and Oceania"
TUN,0,Northern Africa and Western Asia
TUR,1,Northern Africa and Western Asia
TWN,0,"South East Asia, East Asia, and Oceania"
UGA,0,Sub-Saharan Africa
UKR,0,Europe
URY,0,Latin America and the Caribbean
USA,1,Northern America
VNM,0,"South East Asia, East Asia, and Oceania"
ZAF,0,Sub-Saharan Africa
