iso3,ai_publications_frac,ai_publications_frac_year,ai_publications_top10_frac,ai_publications_top10_frac_year,ai_publications_scopus_frac,ai_publications_scopus_frac_year,ai_patents_pct,ai_patents_pct_year,ai_patents_ip5,ai_patents_ip5_year,gerd_pct_gdp,gerd_pct_gdp_year,berd_pct_gdp,berd_pct_gdp_year,researchers_per_1000_employed,researchers_per_1000_employed_year,ai_investment_vc_proxy,vc_proxy_year,source,role
ARE,882.6614624,2023.0,111.9983669,2023.0,205.1517512,2023.0,7.699999809265137,2020.0,3.766700029373169,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
ARG,104.4749243,2023.0,4.132026781,2023.0,22.57513288,2023.0,0.333299994468689,2020.0,0.833299994468689,2020.0,0.601114127,2023.0,0.252879,2023.0,,,,,OECD_STI_MSTI,robustness
ARM,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
AUS,2349.755566,2023.0,390.5668081,2023.0,581.8061143,2023.0,48.86669921875,2020.0,54.41719818115234,2020.0,1.682148487,2023.0,0.910831056,2023.0,,,0.0353743189477229,2019.0,OECD_STI_MSTI,robustness
AUT,501.7644268,2023.0,59.11527895,2023.0,157.8423535,2023.0,19.95240020751953,2020.0,23.4857006072998,2020.0,3.264939544,2024.0,2.250519136,2024.0,12.83208635,2023.0,0.0280210885476195,2024.0,OECD_STI_MSTI,robustness
BEL,522.7249103,2023.0,69.20095033,2023.0,136.138904,2023.0,26.22369956970215,2020.0,28.64480018615723,2020.0,3.364457807,2024.0,2.430001493,2024.0,13.76033815,2023.0,0.0799886384734652,2024.0,OECD_STI_MSTI,robustness
BGD,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
BGR,183.4369362,2023.0,6.544346441,2023.0,116.887117,2023.0,0.0,2020.0,0.0,2020.0,0.768221647,2024.0,0.500263342,2024.0,4.698091063,2023.0,0.028357862719381,2024.0,OECD_STI_MSTI,robustness
BHR,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
BLR,,,,,,,0.666700005531311,2020.0,2.5,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
BLZ,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
BRA,1904.432398,2023.0,101.9668091,2023.0,336.6338719,2023.0,30.55319976806641,2020.0,20.49679946899414,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
BRB,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
CAN,3226.030132,2023.0,417.3705475,2023.0,705.0532732,2023.0,205.3757019042969,2020.0,292.206787109375,2020.0,1.792668031,2024.0,1.057084153,2024.0,10.79848851,2022.0,0.1997550408090543,2024.0,OECD_STI_MSTI,robustness
