iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,ai_adoption_rate,adoption_period,ai_readiness_score,readiness_year,gii_score,gii_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,regulatory_quality,regulatory_quality_year,rule_of_law,rule_of_law_year,government_effectiveness,government_effectiveness_year,control_of_corruption,control_of_corruption_year,ict_service_exports_pct,ict_service_exports_pct_year,high_tech_exports_pct,high_tech_exports_pct_year,population,gdp_current_usd,oecd_member,region,ai_investment_vc_proxy,vc_proxy_year,ai_publications_frac,ai_publications_frac_year,has_gdpr_like_law,gdpr_similarity_level,dp_law_year,has_dpa,eu_status,enforcement_active,fh_total_score,fh_status,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year,legal_origin,is_common_law,year_enacted_ok,complete_principal,complete_extended,complete_confounded,complete_digital,complete_regime,complete_legal_tradition,complete_strict,has_ai_readiness_score,has_ai_adoption_rate,has_ai_investment_usd_bn_cumulative,has_ai_startups_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_internet_penetration,has_gii_score,has_oecd_member,has_region,has_rd_expenditure,has_tertiary_education,has_regulatory_quality,has_rule_of_law,has_has_gdpr_like_law,has_gdpr_similarity_level,has_ict_service_exports_pct,has_high_tech_exports_pct,has_fh_total_score,has_fh_democracy_level,has_legal_origin,has_is_common_law,has_ai_patents_per100k,has_ai_investment_usd_bn_2024,has_ai_startups_2024,has_government_effectiveness,has_control_of_corruption,has_ai_investment_vc_proxy
ARE,0,strategy_led,5,,medium,9,strategy_only,IAPP,,3.671712708,1.772767429,36.0,8.0,,2024.0,2024.0,64.0,H2_2025,69.86,2025,44.1544888281242,2025.0,79228.738801276,2024.0,1.49469,2021.0,100.0,2024.0,63.7384451086316,2024.0,1.04239141941071,2023.0,0.881900131702423,2023.0,1.60428190231323,2023.0,1.07366383075714,2023.0,4.58026730740353,2024.0,8.96029397394575,2023.0,10986400.0,552324846834.581,0,Northern Africa and Western Asia,,,882.6614624,2023.0,1,2,2021,1,none,1,17,NF,7,10,0,2025,English,1,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
ARG,0,strategy_led,4,,low,8,strategy_only,IAPP,0.004391898,1.566448147,,10.0,,2023.0,2024.0,2024.0,19.6,H2_2025,58.25,2025,26.7779545767115,2025.0,30431.1931223693,2024.0,0.54947,2022.0,89.6672,2024.0,107.822574129434,2023.0,-0.482535392045975,2023.0,-0.410826534032822,2023.0,-0.377517342567444,2023.0,-0.360883951187134,2023.0,15.740613131832,2024.0,3.85019697474113,2024.0,45696159.0,638365455340.04,0,Latin America and the Caribbean,,,104.4749243,2023.0,1,3,2000,1,adequacy,1,84,F,36,48,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
ARM,0,light_touch,1,,none,2,soft_framework,IAPP,,0.00443894,,1.0,,,2024.0,2024.0,6.6,H2_2025,38.95,2025,30.448190677743,2025.0,22823.1795255693,2024.0,0.2861,2024.0,81.33930206,2024.0,52.7748065090859,2024.0,0.0964411,2023.0,-0.2107914,2023.0,-0.163441,2023.0,0.1046118,2023.0,20.1631222184293,2024.0,23.6403270515259,2024.0,3033500.0,25955275380.0321,0,Northern Africa and Western Asia,,,,,1,2,2015,1,none,1,54,PF,24,30,1,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
AUS,0,strategy_led,5,,medium,11,strategy_only,IAPP,0.382610747,3.985426167,0.427455242,178.0,23.0,2023.0,2024.0,2024.0,36.9,H2_2025,75.73,2025,48.0058166127025,2025.0,72111.1844628126,2024.0,1.85509,2021.0,97.0631,2023.0,104.64835357666,2023.0,1.94220554828644,2023.0,1.52318394184113,2023.0,1.58987963199615,2023.0,1.78120493888855,2023.0,2.98037157487473,2024.0,25.1586416457084,2024.0,27196812.0,1757022451652.83,1,"South East Asia, East Asia, and Oceania",0.0353743189477229,2019.0,2349.755566,2023.0,1,2,1988,1,none,1,95,F,39,56,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.229966597,2.221597133,1.505925924,51.0,10.0,2023.0,2024.0,2024.0,31.4,H2_2025,69.72,2025,50.0967566107785,2025.0,73911.439663136,2024.0,3.20048,2022.0,94.9197,2024.0,91.6818237304688,2023.0,1.36136972904205,2023.0,1.74656546115875,2023.0,1.32668149471283,2023.0,1.1336532831192,2023.0,12.53916861103,2024.0,18.4525766859019,2024.0,9177982.0,534790720466.822,1,Europe,0.0280210885476195,2024.0,501.7644268,2023.0,1,3,2018,1,eu_member,1,93,F,37,56,2,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.084836185,1.259241341,0.186256546,51.0,9.0,2023.0,2024.0,2024.0,36.0,H2_2025,65.17,2025,48.463340688029,2025.0,73514.4831045258,2024.0,3.40544,2022.0,95.7758,2024.0,82.1475601196289,2023.0,1.16822481155396,2023.0,1.29537487030029,2023.0,1.03702199459076,2023.0,1.3368444442749,2023.0,14.6697052675351,2024.0,20.3921453422236,2024.0,11858610.0,671370081636.406,1,Europe,0.0799886384734652,2024.0,522.7249103,2023.0,1,3,2018,1,eu_member,1,96,F,39,57,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,0,strategy_led,2,,low,4,strategy_only,IAPP,,0.0022,,1.0,,,2024.0,2024.0,7.1,H2_2025,48.37,2025,20.951047653279,2025.0,9646.76984383255,2024.0,,,53.42171316,2024.0,23.7295608009814,2024.0,-0.9009111,2023.0,-0.9020256,2023.0,-0.5574534,2023.0,-1.1987203,2023.0,9.51203440588108,2024.0,,,173562364.0,450119432068.852,0,Central and Southern Asia,,,,,1,2,2023,0,none,0,40,PF,15,25,1,2025,English,1,True,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
BGR,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.155120625,0.047091907,0.007164227,8.0,2.0,2023.0,2024.0,2024.0,27.3,H2_2025,56.6,2025,39.0927629267023,2025.0,41969.4515718999,2024.0,0.75421,2022.0,82.439,2024.0,79.8532333374023,2023.0,0.40789669752121,2023.0,-0.0068576806224882,2023.0,0.047112051397562,2023.0,-0.137721657752991,2023.0,25.5505150604287,2024.0,13.4299683659831,2024.0,6441421.0,113343355779.985,0,Europe,0.028357862719381,2024.0,183.4369362,2023.0,1,3,2018,1,eu_member,1,78,F,33,45,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BHR,0,strategy_led,2,,low,3,strategy_only,IAPP,,0.0158,,2.0,,,2024.0,2024.0,,,59.57,2025,30.01576627996,2025.0,66941.2430367989,2024.0,0.19327,2024.0,100.0,2024.0,58.3677241853667,2024.0,0.9096095,2023.0,0.1259217,2023.0,0.7325207,2023.0,0.2380412,2023.0,8.26225513168993,2024.0,0.387343644517371,2023.0,1588670.0,47109734308.5106,0,Northern Africa and Western Asia,,,,,1,2,2018,1,none,1,12,NF,2,10,0,2025,English,1,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
BLR,0,light_touch,1,,none,1,soft_framework,IAPP,,0.012,,2.0,,,2024.0,2024.0,8.4,H2_2025,32.47,2025,25.0990285299842,2025.0,33010.3307605357,2024.0,0.5872,2024.0,94.26182128,2024.0,70.1107509145358,2024.0,-1.175204,2023.0,-1.2155307,2023.0,-0.596406099999999,2023.0,-0.534353699999999,2023.0,31.4053956639542,2021.0,6.01576846359853,2021.0,9132629.0,75961865471.9129,0,Europe,,,,,1,2,2021,1,none,1,8,NF,1,7,0,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
