iso3,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,year,source
ARE,3.671712708,1.772767429,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ARG,1.566448147,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ARM,0.00443894,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
AUS,3.985426167,0.427455242,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
AUT,2.221597133,1.505925924,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BEL,1.259241341,0.186256546,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BGD,0.0022,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BGR,0.047091907,0.007164227,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BHR,0.0158,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BLR,0.012,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BLZ,0.0265,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BRA,2.184213152,0.689429072,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
BRB,0.0015,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CAN,15.30599504,2.887230487,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CHE,3.897936818,0.428615762,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CHL,0.68210051,0.009,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CHN,119.3198229,9.290337909,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CMR,0.005,0.005,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
COL,0.07194705,0.01,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CRI,0.005932492,0.004332492,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CYP,0.129032893,0.004167409,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
CZE,0.257451809,0.004815686,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
DEU,13.27076964,1.974363427,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
DNK,0.817811835,0.133226771,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ECU,0.0025,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
EGY,0.0971,0.009,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ESP,2.677716484,0.409329697,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
EST,0.145512817,0.023616548,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
FIN,1.286856299,0.050754509,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
FRA,11.09680763,2.617394131,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
GBR,28.17025072,4.519300073,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
GHA,0.0801,0.03,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
GRC,0.120460425,0.032428927,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
HRV,0.181734433,0.107571067,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
HUN,0.264105527,0.002,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
IDN,0.392813428,0.0485,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
IND,11.29486342,1.160556186,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
IRL,1.774355019,0.145372655,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ISL,0.194233588,0.019234692,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ISR,14.95814021,1.364899872,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ITA,1.380678365,0.863945611,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
JOR,0.0086,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
JPN,5.892677976,0.927028226,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
KAZ,0.00924,0.0015,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
KEN,0.040606312,0.0025,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
KOR,8.962056925,1.326995968,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
LBN,0.0138,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
LKA,0.005564635,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
LTU,0.552683711,0.34477884,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
LUX,0.212533081,0.086071782,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
LVA,0.006565042,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
MEX,0.863794859,0.1019,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
MLT,0.015807271,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
MNG,0.0084,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
MUS,0.022,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
MYS,0.427439288,0.0643,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
NGA,0.127722651,0.004,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
NLD,3.089097178,1.090665984,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
NOR,0.759006546,0.19464037,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
NZL,0.354527332,0.010355605,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
PAN,0.01473589,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
PER,0.002,0.002,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
PHL,0.021,0.0055,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
POL,0.351180082,0.03659772,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
PRT,0.793556783,0.071261713,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ROU,0.392566533,0.071166738,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
RUS,0.225774717,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SAU,0.155166756,0.025999147,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SGP,7.27106726,0.847717123,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SRB,0.010291385,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SVK,0.095848471,0.005417118,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SVN,0.025633238,0.001518603,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SWE,7.267975111,4.335660898,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
SYC,0.002273567,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
THA,0.14806777,0.002147771,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
TUN,0.021,0.013,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
TUR,0.867281275,0.51305661,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
TWN,0.971927833,0.066512313,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
UGA,0.0094,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
UKR,0.015,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
URY,0.01975,,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
USA,470.9223112,109.0773255,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
VNM,0.3139,0.0085,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
ZAF,0.226762699,0.017985041,2024,Stanford_AI_Index_25_fig_4.3.8_4.3.9
