iso3,ai_startups_cumulative,ai_startups_2024,year,source
ARE,36,8.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ARG,10,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ARM,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
AUS,178,23.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
AUT,51,10.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BEL,51,9.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BGD,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BGR,8,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BHR,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BLR,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BLZ,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BRA,85,17.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
BRB,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CAN,481,51.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CHE,154,22.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CHL,17,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CHN,1605,98.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CMR,1,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
COL,10,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CRI,2,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CYP,8,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
CZE,23,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
DEU,394,67.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
DNK,59,15.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ECU,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
EGY,14,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ESP,117,18.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
EST,19,3.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
FIN,53,12.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
FRA,468,59.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
GBR,885,116.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
GHA,4,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
GRC,7,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
HRV,4,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
HUN,12,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
IDN,19,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
IND,434,74.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
IRL,89,9.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ISL,9,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ISR,492,36.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ITA,85,14.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
JOR,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
JPN,388,42.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
KAZ,3,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
KEN,6,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
KOR,270,52.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
LBN,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
LKA,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
LTU,9,7.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
LUX,17,3.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
LVA,3,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
MEX,26,3.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
MLT,3,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
MNG,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
MUS,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
MYS,15,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
NGA,8,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
NLD,116,24.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
NOR,50,9.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
NZL,27,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
PAN,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
PER,1,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
PHL,5,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
POL,48,5.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
PRT,27,5.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ROU,13,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
RUS,29,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SAU,13,3.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SGP,239,39.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SRB,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SVK,5,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SVN,3,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SWE,112,16.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
SYC,1,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
THA,7,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
TUN,2,1.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
TUR,25,5.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
TWN,42,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
UGA,3,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
UKR,4,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
URY,2,,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
USA,6956,1073.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
VNM,15,2.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
ZAF,20,4.0,2024,Stanford_AI_Index_25_fig_4.3.12_4.3.13
