iso3,country_name,year,control_of_corruption,education_expenditure_pct_gdp,exports_pct_gdp,fdi_net_inflows,gdp_current_usd,gdp_per_capita_ppp,government_effectiveness,inflation_consumer_prices,internet_penetration,labor_force,mobile_subscriptions_per100,patent_applications_residents,political_stability,population,rd_expenditure,regulatory_quality,rule_of_law,tertiary_education,unemployment_rate,voice_accountability
ARE,United Arab Emirates,2013,1.27354276180267,,95.7551835445394,9764914530.0,409632675289.313,87526.3254797061,1.19010066986084,1.1011183637571,88.0,4948156.0,205.105,21.0,0.894792199134827,7693031.0,,0.774973034858704,0.613428473472595,,2.125,-1.01959705352783
ARE,United Arab Emirates,2014,1.19880998134613,,94.773856080155,11071537020.0,424935874744.724,87477.7341963514,1.45158290863037,2.34626865671643,90.4,5205610.0,204.192,29.0,0.7689089179039,8059440.0,0.67523,0.987515151500702,0.651002466678619,,1.999,-1.06146609783173
ARE,United Arab Emirates,2015,1.03457427024841,,93.8625430925095,8550901850.0,381973042886.317,73986.0636395945,1.5004917383194,4.06996608361593,90.5,5517279.0,206.839,35.0,0.748049259185791,8505237.0,0.8657,1.09659695625305,0.614161610603333,,1.793,-1.11243331432343
ARE,United Arab Emirates,2016,1.13167703151703,,94.4747534696859,9604773000.0,381717086453.37,69986.9835675887,1.4101870059967,1.61748808904198,90.6,5830903.0,220.412,57.0,0.549646139144897,8935095.0,0.9318,0.95991837978363,0.819037973880768,,1.64,-1.05007648468018
ARE,United Arab Emirates,2017,1.09575378894806,,94.7373963619868,10354223000.0,403365010211.028,70281.8889504211,1.40890324115753,1.96682557818842,94.8199,6046380.0,214.701,63.0,0.601949751377106,9223225.0,,1.00095462799072,0.768334984779358,,2.462,-1.0966237783432
ARE,United Arab Emirates,2018,1.11705148220062,,90.8429581255868,10385286000.0,440560108917.631,77446.2269929923,1.42633962631226,3.06863379251997,98.45,6158515.0,214.842,57.0,0.689255595207214,9346701.0,1.26389,0.919854760169983,0.774245142936707,53.2113281680102,2.236,-1.1226601600647
ARE,United Arab Emirates,2019,1.07238209247589,3.86020994186401,93.3023091201398,17874660000.0,433926208304.969,79816.3010904406,1.38027024269104,-1.93108114782173,99.15,6256531.0,209.033,55.0,0.667538404464722,9445785.0,1.31065,0.968137919902802,0.808277487754822,53.8814655213653,2.331,-1.139524102211
ARE,United Arab Emirates,2020,1.08361399173737,3.98417997360229,98.0724675358339,19884470000.0,357161878829.135,66790.6822664754,1.2852668762207,-2.07940317940944,100.0,6178311.0,194.468,39.0,0.592605352401733,9401038.0,1.48831,1.07433104515076,0.875135958194733,54.9746998074699,4.294,-1.17806625366211
ARE,United Arab Emirates,2021,1.15039455890656,3.89403009414673,100.642574267637,20667120000.0,422441388699.796,68580.1485423483,1.36370348930359,0.179935336174431,100.0,6160044.0,186.301,69.0,0.597572147846222,9575152.0,1.49469,1.00612270832062,0.798968315124512,56.4520334436146,3.105,-1.19142639636993
ARE,United Arab Emirates,2022,1.1556144952774,,102.051988974133,22736555480.0,511403403675.97,75071.6586300351,1.29912793636322,5.29122604376849,100.0,6499963.0,195.625,,0.744183301925659,10074977.0,,1.03478074073792,0.836056530475616,60.4188226013954,2.872,-1.12749147415161
ARE,United Arab Emirates,2023,1.07366383075714,,106.846139017261,30687542545.9496,522622191967.325,77955.2951760879,1.60428190231323,1.62670837213248,100.0,6873426.0,199.424,,0.677530944347382,10483751.0,,1.04239141941071,0.881900131702423,61.3456114422447,2.151,-1.0949410200119
ARE,United Arab Emirates,2024,,,,45636487406.3989,552324846834.581,79228.738801276,,1.66336510224894,100.0,7233386.0,,,,10986400.0,,,,63.7384451086316,2.16,
ARG,Argentina,2013,-0.434306710958481,5.43661022186279,14.6171733884386,9821661858.15874,552025140252.246,19928.989490167,-0.254236966371536,,59.9,19111596.0,158.191,643.0,0.0653142631053925,42582455.0,0.61849,-0.928134799003601,-0.656328618526459,78.5681646081939,7.1,0.276933550834656
ARG,Argentina,2014,-0.549791395664215,5.36144018173218,14.4054785893756,5065335541.96486,526319673731.638,19487.4181748868,-0.111114293336868,,64.7,19177885.0,142.325,509.0,-0.0051218713633716,43024071.0,0.59396,-1.0661495923996,-0.866627335548401,81.072589697739,7.268,0.34527176618576
ARG,Argentina,2015,-0.581265270709991,5.77611017227173,10.7056520504538,11758994011.286,594749285413.212,19899.1499275245,-0.0494756102561951,,68.0431,19343227.0,142.241,546.0,0.0087641347199678,43477012.0,0.62262,-0.898022353649139,-0.74863588809967,83.75569332589,7.577,0.411758154630661
ARG,Argentina,2016,-0.299235552549362,5.54548978805542,12.5270951690009,3260164341.77393,557532320662.955,20105.761359796,0.218796372413635,,70.969,19497873.0,145.147,884.0,0.197749897837639,43900313.0,0.55815,-0.347571164369583,-0.320159524679184,86.6743832906399,8.088,0.49326366186142
