iso3,year,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source
ARE,2013,0,none,0,,none,0,no_framework,OECD
ARE,2014,0,none,0,,none,0,no_framework,OECD
ARE,2015,0,none,0,,none,0,no_framework,OECD
ARE,2016,0,light_touch,1,,none,3,soft_framework,OECD
ARE,2017,0,light_touch,2,,none,3,soft_framework,OECD
ARE,2018,0,light_touch,3,,medium,4,soft_framework,OECD
ARE,2019,0,light_touch,4,,medium,5,soft_framework,OECD
ARE,2020,0,light_touch,4,,medium,5,soft_framework,OECD
ARE,2021,0,light_touch,4,,medium,7,soft_framework,OECD
ARE,2022,0,light_touch,5,,medium,7,soft_framework,OECD
ARE,2023,0,light_touch,5,,medium,7,soft_framework,OECD
ARE,2024,0,light_touch,5,,medium,7,soft_framework,OECD
ARE,2025,0,strategy_led,5,,medium,9,strategy_only,IAPP
ARG,2013,0,light_touch,1,,medium,0,soft_framework,OECD
ARG,2014,0,light_touch,1,,medium,0,soft_framework,OECD
ARG,2015,0,light_touch,1,,medium,0,soft_framework,OECD
ARG,2016,0,light_touch,1,,medium,0,soft_framework,OECD
ARG,2017,0,light_touch,1,,medium,0,soft_framework,OECD
ARG,2018,0,light_touch,3,,medium,0,soft_framework,OECD
ARG,2019,0,strategy_led,4,,medium,0,strategy_only,OECD
ARG,2020,0,strategy_led,7,,medium,0,strategy_only,OECD
ARG,2021,0,strategy_led,8,,medium,0,strategy_only,OECD
ARG,2022,0,strategy_led,8,,medium,0,strategy_only,OECD
ARG,2023,0,strategy_led,9,,medium,2,strategy_only,OECD
ARG,2024,0,strategy_led,8,,medium,10,strategy_only,OECD
ARG,2025,0,strategy_led,4,,low,8,strategy_only,IAPP
ARM,2013,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2014,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2015,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2016,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2017,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2018,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2019,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2020,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2021,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2022,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2023,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2024,0,light_touch,1,,none,0,soft_framework,OECD
ARM,2025,0,light_touch,1,,none,2,soft_framework,IAPP
AUS,2013,0,light_touch,1,,none,0,soft_framework,OECD
AUS,2014,0,light_touch,1,,none,0,soft_framework,OECD
