iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,year,source
ARE,0,strategy_led,5,,medium,9,strategy_only,IAPP,2025,OECD_IAPP_consolidated
ARG,0,strategy_led,4,,low,8,strategy_only,IAPP,2025,OECD_IAPP_consolidated
ARM,0,light_touch,1,,none,2,soft_framework,IAPP,2025,OECD_IAPP_consolidated
AUS,0,strategy_led,5,,medium,11,strategy_only,IAPP,2025,OECD_IAPP_consolidated
AUT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
BEL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
BGD,0,strategy_led,2,,low,4,strategy_only,IAPP,2025,OECD_IAPP_consolidated
BGR,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
BHR,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
BLR,0,light_touch,1,,none,1,soft_framework,IAPP,2025,OECD_IAPP_consolidated
BLZ,0,none,0,,none,0,no_framework,IAPP,2025,OECD_IAPP_consolidated
BRA,0,strategy_led,5,,medium,10,strategy_only,IAPP,2025,OECD_IAPP_consolidated
BRB,0,none,0,,none,0,no_framework,IAPP,2025,OECD_IAPP_consolidated
CAN,0,strategy_led,5,,medium,11,strategy_only,IAPP,2025,OECD_IAPP_consolidated
CHE,0,light_touch,3,,low,7,soft_framework,IAPP,2025,OECD_IAPP_consolidated
CHL,0,strategy_led,4,,low,8,strategy_only,IAPP,2025,OECD_IAPP_consolidated
CHN,1,comprehensive,9,2021.0,high,13,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
CMR,0,none,0,,none,0,no_framework,IAPP,2025,OECD_IAPP_consolidated
COL,0,strategy_led,3,,low,7,strategy_only,IAPP,2025,OECD_IAPP_consolidated
CRI,0,strategy_led,2,,low,4,strategy_only,IAPP,2025,OECD_IAPP_consolidated
CYP,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
CZE,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
DEU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
DNK,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
ECU,0,light_touch,1,,none,2,soft_framework,IAPP,2025,OECD_IAPP_consolidated
EGY,0,strategy_led,3,,low,6,strategy_only,IAPP,2025,OECD_IAPP_consolidated
ESP,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
EST,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
FIN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
FRA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
GBR,0,strategy_led,6,,high,13,strategy_only,IAPP,2025,OECD_IAPP_consolidated
GHA,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
GRC,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
HRV,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
HUN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
IDN,0,strategy_led,3,,low,7,strategy_only,IAPP,2025,OECD_IAPP_consolidated
IND,0,light_touch,4,,medium,10,soft_framework,IAPP,2025,OECD_IAPP_consolidated
IRL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
ISL,0,light_touch,2,,low,4,soft_framework,IAPP,2025,OECD_IAPP_consolidated
ISR,0,light_touch,4,,medium,8,soft_framework,IAPP,2025,OECD_IAPP_consolidated
ITA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
JOR,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
JPN,1,comprehensive,7,2025.0,medium,12,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
KAZ,1,comprehensive,9,2025,high,12,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
KEN,0,strategy_led,3,,low,5,strategy_only,IAPP,2025,OECD_IAPP_consolidated
KOR,1,comprehensive,8,2025.0,high,12,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
LBN,0,none,0,,none,1,no_framework,IAPP,2025,OECD_IAPP_consolidated
LKA,0,light_touch,1,,none,2,soft_framework,IAPP,2025,OECD_IAPP_consolidated
LTU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
LUX,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
LVA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
MAR,0,strategy_led,2,,low,4,strategy_only,IAPP,2025,OECD_IAPP_consolidated
MEX,0,strategy_led,3,,low,6,strategy_only,IAPP,2025,OECD_IAPP_consolidated
MLT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
MNG,0,light_touch,1,,none,1,soft_framework,IAPP,2025,OECD_IAPP_consolidated
MUS,0,strategy_led,2,,low,5,strategy_only,IAPP,2025,OECD_IAPP_consolidated
MYS,0,strategy_led,3,,low,6,strategy_only,IAPP,2025,OECD_IAPP_consolidated
NGA,0,strategy_led,3,,low,7,strategy_only,IAPP,2025,OECD_IAPP_consolidated
NLD,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
NOR,0,strategy_led,4,,medium,8,strategy_only,IAPP,2025,OECD_IAPP_consolidated
NZL,0,strategy_led,4,,medium,9,strategy_only,IAPP,2025,OECD_IAPP_consolidated
PAK,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
PAN,0,strategy_led,2,,low,2,strategy_only,IAPP,2025,OECD_IAPP_consolidated
PER,1,comprehensive,6,2023.0,medium,9,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
PHL,0,strategy_led,2,,low,4,strategy_only,IAPP,2025,OECD_IAPP_consolidated
POL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
PRT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
ROU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
RUS,1,comprehensive,7,2020.0,high,8,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
SAU,0,strategy_led,4,,medium,7,strategy_only,IAPP,2025,OECD_IAPP_consolidated
SGP,0,strategy_led,6,,medium,12,strategy_only,IAPP,2025,OECD_IAPP_consolidated
SRB,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
SVK,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
SVN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
SWE,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,2025,OECD_IAPP_consolidated
SYC,0,none,0,,none,0,no_framework,IAPP,2025,OECD_IAPP_consolidated
THA,0,strategy_led,3,,low,6,strategy_only,IAPP,2025,OECD_IAPP_consolidated
TUN,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
TUR,0,strategy_led,3,,low,5,strategy_only,IAPP,2025,OECD_IAPP_consolidated
TWN,0,strategy_led,5,,medium,9,strategy_only,IAPP,2025,OECD_IAPP_consolidated
UGA,0,light_touch,1,,none,1,soft_framework,IAPP,2025,OECD_IAPP_consolidated
UKR,0,strategy_led,2,,low,3,strategy_only,IAPP,2025,OECD_IAPP_consolidated
URY,0,strategy_led,3,,low,5,strategy_only,IAPP,2025,OECD_IAPP_consolidated
USA,0,strategy_led,6,,medium,13,strategy_only,IAPP,2025,OECD_IAPP_consolidated
VNM,0,strategy_led,4,,low,6,strategy_only,IAPP,2025,OECD_IAPP_consolidated
ZAF,0,strategy_led,3,,low,5,strategy_only,IAPP,2025,OECD_IAPP_consolidated
