iso3,has_ai_law_iapp,has_ai_law_proposed,regulatory_intensity_iapp,regulatory_intensity_proposed,thematic_coverage_iapp,thematic_coverage_proposed,regulatory_regime_group_iapp,regulatory_regime_group_proposed,enforcement_level_iapp,enforcement_level_proposed,regulatory_approach_iapp,regulatory_approach_proposed,confidence_iapp,confidence_proposed,has_dedicated_ai_authority,ai_law_pathway_declared,ai_corpus_n_documents,ai_corpus_total_pages,ai_corpus_first_doc_year,ai_corpus_last_doc_year,ai_corpus_years_span,_manifest_parse_error
ARE,0.0,0.0,5.0,7.0,9.0,13.0,(derivado),soft_framework,medium,medium,strategy_led,sectoral_plus_soft_framework,medium,medium-high,1,1,6,185.0,2020.0,2021.0,1.0,
ARM,0.0,0.0,1.0,4.0,2.0,6.0,light_touch,strategy_only,none,low,light_touch,strategy_led,low,medium,1,1,2,0.0,2024.0,2026.0,2.0,
AUS,,,,,,,,soft_framework,,,,,,,1,0,5,301.0,2019.0,2025.0,6.0,
AUT,,,,,,,,,,,,,,,1,0,4,332.0,2024.0,2024.0,0.0,
BEL,,,,,,,,,,,,,,,1,0,5,248.0,2022.0,2024.0,2.0,
BGD,0.0,0.0,2.0,5.0,4.0,11.0,strategy_only,soft_framework,low,low,strategy_led,strategy_led,low,medium-high,0,1,4,55.0,2020.0,2026.0,6.0,
BGR,1.0,1.0,10.0,10.0,,,,binding_regulation,high,medium,,,high,medium,0,1,0,329.0,2025.0,2025.0,0.0,
BHR,0.0,0.0,2.0,6.0,3.0,9.0,strategy_only,soft_framework,low,medium,strategy_led,policy_led,low,medium,1,1,3,112.0,2024.0,2025.0,1.0,
BLR,0.0,0.0,1.0,2.0,1.0,2.0,(sin_clasificar_iapp),soft_framework,none,low,light_touch,sectoral_only,low,low-medium,1,0,1,62.0,2017.0,2023.0,6.0,
CAN,0.0,0.0,5.0,5.0,11.0,11.0,strategy_only,soft_framework,medium,medium,strategy_led,strategy_led,medium,medium-high,1,0,7,123.0,2000.0,2026.0,26.0,
CHE,,,,,,,,soft_framework,,,,,,,0,0,3,0.0,2026.0,2026.0,0.0,
CMR,,,,,,,,,,,,,,,0,0,0,,,,,"Error tokenizing data. C error: Expected 1 fields in line 19, saw 4
"
CRI,0.0,0.0,2.0,4.0,4.0,7.0,strategy_led,soft_framework,low,medium,,,low,medium,0,1,6,,,,,"Error tokenizing data. C error: Expected 18 fields in line 5, saw 20
"
CZE,,,,,,,,binding_regulation,,,,,,,1,0,7,0.0,2026.0,2026.0,0.0,
DEU,,,,,,,,,,,,,,,0,1,8,410.0,2020.0,2026.0,6.0,
DNK,,,,,,,,,,,,,,,0,1,4,424.0,2024.0,2025.0,1.0,
ESP,,,,,,,,,,,,,,,1,1,5,308.0,2023.0,2025.0,2.0,
FIN,1.0,1.0,10.0,9.0,14.0,13.0,(derivado),binding_regulation,high,high,comprehensive,comprehensive,high,high,1,1,8,681.0,2017.0,2025.0,8.0,
FRA,,,,,,,,,,,,,,,1,0,5,421.0,2024.0,2024.0,0.0,
GBR,,,,,,,,soft_framework,,,,,,,1,1,8,865.0,2018.0,2025.0,7.0,
GHA,0.0,0.0,2.0,4.0,3.0,9.0,strategy_only,soft_framework,low,low,strategy_led,strategy_led,low,medium-high,1,1,4,0.0,2012.0,2012.0,0.0,
HUN,,,,,,,,,,,,,,,0,1,4,539.0,2024.0,2025.0,1.0,
IND,0.0,0.0,4.0,5.0,10.0,12.0,(implícito),soft_framework,medium,medium,light_touch,sectoral_with_soft_governance,,,1,1,5,199.0,2018.0,2023.0,5.0,
IRL,,,,,,,,,,,,,,,1,1,4,429.0,2024.0,2024.0,0.0,
ISR,0.0,0.0,4.0,5.0,8.0,10.0,strategy_only,soft_framework,medium,medium,light_touch,light_touch,medium,medium-high,0,1,4,125.0,2023.0,2025.0,2.0,
ITA,,,,,,,,binding_regulation,,,,,,,0,0,5,159.0,2018.0,2025.0,7.0,
JOR,0.0,0.0,2.0,5.0,3.0,8.0,strategy_led,soft_framework,low,medium,,,low,medium,0,1,1,0.0,,,,
JPN,,,,,,,,binding_regulation,,,,,,,0,0,11,369.0,2022.0,2025.0,3.0,
KAZ,,,2.0,9.0,3.0,12.0,no_framework,binding_regulation,low,high,strategy_led,comprehensive,low,high,0,0,0,0.0,2025.0,2025.0,0.0,
KOR,,,,,,,,binding_regulation,,,,,,,1,0,5,225.0,2019.0,2026.0,7.0,
LBN,0.0,0.0,0.0,5.0,1.0,7.0,no_framework,strategy_only,none,low,none,strategy_led,low,medium,1,1,1,54.0,2025.0,2025.0,0.0,
MNG,0.0,0.0,1.0,3.0,1.0,5.0,strategy_only/no_framework_(ambiguous),soft_framework,none,low,light_touch,strategy_led,,,1,0,3,14.0,2021.0,2021.0,0.0,
NLD,,,,,,,,,,,,,,,1,0,5,316.0,2019.0,2024.0,5.0,
