iso3,fh_status,fh_total_score,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year
ARE,NF,17,7,10,0,2025
ARG,F,84,36,48,2,2025
ARM,PF,54,24,30,1,2025
AUS,F,95,39,56,2,2025
AUT,F,93,37,56,2,2025
BEL,F,96,39,57,2,2025
BGD,PF,40,15,25,1,2025
BGR,F,78,33,45,2,2025
BHR,NF,12,2,10,0,2025
BLR,NF,8,1,7,0,2025
BLZ,F,86,36,50,2,2025
BRA,F,72,31,41,2,2025
BRB,F,94,39,55,2,2025
CAN,F,97,39,58,2,2025
CHE,F,96,39,57,2,2025
CHL,F,94,38,56,2,2025
CHN,NF,9,-2,11,0,2025
CMR,NF,14,7,7,0,2025
COL,PF,67,32,35,1,2025
CRI,F,91,37,54,2,2025
CYP,F,93,37,56,2,2025
CZE,F,91,37,54,2,2025
DEU,F,93,37,56,2,2025
DNK,F,97,40,57,2,2025
ECU,PF,68,30,38,1,2025
EGY,NF,18,6,12,0,2025
ESP,F,90,37,53,2,2025
EST,F,95,39,56,2,2025
FIN,F,100,40,60,2,2025
FRA,F,89,37,52,2,2025
GBR,F,91,36,55,2,2025
GHA,F,80,34,46,2,2025
GRC,F,84,34,50,2,2025
HRV,F,84,35,49,2,2025
HUN,PF,65,26,39,1,2025
IDN,PF,58,30,28,1,2025
IND,PF,66,33,33,1,2025
IRL,F,97,39,58,2,2025
ISL,F,94,38,56,2,2025
ISR,F,74,32,42,2,2025
ITA,F,89,36,53,2,2025
JOR,NF,33,11,22,0,2025
JPN,F,96,40,56,2,2025
KAZ,NF,23,8,15,0,2025
KEN,PF,52,22,30,1,2025
KOR,F,83,33,50,2,2025
LBN,PF,42,18,24,1,2025
LKA,PF,57,25,32,1,2025
LTU,F,89,37,52,2,2025
LUX,F,97,40,57,2,2025
LVA,F,89,37,52,2,2025
MAR,PF,36,13,23,1,2025
MEX,PF,60,27,33,1,2025
MLT,F,90,36,54,2,2025
MNG,F,84,36,48,2,2025
MUS,F,84,36,48,2,2025
MYS,PF,53,22,31,1,2025
NGA,PF,43,21,22,1,2025
NLD,F,97,39,58,2,2025
NOR,F,100,40,60,2,2025
NZL,F,99,40,59,2,2025
PAK,NF,27,12,15,0,2025
PAN,F,83,36,47,2,2025
PER,PF,66,28,38,1,2025
PHL,PF,58,25,33,1,2025
POL,F,81,34,47,2,2025
PRT,F,94,38,56,2,2025
ROU,F,83,35,48,2,2025
RUS,NF,12,5,7,0,2025
SAU,NF,8,1,7,0,2025
SGP,PF,48,19,29,1,2025
SRB,PF,57,23,34,1,2025
SVK,F,85,35,50,2,2025
SVN,F,95,39,56,2,2025
SWE,F,100,40,60,2,2025
SYC,F,79,34,45,2,2025
THA,PF,36,13,23,1,2025
TUN,PF,49,21,28,1,2025
TUR,NF,33,15,18,0,2025
TWN,F,94,38,56,2,2025
UGA,NF,35,13,22,0,2025
UKR,PF,48,19,29,1,2025
URY,F,97,40,57,2,2025
USA,F,83,33,50,2,2025
VNM,NF,19,3,16,0,2025
ZAF,F,79,33,46,2,2025
