iso3,has_gdpr_like_law,gdpr_similarity_level,dp_law_name,dp_law_year,has_dpa,eu_status,enforcement_active
ARE,1,2,Federal PDPL Law No. 45 of 2021,2021,1,none,1
ARG,1,3,Law 25.326 Personal Data Protection,2000,1,adequacy,1
ARM,1,2,Law on Protection of Personal Data,2015,1,none,1
AUS,1,2,Privacy Act 1988 (amended),1988,1,none,1
AUT,1,3,GDPR + Datenschutzgesetz (DSG),2018,1,eu_member,1
BEL,1,3,GDPR + Law of 30 July 2018,2018,1,eu_member,1
BGD,1,2,Data Protection Act,2023,0,none,0
BGR,1,3,GDPR + Personal Data Protection Act,2018,1,eu_member,1
BHR,1,2,Personal Data Protection Law No. 30/2018,2018,1,none,1
BLR,1,2,Law on Personal Data Protection,2021,1,none,1
BLZ,1,2,Data Protection Act,2021,0,none,0
BRA,1,2,LGPD Law 13.709/2018,2018,1,none,1
BRB,1,2,Data Protection Act,2019,1,none,1
CAN,1,3,PIPEDA + provincial laws,2000,1,adequacy,1
CHE,1,3,Federal Act on Data Protection (revised nFADP),2023,1,adequacy,1
CHL,1,2,Law 21.719 Personal Data Protection,2024,1,none,0
CHN,1,2,Personal Information Protection Law (PIPL),2021,1,none,1
CMR,0,1,Sectoral frameworks only (Law 2010/012 on electronic communications),2010,0,none,0
COL,1,2,Law 1581 of 2012 + Decree 1377/2013,2012,1,none,1
CRI,1,2,Law 8968 Protection of Persons,2011,1,none,1
CYP,1,3,GDPR + Law 125(I)/2018,2018,1,eu_member,1
CZE,1,3,GDPR + Act 110/2019,2018,1,eu_member,1
DEU,1,3,GDPR + BDSG,2018,1,eu_member,1
DNK,1,3,GDPR + Data Protection Act,2018,1,eu_member,1
ECU,1,2,Ley Organica de Proteccion de Datos Personales (LOPDP),2021,1,none,1
EGY,1,2,Law 151/2020 Personal Data Protection,2020,0,none,0
ESP,1,3,GDPR + LOPDGDD,2018,1,eu_member,1
EST,1,3,GDPR + Personal Data Protection Act,2018,1,eu_member,1
FIN,1,3,GDPR + Data Protection Act,2018,1,eu_member,1
FRA,1,3,GDPR + Loi Informatique et Libertes (amended),2018,1,eu_member,1
GBR,1,3,UK GDPR + Data Protection Act 2018,2018,1,adequacy,1
GHA,1,2,Data Protection Act 843,2012,1,none,1
GRC,1,3,GDPR + Law 4624/2019,2018,1,eu_member,1
HRV,1,3,GDPR + Data Protection Implementation Act,2018,1,eu_member,1
HUN,1,3,GDPR + Act CXII of 2011 (amended),2018,1,eu_member,1
IDN,1,2,Personal Data Protection Law 27/2022,2022,0,none,0
IND,1,2,Digital Personal Data Protection Act,2023,0,none,0
IRL,1,3,GDPR + Data Protection Act 2018,2018,1,eu_member,1
ISL,1,3,GDPR (EEA) + Act 90/2018,2018,1,eea_member,1
ISR,1,3,Protection of Privacy Law 5741-1981 (amended),1981,1,adequacy,1
ITA,1,3,GDPR + Legislative Decree 196/2003 (amended),2018,1,eu_member,1
JOR,1,2,Personal Data Protection Law,2023,0,none,0
JPN,1,3,Act on the Protection of Personal Information (APPI) amended,2022,1,adequacy,1
