iso3,legal_origin,is_common_law
ARE,English,1
ARG,French,0
ARM,Socialist,0
AUS,English,1
AUT,German,0
BEL,French,0
BGD,English,1
BGR,Socialist,0
BHR,English,1
BLR,Socialist,0
BLZ,English,1
BRA,French,0
BRB,English,1
CAN,English,1
CHE,German,0
CHL,French,0
CHN,German,0
CMR,French,0
COL,French,0
CRI,French,0
CYP,English,1
CZE,Socialist,0
DEU,German,0
DNK,Scandinavian,0
ECU,French,0
EGY,French,0
ESP,French,0
EST,Socialist,0
FIN,Scandinavian,0
FRA,French,0
GBR,English,1
GHA,English,1
GRC,French,0
HRV,Socialist,0
HUN,Socialist,0
IDN,French,0
IND,English,1
IRL,English,1
ISL,Scandinavian,0
ISR,English,1
ITA,French,0
JOR,French,0
JPN,German,0
KAZ,Socialist,0
KEN,English,1
KOR,German,0
LBN,French,0
LKA,English,1
LTU,Socialist,0
LUX,French,0
LVA,Socialist,0
MAR,French,0
MEX,French,0
MLT,English,1
MNG,Socialist,0
MUS,French,0
MYS,English,1
NGA,English,1
NLD,French,0
NOR,Scandinavian,0
NZL,English,1
PAK,English,1
PAN,French,0
PER,French,0
PHL,French,0
POL,Socialist,0
PRT,French,0
ROU,Socialist,0
RUS,Socialist,0
SAU,French,0
SGP,English,1
SRB,Socialist,0
SVK,Socialist,0
SVN,Socialist,0
SWE,Scandinavian,0
SYC,French,0
THA,German,0
TUN,French,0
TUR,French,0
TWN,German,0
UGA,English,1
UKR,Socialist,0
URY,French,0
USA,English,1
VNM,Socialist,0
ZAF,English,1
