iso3,gii_score,region_un,gii_year,source
ARE,44.1544888281242,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
ARG,26.7779545767115,Latin America and the Caribbean,2025.0,WIPO_GII_2025
ARM,30.448190677743,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
AUS,48.0058166127025,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
AUT,50.0967566107785,Europe,2025.0,WIPO_GII_2025
BEL,48.463340688029,Europe,2025.0,WIPO_GII_2025
BGD,20.951047653279,Central and Southern Asia,2025.0,WIPO_GII_2025
BGR,39.0927629267023,Europe,2025.0,WIPO_GII_2025
BHR,30.01576627996,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
BLR,25.0990285299842,Europe,2025.0,WIPO_GII_2025
BLZ,,,,WIPO_GII_2025
BRA,32.8689996973019,Latin America and the Caribbean,2025.0,WIPO_GII_2025
BRB,25.1250313227345,Latin America and the Caribbean,2025.0,WIPO_GII_2025
CAN,51.0643545243557,Northern America,2025.0,WIPO_GII_2025
CHE,65.9619514450125,Europe,2025.0,WIPO_GII_2025
CHL,33.0660923295208,Latin America and the Caribbean,2025.0,WIPO_GII_2025
CHN,56.5551447506996,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
CMR,18.1843870946301,Sub-Saharan Africa,2025.0,WIPO_GII_2025
COL,28.4802835988839,Latin America and the Caribbean,2025.0,WIPO_GII_2025
CRI,28.3589014854175,Latin America and the Caribbean,2025.0,WIPO_GII_2025
CYP,45.4989362579263,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
CZE,42.0357587785266,Europe,2025.0,WIPO_GII_2025
DEU,55.4553512524913,Europe,2025.0,WIPO_GII_2025
DNK,56.914915504656,Europe,2025.0,WIPO_GII_2025
ECU,19.5397643865799,Latin America and the Caribbean,2025.0,WIPO_GII_2025
EGY,24.7122281668271,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
ESP,44.6070366016514,Europe,2025.0,WIPO_GII_2025
EST,51.091978139021,Europe,2025.0,WIPO_GII_2025
FIN,57.7063647384345,Europe,2025.0,WIPO_GII_2025
FRA,53.4156786988289,Europe,2025.0,WIPO_GII_2025
GBR,59.1153757105143,Europe,2025.0,WIPO_GII_2025
GHA,21.8535373304419,Sub-Saharan Africa,2025.0,WIPO_GII_2025
GRC,37.3467991812641,Europe,2025.0,WIPO_GII_2025
HRV,37.6794484448472,Europe,2025.0,WIPO_GII_2025
HUN,39.9943737874299,Europe,2025.0,WIPO_GII_2025
IDN,31.305020749127,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
IND,38.1998133830439,Central and Southern Asia,2025.0,WIPO_GII_2025
IRL,50.3512250208889,Europe,2025.0,WIPO_GII_2025
ISL,47.0172011061986,Europe,2025.0,WIPO_GII_2025
ISR,52.2499679129743,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
ITA,44.9447399864804,Europe,2025.0,WIPO_GII_2025
JOR,29.6936103734472,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
JPN,53.5565691353389,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
KAZ,26.341209901218,Central and Southern Asia,2025.0,WIPO_GII_2025
KEN,21.3791141049195,Sub-Saharan Africa,2025.0,WIPO_GII_2025
KOR,59.9976353178735,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
LBN,23.6120255291244,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
LKA,22.9052774592463,Central and Southern Asia,2025.0,WIPO_GII_2025
LTU,40.7890541798699,Europe,2025.0,WIPO_GII_2025
LUX,47.2652289615258,Europe,2025.0,WIPO_GII_2025
LVA,37.5271138784222,Europe,2025.0,WIPO_GII_2025
MAR,31.0479471722523,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
MEX,30.5127163343233,Latin America and the Caribbean,2025.0,WIPO_GII_2025
MLT,45.3472846775166,Europe,2025.0,WIPO_GII_2025
MNG,26.6945540254358,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
MUS,32.5030604688201,Sub-Saharan Africa,2025.0,WIPO_GII_2025
MYS,40.5814895487474,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
NGA,21.0815209410651,Sub-Saharan Africa,2025.0,WIPO_GII_2025
NLD,57.035492429262,Europe,2025.0,WIPO_GII_2025
NOR,49.2378087475471,Europe,2025.0,WIPO_GII_2025
NZL,45.4891781536966,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
PAK,22.0640834582869,Central and Southern Asia,2025.0,WIPO_GII_2025
PAN,25.8798675140179,Latin America and the Caribbean,2025.0,WIPO_GII_2025
PER,26.4660453517052,Latin America and the Caribbean,2025.0,WIPO_GII_2025
PHL,33.5939127875318,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
POL,37.7080354431444,Europe,2025.0,WIPO_GII_2025
PRT,43.8576909479602,Europe,2025.0,WIPO_GII_2025
ROU,34.2643558022539,Europe,2025.0,WIPO_GII_2025
RUS,30.2640735373132,Europe,2025.0,WIPO_GII_2025
SAU,36.0448190047954,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
SGP,59.9434212495639,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
SRB,31.7434550377633,Europe,2025.0,WIPO_GII_2025
SVK,35.5078995905856,Europe,2025.0,WIPO_GII_2025
SVN,40.1045760929647,Europe,2025.0,WIPO_GII_2025
SWE,62.5781910502956,Europe,2025.0,WIPO_GII_2025
SYC,27.1626135583414,Sub-Saharan Africa,2025.0,WIPO_GII_2025
THA,36.6722982832117,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
TUN,26.9867919028168,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
TUR,37.2017171076035,Northern Africa and Western Asia,2025.0,WIPO_GII_2025
TWN,,,,WIPO_GII_2025
UGA,17.0672701323701,Sub-Saharan Africa,2025.0,WIPO_GII_2025
UKR,29.6910120248977,Europe,2025.0,WIPO_GII_2025
URY,28.837903949844,Latin America and the Caribbean,2025.0,WIPO_GII_2025
USA,61.6892112586677,Northern America,2025.0,WIPO_GII_2025
VNM,37.0799641407315,"South East Asia, East Asia, and Oceania",2025.0,WIPO_GII_2025
ZAF,30.1382792250188,Sub-Saharan Africa,2025.0,WIPO_GII_2025
