iso3,ai_adoption_rate,adoption_period,ai_user_share_h1_2025,ai_user_share_h2_2025,source
ARE,64.0,H2_2025,59.4,64.0,Microsoft_AIEI_2025
ARG,19.6,H2_2025,17.8,19.6,Microsoft_AIEI_2025
ARM,6.6,H2_2025,6.2,6.6,Microsoft_AIEI_2025
AUS,36.9,H2_2025,34.5,36.9,Microsoft_AIEI_2025
AUT,31.4,H2_2025,29.1,31.4,Microsoft_AIEI_2025
BEL,36.0,H2_2025,33.5,36.0,Microsoft_AIEI_2025
BGD,7.1,H2_2025,6.5,7.1,Microsoft_AIEI_2025
BGR,27.3,H2_2025,25.4,27.3,Microsoft_AIEI_2025
BHR,,,,,Microsoft_AIEI_2025
BLR,8.4,H2_2025,7.6,8.4,Microsoft_AIEI_2025
BLZ,,,,,Microsoft_AIEI_2025
BRA,17.1,H2_2025,15.6,17.1,Microsoft_AIEI_2025
BRB,,,,,Microsoft_AIEI_2025
CAN,35.0,H2_2025,33.5,35.0,Microsoft_AIEI_2025
CHE,34.8,H2_2025,32.4,34.8,Microsoft_AIEI_2025
CHL,20.8,H2_2025,19.6,20.8,Microsoft_AIEI_2025
CHN,16.3,H2_2025,15.4,16.3,Microsoft_AIEI_2025
CMR,7.8,H2_2025,7.0,7.8,Microsoft_AIEI_2025
COL,22.0,H2_2025,20.4,22.0,Microsoft_AIEI_2025
CRI,26.5,H2_2025,25.1,26.5,Microsoft_AIEI_2025
CYP,,,,,Microsoft_AIEI_2025
CZE,27.8,H2_2025,26.0,27.8,Microsoft_AIEI_2025
DEU,28.6,H2_2025,26.5,28.6,Microsoft_AIEI_2025
DNK,28.7,H2_2025,26.6,28.7,Microsoft_AIEI_2025
ECU,17.7,H2_2025,17.0,17.7,Microsoft_AIEI_2025
EGY,13.4,H2_2025,12.5,13.4,Microsoft_AIEI_2025
ESP,41.8,H2_2025,39.7,41.8,Microsoft_AIEI_2025
EST,,,,,Microsoft_AIEI_2025
FIN,27.3,H2_2025,25.6,27.3,Microsoft_AIEI_2025
FRA,44.0,H2_2025,40.9,44.0,Microsoft_AIEI_2025
GBR,38.9,H2_2025,36.4,38.9,Microsoft_AIEI_2025
GHA,9.3,H2_2025,8.7,9.3,Microsoft_AIEI_2025
GRC,19.1,H2_2025,17.7,19.1,Microsoft_AIEI_2025
HRV,23.7,H2_2025,21.8,23.7,Microsoft_AIEI_2025
HUN,29.8,H2_2025,27.9,29.8,Microsoft_AIEI_2025
IDN,12.7,H2_2025,11.7,12.7,Microsoft_AIEI_2025
IND,15.7,H2_2025,14.2,15.7,Microsoft_AIEI_2025
IRL,44.6,H2_2025,41.7,44.6,Microsoft_AIEI_2025
ISL,,,,,Microsoft_AIEI_2025
ISR,36.1,H2_2025,33.9,36.1,Microsoft_AIEI_2025
ITA,27.8,H2_2025,25.8,27.8,Microsoft_AIEI_2025
JOR,27.0,H2_2025,25.4,27.0,Microsoft_AIEI_2025
JPN,19.1,H2_2025,16.7,19.1,Microsoft_AIEI_2025
KAZ,13.7,H2_2025,12.7,13.7,Microsoft_AIEI_2025
KEN,8.1,H2_2025,7.8,8.1,Microsoft_AIEI_2025
KOR,30.7,H2_2025,25.9,30.7,Microsoft_AIEI_2025
LBN,25.7,H2_2025,24.8,25.7,Microsoft_AIEI_2025
LKA,6.6,H2_2025,6.2,6.6,Microsoft_AIEI_2025
LTU,22.4,H2_2025,21.0,22.4,Microsoft_AIEI_2025
LUX,,,,,Microsoft_AIEI_2025
LVA,,,,,Microsoft_AIEI_2025
MAR,10.9,H2_2025,10.5,10.9,Microsoft_AIEI_2025
MEX,17.8,H2_2025,16.7,17.8,Microsoft_AIEI_2025
MLT,,,,,Microsoft_AIEI_2025
MNG,14.3,H2_2025,12.6,14.3,Microsoft_AIEI_2025
MUS,,,,,Microsoft_AIEI_2025
MYS,19.7,H2_2025,18.3,19.7,Microsoft_AIEI_2025
NGA,9.3,H2_2025,8.7,9.3,Microsoft_AIEI_2025
NLD,38.9,H2_2025,36.3,38.9,Microsoft_AIEI_2025
NOR,46.4,H2_2025,45.3,46.4,Microsoft_AIEI_2025
NZL,40.5,H2_2025,37.6,40.5,Microsoft_AIEI_2025
PAK,10.3,H2_2025,9.7,10.3,Microsoft_AIEI_2025
PAN,21.5,H2_2025,20.3,21.5,Microsoft_AIEI_2025
PER,14.7,H2_2025,13.4,14.7,Microsoft_AIEI_2025
PHL,18.3,H2_2025,17.1,18.3,Microsoft_AIEI_2025
POL,28.5,H2_2025,26.4,28.5,Microsoft_AIEI_2025
PRT,24.2,H2_2025,22.4,24.2,Microsoft_AIEI_2025
ROU,16.2,H2_2025,15.3,16.2,Microsoft_AIEI_2025
RUS,8.0,H2_2025,7.6,8.0,Microsoft_AIEI_2025
SAU,26.2,H2_2025,23.7,26.2,Microsoft_AIEI_2025
SGP,60.9,H2_2025,58.6,60.9,Microsoft_AIEI_2025
SRB,21.5,H2_2025,19.7,21.5,Microsoft_AIEI_2025
SVK,23.8,H2_2025,22.1,23.8,Microsoft_AIEI_2025
SVN,26.5,H2_2025,24.6,26.5,Microsoft_AIEI_2025
SWE,33.3,H2_2025,31.2,33.3,Microsoft_AIEI_2025
SYC,,,,,Microsoft_AIEI_2025
THA,10.7,H2_2025,9.1,10.7,Microsoft_AIEI_2025
TUN,12.7,H2_2025,12.3,12.7,Microsoft_AIEI_2025
TUR,14.6,H2_2025,13.4,14.6,Microsoft_AIEI_2025
TWN,28.4,H2_2025,26.4,28.4,Microsoft_AIEI_2025
UGA,6.8,H2_2025,6.4,6.8,Microsoft_AIEI_2025
UKR,9.0,H2_2025,9.1,9.0,Microsoft_AIEI_2025
URY,22.5,H2_2025,20.9,22.5,Microsoft_AIEI_2025
USA,28.3,H2_2025,26.3,28.3,Microsoft_AIEI_2025
VNM,23.5,H2_2025,21.2,23.5,Microsoft_AIEI_2025
ZAF,21.1,H2_2025,19.3,21.1,Microsoft_AIEI_2025
