iso3,ai_readiness_score,readiness_year,source
ARE,69.86,2025,Oxford_Insights_GAIRI_2025
ARG,58.25,2025,Oxford_Insights_GAIRI_2025
ARM,38.95,2025,Oxford_Insights_GAIRI_2025
AUS,75.73,2025,Oxford_Insights_GAIRI_2025
AUT,69.72,2025,Oxford_Insights_GAIRI_2025
BEL,65.17,2025,Oxford_Insights_GAIRI_2025
BGD,48.37,2025,Oxford_Insights_GAIRI_2025
BGR,56.6,2025,Oxford_Insights_GAIRI_2025
BHR,59.57,2025,Oxford_Insights_GAIRI_2025
BLR,32.47,2025,Oxford_Insights_GAIRI_2025
BLZ,22.68,2025,Oxford_Insights_GAIRI_2025
BRA,69.55,2025,Oxford_Insights_GAIRI_2025
BRB,23.33,2025,Oxford_Insights_GAIRI_2025
CAN,74.66,2025,Oxford_Insights_GAIRI_2025
CHE,66.95,2025,Oxford_Insights_GAIRI_2025
CHL,59.3,2025,Oxford_Insights_GAIRI_2025
CHN,76.27,2025,Oxford_Insights_GAIRI_2025
CMR,34.91,2025,Oxford_Insights_GAIRI_2025
COL,56.02,2025,Oxford_Insights_GAIRI_2025
CRI,45.92,2025,Oxford_Insights_GAIRI_2025
CYP,59.71,2025,Oxford_Insights_GAIRI_2025
CZE,64.56,2025,Oxford_Insights_GAIRI_2025
DEU,76.78,2025,Oxford_Insights_GAIRI_2025
DNK,74.75,2025,Oxford_Insights_GAIRI_2025
ECU,53.04,2025,Oxford_Insights_GAIRI_2025
EGY,59.1,2025,Oxford_Insights_GAIRI_2025
ESP,74.22,2025,Oxford_Insights_GAIRI_2025
EST,69.56,2025,Oxford_Insights_GAIRI_2025
FIN,70.3,2025,Oxford_Insights_GAIRI_2025
FRA,80.81,2025,Oxford_Insights_GAIRI_2025
GBR,77.75,2025,Oxford_Insights_GAIRI_2025
GHA,47.42,2025,Oxford_Insights_GAIRI_2025
GRC,60.51,2025,Oxford_Insights_GAIRI_2025
HRV,49.79,2025,Oxford_Insights_GAIRI_2025
HUN,63.17,2025,Oxford_Insights_GAIRI_2025
IDN,59.87,2025,Oxford_Insights_GAIRI_2025
IND,66.55,2025,Oxford_Insights_GAIRI_2025
IRL,70.58,2025,Oxford_Insights_GAIRI_2025
ISL,60.49,2025,Oxford_Insights_GAIRI_2025
ISR,71.32,2025,Oxford_Insights_GAIRI_2025
ITA,68.81,2025,Oxford_Insights_GAIRI_2025
JOR,56.07,2025,Oxford_Insights_GAIRI_2025
JPN,72.24,2025,Oxford_Insights_GAIRI_2025
KAZ,56.7,2025,Oxford_Insights_GAIRI_2025
KEN,52.55,2025,Oxford_Insights_GAIRI_2025
KOR,76.89,2025,Oxford_Insights_GAIRI_2025
LBN,34.26,2025,Oxford_Insights_GAIRI_2025
LKA,45.6,2025,Oxford_Insights_GAIRI_2025
LTU,65.31,2025,Oxford_Insights_GAIRI_2025
LUX,64.28,2025,Oxford_Insights_GAIRI_2025
LVA,59.14,2025,Oxford_Insights_GAIRI_2025
MAR,43.06,2025,Oxford_Insights_GAIRI_2025
MEX,48.33,2025,Oxford_Insights_GAIRI_2025
MLT,61.48,2025,Oxford_Insights_GAIRI_2025
MNG,40.86,2025,Oxford_Insights_GAIRI_2025
MUS,52.76,2025,Oxford_Insights_GAIRI_2025
MYS,62.34,2025,Oxford_Insights_GAIRI_2025
NGA,50.79,2025,Oxford_Insights_GAIRI_2025
NLD,77.18,2025,Oxford_Insights_GAIRI_2025
NOR,74.84,2025,Oxford_Insights_GAIRI_2025
NZL,62.7,2025,Oxford_Insights_GAIRI_2025
PAK,45.38,2025,Oxford_Insights_GAIRI_2025
PAN,39.3,2025,Oxford_Insights_GAIRI_2025
PER,56.52,2025,Oxford_Insights_GAIRI_2025
PHL,60.51,2025,Oxford_Insights_GAIRI_2025
POL,69.14,2025,Oxford_Insights_GAIRI_2025
PRT,66.09,2025,Oxford_Insights_GAIRI_2025
ROU,56.73,2025,Oxford_Insights_GAIRI_2025
RUS,59.57,2025,Oxford_Insights_GAIRI_2025
SAU,71.57,2025,Oxford_Insights_GAIRI_2025
SGP,76.42,2025,Oxford_Insights_GAIRI_2025
SRB,60.96,2025,Oxford_Insights_GAIRI_2025
SVK,48.55,2025,Oxford_Insights_GAIRI_2025
SVN,62.71,2025,Oxford_Insights_GAIRI_2025
SWE,69.45,2025,Oxford_Insights_GAIRI_2025
SYC,27.24,2025,Oxford_Insights_GAIRI_2025
THA,63.22,2025,Oxford_Insights_GAIRI_2025
TUN,42.23,2025,Oxford_Insights_GAIRI_2025
TUR,58.91,2025,Oxford_Insights_GAIRI_2025
TWN,64.81,2025,Oxford_Insights_GAIRI_2025
UGA,35.76,2025,Oxford_Insights_GAIRI_2025
UKR,60.84,2025,Oxford_Insights_GAIRI_2025
URY,58.47,2025,Oxford_Insights_GAIRI_2025
USA,88.36,2025,Oxford_Insights_GAIRI_2025
VNM,59.98,2025,Oxford_Insights_GAIRI_2025
ZAF,53.94,2025,Oxford_Insights_GAIRI_2025
