iso3,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,source
ARE,,3.671712708,1.772767429,36.0,8.0,,2024.0,2024.0,Stanford_AI_Index_2025
ARG,0.004391898,1.566448147,,10.0,,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
ARM,,0.00443894,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
AUS,0.382610747,3.985426167,0.427455242,178.0,23.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
AUT,0.229966597,2.221597133,1.505925924,51.0,10.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
BEL,0.084836185,1.259241341,0.186256546,51.0,9.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
BGD,,0.0022,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
BGR,0.155120625,0.047091907,0.007164227,8.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
BHR,,0.0158,,2.0,,,2024.0,2024.0,Stanford_AI_Index_2025
BLR,,0.012,,2.0,,,2024.0,2024.0,Stanford_AI_Index_2025
BLZ,,0.0265,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
BRA,0.023680888,2.184213152,0.689429072,85.0,17.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
BRB,,0.0015,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
CAN,0.174573338,15.30599504,2.887230487,481.0,51.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
CHE,0.191267126,3.897936818,0.428615762,154.0,22.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
CHL,0.005086771,0.68210051,0.009,17.0,,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
CHN,6.08154759,119.3198229,9.290337909,1605.0,98.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
CMR,,0.005,0.005,1.0,1.0,,2024.0,2024.0,Stanford_AI_Index_2025
COL,0.001911273,0.07194705,0.01,10.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
CRI,,0.005932492,0.004332492,2.0,1.0,,2024.0,2024.0,Stanford_AI_Index_2025
CYP,,0.129032893,0.004167409,8.0,2.0,,2024.0,2024.0,Stanford_AI_Index_2025
