atributo,valor
iso3,ARE
country_name,United Arab Emirates
region,Northern Africa and Western Asia
income_group,HI
iapp_jurisdiction_iapp,United Arab Emirates
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,5
iapp_enforcement_level,medium
iapp_thematic_coverage,9
iapp_evidence_summary,"AI Ministry since 2017 (world first), National Strategy for AI, AI Ethics Principles, AI coding license, draft AI law Apr 2025, DIFC AI regulation in force (sectoral)"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.86
oxford_rank,19
oxford_pillar_policy_capacity,73.0
oxford_pillar_ai_infrastructure,73.77
oxford_pillar_governance,72.5
oxford_pillar_public_sector_adoption,97.27
oxford_pillar_development_and_diffusion,57.34
oxford_pillar_resilience,43.15
oxford_dimension_compute_capacity,40.49
oxford_dimension_policy_vision,70.0
oxford_dimension_e_government_delivery,97.91
oxford_dimension_safety_and_security,33.33
oxford_dimension_ai_sector_maturity,38.61
oxford_dimension_human_capital,71.72
oxford_dimension_data_quality,94.06
oxford_dimension_regulatory_compliance,70.0
oxford_dimension_government_digital_policy,96.63
oxford_dimension_societal_transition,52.98
oxford_dimension_ai_technology_diffusion,67.95
ms_ai_user_share_h1_2025,59.4
ms_ai_user_share_h2_2025,64.0
ms_ai_user_share_change_pp,4.5
fh_country_name,United Arab Emirates
fh_fh_status,NF
fh_fh_total_score,17
fh_fh_pr_score,7
fh_fh_cl_score,10
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,United Arab Emirates
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Federal PDPL Law No. 45 of 2021
gdpr_dp_law_year,2021
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Comprehensive federal law + DIFC/ADGM zones; UAE Data Office established
legal_origin,English
is_common_law,1
wipo_gii_score,44.1544888281242
wipo_gii_rank,30
wipo_income_group_wipo,HI
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,77251.44
wipo_population_thousands,11027.13
wipo_business_environment,92.9015494653313
wipo_business_sophistication,49.8665141206488
wipo_creative_goods_and_services,27.4301842067468
wipo_creative_outputs,32.7655859206705
wipo_credit,53.4693358098661
wipo_ecological_sustainability,15.9120433177815
wipo_education,56.2260662616119
wipo_general_infrastructure,60.2980649126728
wipo_human_capital_and_research,54.3572325147415
wipo_information_and_communication_technologies_icts,89.7803063720655
wipo_infrastructure,55.33013820084
wipo_innovation_inputs,57.6646076406426
wipo_innovation_linkages,51.8962415760228
wipo_innovation_outputs,27.9434048447325
wipo_institutional_environment,78.3005178514408
wipo_institutions,79.8750524051509
wipo_intangible_assets,35.4794565356984
wipo_investment,32.1914932708705
wipo_knowledge_absorption,42.5385884186588
wipo_knowledge_and_technology_outputs,23.1212237687944
wipo_knowledge_creation,7.93803387767057
wipo_knowledge_diffusion,28.1885909594944
wipo_knowledge_impact,33.2370464692182
wipo_knowledge_workers,55.1647123672648
wipo_market_sophistication,48.8941009618319
wipo_online_creativity,32.6732464045385
wipo_regulatory_environment,68.4230898986806
wipo_research_and_development_r_d,36.6597029029209
wipo_tertiary_education,70.1859283796919
wipo_trade_diversification_and_market_scale,61.0214738047592
wb_gdp_per_capita_ppp_2024,79228.738801276
wb_rd_expenditure_2021,1.49469
wb_internet_penetration_2024,100.0
wb_tertiary_education_2024,63.7384451086316
wb_government_effectiveness_2023,1.60428190231323
wb_regulatory_quality_2023,1.04239141941071
wb_rule_of_law_2023,0.881900131702423
wb_control_of_corruption_2023,1.07366383075714
wb_voice_accountability_2023,-1.0949410200119
wb_political_stability_2023,0.677530944347382
wb_gdp_current_usd_2024,552324846834.581
wb_population_2024,10986400.0
wb_labor_force_2024,7233386.0
wb_fdi_net_inflows_2024,45636487406.3989
wb_exports_pct_gdp_2023,106.846139017261
wb_inflation_consumer_prices_2024,1.66336510224894
wb_unemployment_rate_2024,2.16
wb_education_expenditure_pct_gdp_2021,3.89403009414673
wb_mobile_subscriptions_per100_2023,199.424
wb_patent_applications_residents_2021,69.0
wb_high_tech_exports_pct,2.99865577867219
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,5
oecd_enforcement_level,medium
oecd_thematic_coverage,7
oecd_n_total_initiatives,7
oecd_n_binding,0
oecd_n_nonbinding,6
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,24.88%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.73
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.54%
stanford_fig_4.2.18,168%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,4.13
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.24,2.00%
stanford_fig_4.2.25,0.0400621093617029
stanford_fig_4.2.7,0.61%
stanford_fig_4.3.12,8
stanford_fig_4.3.13,36
stanford_fig_4.3.15,4.192175837
stanford_fig_4.3.16,2018
stanford_fig_4.3.8,1.772767429
stanford_fig_4.3.9,3.671712708
stanford_fig_4.4.12,Little or no change
stanford_fig_4.4.2,Human resources
stanford_fig_4.4.3,Decrease by <10%
stanford_fig_4.4.5,13%
stanford_fig_4.4.6,2023
stanford_fig_4.5.8,9
stanford_fig_1.1.11,4
stanford_fig_1.3.22,GPT-4o-2024-05
stanford_fig_1.3.3,3
stanford_fig_1.4.5,2014-02-18
stanford_fig_6.2.1,3
stanford_fig_6.2.20,2018
stanford_fig_6.2.8,1
