atributo,valor
iso3,ARM
country_name,Armenia
region,Europe-Other
income_group,UM
iapp_jurisdiction_iapp,Additional research (ARM)
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,1
iapp_enforcement_level,none
iapp_thematic_coverage,2
iapp_evidence_summary,No AI-specific legislation or strategy. Digital Armenia Strategy touches AI peripherally. UNESCO AI ethics recommendation adopted.
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,38.95
oxford_rank,103
oxford_pillar_policy_capacity,27.0
oxford_pillar_ai_infrastructure,41.02
oxford_pillar_governance,56.75
oxford_pillar_public_sector_adoption,57.4
oxford_pillar_development_and_diffusion,24.37
oxford_pillar_resilience,27.75
oxford_dimension_compute_capacity,3.29
oxford_dimension_policy_vision,30.0
oxford_dimension_e_government_delivery,69.81
oxford_dimension_safety_and_security,15.33
oxford_dimension_ai_sector_maturity,11.39
oxford_dimension_human_capital,23.68
oxford_dimension_data_quality,58.91
oxford_dimension_regulatory_compliance,70.0
oxford_dimension_government_digital_policy,45.0
oxford_dimension_societal_transition,40.16
oxford_dimension_ai_technology_diffusion,42.38
ms_ai_user_share_h1_2025,6.2
ms_ai_user_share_h2_2025,6.6
ms_ai_user_share_change_pp,0.4
fh_country_name,Armenia
fh_fh_status,PF
fh_fh_total_score,54
fh_fh_pr_score,24
fh_fh_cl_score,30
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Armenia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law on Protection of Personal Data
gdpr_dp_law_year,2015
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,PDPA of Armenia; Personal Data Protection Agency operational
legal_origin,Socialist
is_common_law,0
wipo_gii_score,30.448190677743
wipo_gii_rank,59
wipo_income_group_wipo,UM
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,23376.23
wipo_population_thousands,2973.84
wipo_business_environment,46.3592440406282
wipo_business_sophistication,22.7010654679433
wipo_creative_goods_and_services,25.4560203290115
wipo_creative_outputs,32.0503920800723
wipo_credit,27.7635227131484
wipo_ecological_sustainability,17.1628682061788
wipo_education,42.7871266528574
wipo_general_infrastructure,17.7716452448662
wipo_human_capital_and_research,25.222254869571
wipo_information_and_communication_technologies_icts,73.8112162458253
wipo_infrastructure,36.2485765656234
wipo_innovation_inputs,31.0544113798294
wipo_innovation_linkages,15.3911478324927
wipo_innovation_outputs,26.9831319534694
wipo_institutional_environment,45.8879485743954
wipo_institutions,44.1385162901005
wipo_intangible_assets,33.4699162061161
wipo_investment,5.05143258183063
wipo_knowledge_absorption,19.266471621983
wipo_knowledge_and_technology_outputs,21.9158718268664
wipo_knowledge_creation,19.4059394397112
wipo_knowledge_diffusion,22.2278567884902
wipo_knowledge_impact,24.1138192523979
wipo_knowledge_workers,33.4455769493543
wipo_market_sophistication,26.9616437059086
wipo_online_creativity,35.8057155790458
wipo_regulatory_environment,40.1683562552778
wipo_research_and_development_r_d,3.8693485473435
wipo_tertiary_education,29.0102894085122
wipo_trade_diversification_and_market_scale,48.0699758227466
wb_high_tech_exports_pct,9.79110110537429
wb_ict_service_exports_pct,10.6412555361173
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,1
oecd_enforcement_level,none
oecd_thematic_coverage,0
oecd_n_total_initiatives,1
oecd_n_binding,0
oecd_n_nonbinding,1
oecd_n_strategies,0
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.24,0.30%
stanford_fig_4.2.25,0.0083790032651927
stanford_fig_4.3.13,1
stanford_fig_4.3.9,0.00443894
stanford_fig_4.4.2,Human resources
stanford_fig_6.2.1,0
stanford_fig_6.2.15,0
stanford_fig_6.2.16,4
