atributo,valor
iso3,AUS
country_name,Australia
region,"South East Asia, East Asia, and Oceania"
income_group,HI
iapp_jurisdiction_iapp,Australia
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,5
iapp_enforcement_level,medium
iapp_thematic_coverage,11
iapp_evidence_summary,"Voluntary AI Ethics Framework, AI Action Plan, mandatory guardrails consultation 2024, proposed mandatory framework, strong existing regulators"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,75.73
oxford_rank,9
oxford_pillar_policy_capacity,100.0
oxford_pillar_ai_infrastructure,70.02
oxford_pillar_governance,79.04
oxford_pillar_public_sector_adoption,82.67
oxford_pillar_development_and_diffusion,62.7
oxford_pillar_resilience,82.94
oxford_dimension_compute_capacity,40.81
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,81.3
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,42.38
oxford_dimension_human_capital,81.39
oxford_dimension_data_quality,90.54
oxford_dimension_regulatory_compliance,83.08
oxford_dimension_government_digital_policy,84.03
oxford_dimension_societal_transition,65.89
oxford_dimension_ai_technology_diffusion,71.12
ms_ai_user_share_h1_2025,34.5
ms_ai_user_share_h2_2025,36.9
ms_ai_user_share_change_pp,2.4
fh_country_name,Australia
fh_fh_status,F
fh_fh_total_score,95
fh_fh_pr_score,39
fh_fh_cl_score,56
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Australia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Privacy Act 1988 (amended)
gdpr_dp_law_year,1988
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,OAIC active; major 2022 reforms strengthening enforcement; not adequacy
legal_origin,English
is_common_law,1
wipo_gii_score,48.0058166127025
wipo_gii_rank,22
wipo_income_group_wipo,HI
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,69475.41
wipo_population_thousands,26713.21
wipo_business_environment,57.5347983986332
wipo_business_sophistication,48.1578921004856
wipo_creative_goods_and_services,24.4363398413852
wipo_creative_outputs,42.0520570863482
wipo_credit,54.8771766003654
wipo_ecological_sustainability,23.9819925604223
wipo_education,61.7140425489604
wipo_general_infrastructure,47.0344512851236
wipo_human_capital_and_research,58.7018329315909
wipo_information_and_communication_technologies_icts,95.2223852026604
wipo_infrastructure,55.4129430160688
wipo_innovation_inputs,58.5992885219131
wipo_innovation_linkages,50.2563922725835
wipo_innovation_outputs,37.5928894766086
wipo_institutional_environment,83.9564807771533
wipo_institutions,76.9557473020728
wipo_intangible_assets,42.3939388159869
wipo_investment,33.0818790443276
wipo_knowledge_absorption,29.2909362454819
wipo_knowledge_and_technology_outputs,33.133721866869
wipo_knowledge_creation,46.2759866537401
wipo_knowledge_diffusion,16.2168520667107
wipo_knowledge_impact,36.9083268801561
wipo_knowledge_workers,64.9263477833914
wipo_market_sophistication,53.7680272593473
wipo_online_creativity,58.984010872034
wipo_regulatory_environment,89.375962730432
wipo_research_and_development_r_d,60.3038172317683
wipo_tertiary_education,54.0876390140441
wipo_trade_diversification_and_market_scale,73.3450261333489
wb_gdp_per_capita_ppp_2024,72111.1844628126
wb_rd_expenditure_2021,1.85509
wb_internet_penetration_2023,97.0631
wb_tertiary_education_2023,104.64835357666
wb_government_effectiveness_2023,1.58987963199615
wb_regulatory_quality_2023,1.94220554828644
wb_rule_of_law_2023,1.52318394184113
wb_control_of_corruption_2023,1.78120493888855
wb_voice_accountability_2023,1.50660192966461
wb_political_stability_2023,0.91705721616745
wb_gdp_current_usd_2024,1757022451652.83
wb_population_2024,27196812.0
wb_labor_force_2024,14907959.0
wb_fdi_net_inflows_2024,53393088476.4107
wb_exports_pct_gdp_2024,24.6215240529473
wb_inflation_consumer_prices_2024,3.1616142830575
wb_unemployment_rate_2024,3.942
wb_education_expenditure_pct_gdp_2022,5.05916023254395
wb_mobile_subscriptions_per100_2023,112.513
wb_patent_applications_residents_2021,2966.0
wb_high_tech_exports_pct,21.2199332352628
wb_ict_service_exports_pct,3.28826166040525
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2018.0
oecd_regulatory_intensity,17
oecd_enforcement_level,medium
oecd_thematic_coverage,9
oecd_n_total_initiatives,28
oecd_n_binding,2
oecd_n_nonbinding,23
oecd_n_strategies,0
oecd_n_regulations,12
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,16.78%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.95
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.80%
stanford_fig_4.2.18,143%
stanford_fig_4.2.19,2016
stanford_fig_4.2.2,2014
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,2.09
stanford_fig_4.2.23,1/1/24
stanford_fig_4.3.12,23
stanford_fig_4.3.13,178
stanford_fig_4.3.8,1.505925924
stanford_fig_4.3.9,3.985426167
stanford_fig_1.2.4,0.382610747
stanford_fig_1.2.5,2.403488733
stanford_fig_1.3.3,2
stanford_fig_6.2.1,1
stanford_fig_6.2.15,123
stanford_fig_6.2.16,538
stanford_fig_6.2.17,1
stanford_fig_6.2.3,1
stanford_fig_6.2.4,7
stanford_fig_6.3.1,28.57500667723543
stanford_fig_6.3.2,18
stanford_fig_6.3.3,924.885531
stanford_fig_6.3.4,316.6576099
stanford_fig_6.3.5,10.13587751613437
