atributo,valor
iso3,AUT
country_name,Austria
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Austria)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Austria as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.72
oxford_rank,20
oxford_pillar_policy_capacity,66.0
oxford_pillar_ai_infrastructure,61.39
oxford_pillar_governance,87.0
oxford_pillar_public_sector_adoption,81.6
oxford_pillar_development_and_diffusion,58.06
oxford_pillar_resilience,79.69
oxford_dimension_compute_capacity,17.43
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,95.96
oxford_dimension_safety_and_security,86.67
oxford_dimension_ai_sector_maturity,42.04
oxford_dimension_human_capital,70.15
oxford_dimension_data_quality,91.98
oxford_dimension_regulatory_compliance,77.75
oxford_dimension_government_digital_policy,67.24
oxford_dimension_societal_transition,72.7
oxford_dimension_ai_technology_diffusion,67.33
ms_ai_user_share_h1_2025,29.1
ms_ai_user_share_h2_2025,31.4
ms_ai_user_share_change_pp,2.2
fh_country_name,Austria
fh_fh_status,F
fh_fh_total_score,93
fh_fh_pr_score,37
fh_fh_cl_score,56
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Austria
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Datenschutzgesetz (DSG)
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; Datenschutzbehorde enforcement
legal_origin,German
is_common_law,0
wipo_gii_score,50.0967566107785
wipo_gii_rank,19
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,73050.85
wipo_population_thousands,9120.82
wipo_business_environment,59.5538000751924
wipo_business_sophistication,50.9687640424589
wipo_creative_goods_and_services,31.7760280359774
wipo_creative_outputs,44.4914881922488
wipo_credit,46.5621721300121
wipo_ecological_sustainability,32.0751697537467
wipo_education,62.8269590530546
wipo_general_infrastructure,50.5873337675901
wipo_human_capital_and_research,59.3941397828247
wipo_information_and_communication_technologies_icts,87.6319070533923
wipo_infrastructure,56.7648035249097
wipo_innovation_inputs,57.4078594634892
wipo_innovation_linkages,52.0885754828327
wipo_innovation_outputs,43.1452763626708
wipo_institutional_environment,80.4615734230202
wipo_institutions,74.7216181942958
wipo_intangible_assets,43.9358871234237
wipo_investment,21.5128900887853
wipo_knowledge_absorption,43.6271118134843
wipo_knowledge_and_technology_outputs,41.7990645330927
wipo_knowledge_creation,43.1794612658961
wipo_knowledge_diffusion,36.5222709629393
wipo_knowledge_impact,45.6954613704426
wipo_knowledge_workers,57.1906048310599
wipo_market_sophistication,45.1899717729567
wipo_online_creativity,58.3181504861705
wipo_regulatory_environment,84.1494810846748
wipo_research_and_development_r_d,55.6152419781918
wipo_tertiary_education,59.7402183172277
wipo_trade_diversification_and_market_scale,67.4948531000728
wb_gdp_per_capita_ppp_2024,73911.439663136
wb_rd_expenditure_2022,3.20048
wb_internet_penetration_2024,94.9197
wb_tertiary_education_2023,91.6818237304688
wb_government_effectiveness_2023,1.32668149471283
wb_regulatory_quality_2023,1.36136972904205
wb_rule_of_law_2023,1.74656546115875
wb_control_of_corruption_2023,1.1336532831192
wb_voice_accountability_2023,1.41124832630157
wb_political_stability_2023,0.727989196777344
wb_gdp_current_usd_2024,534790720466.822
wb_population_2024,9177982.0
wb_labor_force_2024,4763195.0
wb_fdi_net_inflows_2024,13655965523.2324
wb_exports_pct_gdp_2024,55.6782850851641
wb_inflation_consumer_prices_2024,2.93791574279383
wb_unemployment_rate_2024,5.2
wb_education_expenditure_pct_gdp_2022,5.27748012542725
wb_mobile_subscriptions_per100_2023,121.746
wb_patent_applications_residents_2021,1872.0
wb_high_tech_exports_pct,11.4825348767666
wb_ict_service_exports_pct,11.0970526757044
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,1999.0
oecd_regulatory_intensity,25
oecd_enforcement_level,high
oecd_thematic_coverage,25
oecd_n_total_initiatives,43
oecd_n_binding,6
oecd_n_nonbinding,25
oecd_n_strategies,0
oecd_n_regulations,9
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,16.24%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.55
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.80%
stanford_fig_4.2.18,143%
stanford_fig_4.2.19,2016
stanford_fig_4.2.2,2014
stanford_fig_4.2.21,2016
