atributo,valor
iso3,BEL
country_name,Belgium
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Belgium)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Belgium as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,65.17
oxford_rank,30
oxford_pillar_policy_capacity,85.0
oxford_pillar_ai_infrastructure,58.83
oxford_pillar_governance,80.0
oxford_pillar_public_sector_adoption,72.0
oxford_pillar_development_and_diffusion,49.84
oxford_pillar_resilience,67.05
oxford_dimension_compute_capacity,17.2
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,84.56
oxford_dimension_safety_and_security,66.67
oxford_dimension_ai_sector_maturity,44.05
oxford_dimension_human_capital,34.83
oxford_dimension_data_quality,92.45
oxford_dimension_regulatory_compliance,60.0
oxford_dimension_government_digital_policy,59.43
oxford_dimension_societal_transition,67.43
oxford_dimension_ai_technology_diffusion,72.56
ms_ai_user_share_h1_2025,33.5
ms_ai_user_share_h2_2025,36.0
ms_ai_user_share_change_pp,2.5
fh_country_name,Belgium
fh_fh_status,F
fh_fh_total_score,96
fh_fh_pr_score,39
fh_fh_cl_score,57
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Belgium
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Law of 30 July 2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; APD-GBA enforcement
legal_origin,French
is_common_law,0
wipo_gii_score,48.463340688029
wipo_gii_rank,21
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,73221.64
wipo_population_thousands,11738.77
wipo_business_environment,62.4342389037724
wipo_business_sophistication,56.3083704381209
wipo_creative_goods_and_services,29.1007348409675
wipo_creative_outputs,37.9029874585235
wipo_credit,25.5228016979361
wipo_ecological_sustainability,22.4228263177082
wipo_education,70.2072209694222
wipo_general_infrastructure,52.3628287222789
wipo_human_capital_and_research,56.2600163480935
wipo_information_and_communication_technologies_icts,72.0299121420506
wipo_infrastructure,48.9385223940126
wipo_innovation_inputs,54.4185612061712
wipo_innovation_linkages,49.4597061476884
wipo_innovation_outputs,41.0479282505649
wipo_institutional_environment,76.0229948356829
wipo_institutions,72.3639001952941
wipo_intangible_assets,33.7105767806896
wipo_investment,23.8459349972638
wipo_knowledge_absorption,42.4008599554029
wipo_knowledge_and_technology_outputs,44.1928690426063
wipo_knowledge_creation,48.1521145660754
wipo_knowledge_diffusion,37.0124010183453
wipo_knowledge_impact,47.4140915433982
wipo_knowledge_workers,77.0645452112716
wipo_market_sophistication,38.221996655335
wipo_online_creativity,55.0900614317472
wipo_regulatory_environment,78.6344668464273
wipo_research_and_development_r_d,61.8760639019243
wipo_tertiary_education,36.6967641729341
wipo_trade_diversification_and_market_scale,65.297253270805
wb_gdp_per_capita_ppp_2024,73514.4831045258
wb_rd_expenditure_2022,3.40544
wb_internet_penetration_2024,95.7758
wb_tertiary_education_2023,82.1475601196289
wb_government_effectiveness_2023,1.03702199459076
wb_regulatory_quality_2023,1.16822481155396
wb_rule_of_law_2023,1.29537487030029
wb_control_of_corruption_2023,1.3368444442749
wb_voice_accountability_2023,1.32572901248932
wb_political_stability_2023,0.403853088617325
wb_gdp_current_usd_2024,671370081636.406
wb_population_2024,11858610.0
wb_labor_force_2024,5432908.0
wb_fdi_net_inflows_2024,-41357732773.2876
wb_exports_pct_gdp_2024,79.2730864114732
wb_inflation_consumer_prices_2024,3.14349136500041
wb_unemployment_rate_2024,5.7
wb_education_expenditure_pct_gdp_2022,6.27796983718872
wb_mobile_subscriptions_per100_2023,103.196
wb_patent_applications_residents_2021,799.0
wb_high_tech_exports_pct,14.1440138847213
wb_ict_service_exports_pct,11.9117281586399
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2016.0
oecd_regulatory_intensity,14
oecd_enforcement_level,low
oecd_thematic_coverage,28
oecd_n_total_initiatives,43
oecd_n_binding,1
oecd_n_nonbinding,42
oecd_n_strategies,0
oecd_n_regulations,5
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,10.53%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.63
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.68%
stanford_fig_4.2.18,85%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.63
stanford_fig_4.2.23,1/1/24
stanford_fig_4.2.25,0.0145323337880687
stanford_fig_4.3.12,9
stanford_fig_4.3.13,51
stanford_fig_4.3.8,0.186256546
stanford_fig_4.3.9,1.259241341
stanford_fig_1.2.4,0.084836185
stanford_fig_1.3.25,2021-03-01
stanford_fig_1.3.3,2
stanford_fig_1.4.6,3/1/21
stanford_fig_6.2.1,0
stanford_fig_6.2.15,5
stanford_fig_6.2.16,18
stanford_fig_6.2.17,18
stanford_fig_6.2.3,5
stanford_fig_6.2.4,18
stanford_fig_6.3.1,83.53937
stanford_fig_6.3.2,29
stanford_fig_6.3.3,1014.120822
stanford_fig_6.3.4,720.958497
stanford_fig_6.3.5,8.3453186249207
stanford_fig_6.3.8,2016
