atributo,valor
iso3,BGD
country_name,Bangladesh
region,South Asia
income_group,LM
iapp_jurisdiction_iapp,Bangladesh
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,4
iapp_evidence_summary,"National Strategy for AI 2019, early stage, ICT Division engagement"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,48.37
oxford_rank,75
oxford_pillar_policy_capacity,69.0
oxford_pillar_ai_infrastructure,39.02
oxford_pillar_governance,63.93
oxford_pillar_public_sector_adoption,82.78
oxford_pillar_development_and_diffusion,26.97
oxford_pillar_resilience,29.64
oxford_dimension_compute_capacity,8.31
oxford_dimension_policy_vision,60.0
oxford_dimension_e_government_delivery,93.44
oxford_dimension_safety_and_security,33.33
oxford_dimension_ai_sector_maturity,5.44
oxford_dimension_human_capital,35.12
oxford_dimension_data_quality,48.7
oxford_dimension_regulatory_compliance,71.37
oxford_dimension_government_digital_policy,72.12
oxford_dimension_societal_transition,25.94
oxford_dimension_ai_technology_diffusion,47.53
ms_ai_user_share_h1_2025,6.5
ms_ai_user_share_h2_2025,7.1
ms_ai_user_share_change_pp,0.6
fh_country_name,Bangladesh
fh_fh_status,PF
fh_fh_total_score,40
fh_fh_pr_score,15
fh_fh_cl_score,25
fh_fh_year,2025
fh_notes,Data year 2024 - transition period post-Hasina
gdpr_country_name,Bangladesh
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Data Protection Act
gdpr_dp_law_year,2023
gdpr_has_dpa,0
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Enacted 2023; DPA not yet fully operational
legal_origin,English
is_common_law,1
wipo_gii_score,20.951047653279
wipo_gii_rank,106
wipo_income_group_wipo,LM
wipo_region_un,Central and Southern Asia
wipo_ppp_per_capita,9840.47
wipo_population_thousands,173562.36
wipo_business_environment,38.6157569600035
wipo_business_sophistication,13.4922732972065
wipo_creative_goods_and_services,2.11321960565301
wipo_creative_outputs,17.7358820849093
wipo_credit,23.111539556175
wipo_ecological_sustainability,15.6605925036634
wipo_education,22.256265874834
wipo_general_infrastructure,26.3604948079524
wipo_human_capital_and_research,11.3906159384636
wipo_information_and_communication_technologies_icts,60.2757703945709
wipo_infrastructure,34.0989525687289
wipo_innovation_inputs,22.672297093372
wipo_innovation_linkages,14.6829107750038
wipo_innovation_outputs,15.5419385482879
wipo_institutional_environment,30.7001106265776
wipo_institutions,30.4486154676582
wipo_intangible_assets,23.0755212240052
wipo_investment,3.10130647029137
wipo_knowledge_absorption,15.9697914509041
wipo_knowledge_and_technology_outputs,13.3479950116665
wipo_knowledge_creation,7.2987384061774
wipo_knowledge_diffusion,6.86226403270182
wipo_knowledge_impact,25.8829825961203
wipo_knowledge_workers,9.82411766571152
wipo_market_sophistication,23.9310281948029
wipo_online_creativity,22.6792662859738
wipo_regulatory_environment,22.0299788163936
wipo_research_and_development_r_d,5.29689608636977
wipo_tertiary_education,6.61868585418711
wipo_trade_diversification_and_market_scale,45.5802385579425
wb_ict_service_exports_pct,8.23176947044082
stanford_fig_4.3.13,1
stanford_fig_4.3.9,0.0022
stanford_fig_6.2.1,0
