atributo,valor
iso3,BLR
country_name,Belarus
region,Europe-Other
income_group,UM
iapp_jurisdiction_iapp,Additional research (BLR)
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,1
iapp_enforcement_level,none
iapp_thematic_coverage,1
iapp_evidence_summary,"Hi-Tech Park decree supports tech sector, no AI-specific legislation or strategy."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,32.47
oxford_rank,121
oxford_pillar_policy_capacity,12.0
oxford_pillar_ai_infrastructure,45.28
oxford_pillar_governance,43.38
oxford_pillar_public_sector_adoption,24.03
oxford_pillar_development_and_diffusion,24.62
oxford_pillar_resilience,36.88
oxford_dimension_compute_capacity,3.29
oxford_dimension_policy_vision,30.0
oxford_dimension_e_government_delivery,47.65
oxford_dimension_safety_and_security,33.33
oxford_dimension_ai_sector_maturity,3.48
oxford_dimension_human_capital,35.95
oxford_dimension_data_quality,79.03
oxford_dimension_regulatory_compliance,40.0
oxford_dimension_government_digital_policy,0.4
oxford_dimension_societal_transition,40.42
oxford_dimension_ai_technology_diffusion,41.49
ms_ai_user_share_h1_2025,7.6
ms_ai_user_share_h2_2025,8.4
ms_ai_user_share_change_pp,0.8
fh_country_name,Belarus
fh_fh_status,NF
fh_fh_total_score,8
fh_fh_pr_score,1
fh_fh_cl_score,7
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Belarus
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law on Personal Data Protection
gdpr_dp_law_year,2021
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Comprehensive law 2021; National Center for Personal Data Protection
legal_origin,Socialist
is_common_law,0
wipo_gii_score,25.0990285299842
wipo_gii_rank,85
wipo_income_group_wipo,UM
wipo_region_un,Europe
wipo_ppp_per_capita,32098.48
wipo_population_thousands,9056.7
wipo_business_environment,4.85473896119297
wipo_business_sophistication,23.5616473545345
wipo_creative_goods_and_services,9.05411226330711
wipo_creative_outputs,15.3031221484118
wipo_credit,8.03438020032613
wipo_ecological_sustainability,12.2288276276888
wipo_education,62.3425956517889
wipo_general_infrastructure,24.4037369562609
wipo_human_capital_and_research,39.2340541237661
wipo_information_and_communication_technologies_icts,66.6298960622187
wipo_infrastructure,34.4208202153895
wipo_innovation_inputs,26.5568477680175
wipo_innovation_linkages,4.2256428315547
wipo_innovation_outputs,21.8563955071984
wipo_institutional_environment,25.5437216583999
wipo_institutions,12.7449752171869
wipo_intangible_assets,7.4345755785227
wipo_investment,0.736724623437675
wipo_knowledge_absorption,18.7997026784361
wipo_knowledge_and_technology_outputs,28.4096688659851
wipo_knowledge_creation,16.8997923856367
wipo_knowledge_diffusion,46.0424979816772
wipo_knowledge_impact,22.2867162306413
wipo_knowledge_workers,47.6595965536127
wipo_market_sophistication,22.8227419292105
wipo_online_creativity,37.2892251732947
wipo_regulatory_environment,7.83646503196794
wipo_research_and_development_r_d,8.98111727577543
wipo_tertiary_education,46.3784494437339
wipo_trade_diversification_and_market_scale,59.6971209638678
wb_high_tech_exports_pct,4.49711309551307
wb_ict_service_exports_pct,25.0210020846514
stanford_fig_4.3.13,2
stanford_fig_4.3.9,0.012
stanford_fig_6.2.1,0
