atributo,valor
iso3,BRA
country_name,Brazil
region,LATAM
income_group,UM
iapp_jurisdiction_iapp,Brazil
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,5
iapp_enforcement_level,medium
iapp_thematic_coverage,10
iapp_evidence_summary,"BAIA strategy, AI regulation bill before Congress, strong LGPD framework, AI committee, multiple active bills"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.55
oxford_rank,22
oxford_pillar_policy_capacity,88.0
oxford_pillar_ai_infrastructure,65.5
oxford_pillar_governance,78.18
oxford_pillar_public_sector_adoption,94.78
oxford_pillar_development_and_diffusion,46.57
oxford_pillar_resilience,67.88
oxford_dimension_compute_capacity,38.57
oxford_dimension_policy_vision,70.0
oxford_dimension_e_government_delivery,97.66
oxford_dimension_safety_and_security,83.33
ms_ai_user_share_h1_2025,15.6
ms_ai_user_share_h2_2025,17.1
ms_ai_user_share_change_pp,1.5
fh_country_name,Brazil
fh_fh_status,F
fh_fh_total_score,72
fh_fh_pr_score,31
fh_fh_cl_score,41
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Brazil
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,LGPD Law 13.709/2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,LGPD textually very close to GDPR; ANPD active enforcement; EU adequacy pending (not yet granted)
legal_origin,French
is_common_law,0
wipo_gii_score,32.8689996973019
wipo_gii_rank,52
wipo_income_group_wipo,UM
wipo_region_un,Latin America and the Caribbean
wipo_ppp_per_capita,22122.71
wipo_population_thousands,211998.57
wipo_business_environment,16.6932786759415
wipo_business_sophistication,36.1602384450603
wipo_creative_goods_and_services,7.39142940077917
wipo_creative_outputs,32.3249051554556
wipo_credit,20.8189138101957
wipo_ecological_sustainability,26.6274249092658
wipo_education,50.5663427096104
wipo_general_infrastructure,25.2494787738923
wipo_human_capital_and_research,33.8523690229962
wipo_information_and_communication_technologies_icts,84.538825270899
wipo_infrastructure,45.4719096513524
wipo_innovation_inputs,37.0854869633729
wipo_innovation_linkages,22.6057696683912
wipo_innovation_outputs,28.3947982634734
wipo_institutional_environment,42.3189731118759
wipo_institutions,31.7548078206296
wipo_intangible_assets,45.8428237034512
wipo_investment,16.7642996142845
wipo_knowledge_absorption,40.1458323310507
wipo_knowledge_and_technology_outputs,24.4646913714913
wipo_knowledge_creation,20.2476274562809
wipo_knowledge_diffusion,15.534708219787
wipo_knowledge_impact,37.6117384384059
wipo_knowledge_workers,45.7291133357388
wipo_market_sophistication,38.1881098768259
wipo_online_creativity,30.2225438141408
wipo_regulatory_environment,36.2521716740714
wipo_research_and_development_r_d,30.5705020060939
wipo_tertiary_education,20.4202623532844
wipo_trade_diversification_and_market_scale,76.9811162059975
wb_gdp_per_capita_ppp_2024,22338.4765640635
wb_rd_expenditure_2020,1.14526
wb_internet_penetration_2024,84.4635
wb_tertiary_education_2022,60.3906211853027
wb_government_effectiveness_2023,-0.546764314174652
wb_regulatory_quality_2023,-0.29647821187973
wb_rule_of_law_2023,-0.308802843093872
wb_control_of_corruption_2023,-0.503643155097961
wb_voice_accountability_2023,0.382853865623474
wb_political_stability_2023,-0.408567786216736
wb_gdp_current_usd_2024,2185821648943.86
wb_population_2024,211998573.0
wb_labor_force_2024,107871864.0
wb_fdi_net_inflows_2024,74090786050.19
wb_exports_pct_gdp_2024,17.9385794398128
wb_inflation_consumer_prices_2024,4.36746407652337
wb_unemployment_rate_2024,6.801
wb_education_expenditure_pct_gdp_2022,5.61922979354858
wb_mobile_subscriptions_per100_2023,101.02
wb_patent_applications_residents_2021,4666.0
wb_high_tech_exports_pct,14.0668052120423
wb_ict_service_exports_pct,7.79155072187296
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,comprehensive
oecd_year_enacted,2019.0
oecd_regulatory_intensity,10
oecd_enforcement_level,high
oecd_thematic_coverage,15
oecd_n_total_initiatives,11
oecd_n_binding,3
oecd_n_nonbinding,5
oecd_n_strategies,1
oecd_n_regulations,4
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,30.83%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,1.32
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.23%
stanford_fig_4.2.18,217%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,-0.09
stanford_fig_4.2.23,1/1/19
stanford_fig_4.2.24,5.80%
stanford_fig_4.2.25,0.1745189273828443
stanford_fig_4.3.12,17
stanford_fig_4.3.13,85
stanford_fig_4.3.8,0.689429072
stanford_fig_4.3.9,2.184213152
stanford_fig_1.2.4,0.023680888
stanford_fig_6.2.1,0
stanford_fig_6.2.15,0
stanford_fig_6.2.16,5
stanford_fig_6.2.17,1
stanford_fig_6.2.20,2024
stanford_fig_6.2.8,1
