atributo,valor
iso3,BRB
country_name,Barbados
region,LATAM
income_group,HI
iapp_jurisdiction_iapp,Additional research (BRB)
iapp_has_ai_law,0
iapp_regulatory_approach,none
iapp_regulatory_intensity,0
iapp_enforcement_level,none
iapp_thematic_coverage,0
iapp_evidence_summary,"No AI-specific legislation, strategy or governance framework identified."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,23.33
oxford_rank,155
oxford_pillar_policy_capacity,15.5
oxford_pillar_ai_infrastructure,34.85
oxford_pillar_governance,40.75
oxford_pillar_public_sector_adoption,6.22
oxford_pillar_development_and_diffusion,14.03
oxford_pillar_resilience,25.16
oxford_dimension_compute_capacity,0.0
oxford_dimension_policy_vision,20.0
oxford_dimension_e_government_delivery,12.44
oxford_dimension_safety_and_security,3.33
fh_country_name,Barbados
fh_fh_status,F
fh_fh_total_score,94
fh_fh_pr_score,39
fh_fh_cl_score,55
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Barbados
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Data Protection Act
gdpr_dp_law_year,2019
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,DPA established; comprehensive framework
legal_origin,English
is_common_law,1
wipo_gii_score,25.1250313227345
wipo_gii_rank,84
wipo_income_group_wipo,HI
wipo_region_un,Latin America and the Caribbean
wipo_ppp_per_capita,22034.88
wipo_population_thousands,282.47
wipo_business_environment,46.7568397273676
wipo_business_sophistication,31.0749218462032
wipo_creative_goods_and_services,30.5726998989089
wipo_creative_outputs,17.1120900805257
wipo_credit,25.6054636732897
wipo_ecological_sustainability,6.85363447364135
wipo_education,53.5858526079344
wipo_general_infrastructure,12.5186734389005
wipo_human_capital_and_research,26.7929263039672
wipo_information_and_communication_technologies_icts,60.0507982959543
wipo_infrastructure,26.4743687361654
wipo_innovation_inputs,32.0328667614402
wipo_innovation_linkages,39.9738389968388
wipo_innovation_outputs,20.0755148878679
wipo_institutional_environment,64.256351578935
wipo_institutions,55.0838919444604
wipo_intangible_assets,8.87871841895818
wipo_investment,21.6197135020813
wipo_knowledge_absorption,25.1487512130552
wipo_knowledge_and_technology_outputs,23.03893969521
wipo_knowledge_creation,50.3525665183393
wipo_knowledge_diffusion,8.46729154134082
wipo_knowledge_impact,10.29696102595
wipo_knowledge_workers,28.1021753287156
wipo_market_sophistication,20.7382249764049
wipo_online_creativity,20.1182235852775
wipo_regulatory_environment,54.2384845270786
wipo_research_and_development_r_d,0.0
wipo_trade_diversification_and_market_scale,14.9894977538437
wb_high_tech_exports_pct,13.6921297160453
stanford_fig_4.3.13,1
stanford_fig_4.3.9,0.0015
stanford_fig_6.2.1,1
stanford_fig_6.2.15,0
stanford_fig_6.2.16,1
stanford_fig_6.2.17,1
stanford_fig_6.2.3,1
