atributo,valor
iso3,CAN
country_name,Canada
region,North America
income_group,HI
iapp_jurisdiction_iapp,Canada
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,5
iapp_enforcement_level,medium
iapp_thematic_coverage,11
iapp_evidence_summary,"Pan-Canadian AI Strategy, AIDA (Bill C-27) still before Parliament, Voluntary Code of Conduct, strong Privacy Act framework"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,74.66
oxford_rank,12
oxford_pillar_policy_capacity,92.5
oxford_pillar_ai_infrastructure,72.32
oxford_pillar_governance,76.85
oxford_pillar_public_sector_adoption,78.6
oxford_pillar_development_and_diffusion,69.03
oxford_pillar_resilience,67.57
oxford_dimension_compute_capacity,44.24
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,79.63
oxford_dimension_safety_and_security,66.67
oxford_dimension_ai_sector_maturity,57.07
oxford_dimension_human_capital,83.55
oxford_dimension_data_quality,89.17
oxford_dimension_regulatory_compliance,81.19
oxford_dimension_government_digital_policy,77.58
oxford_dimension_societal_transition,68.47
oxford_dimension_ai_technology_diffusion,70.46
ms_ai_user_share_h1_2025,33.5
ms_ai_user_share_h2_2025,35.0
ms_ai_user_share_change_pp,1.5
fh_country_name,Canada
fh_fh_status,F
fh_fh_total_score,97
fh_fh_pr_score,39
fh_fh_cl_score,58
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Canada
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,PIPEDA + provincial laws
gdpr_dp_law_year,2000
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,EU commercial adequacy since 2001; OPC active; C-27 reform pending
legal_origin,English
is_common_law,1
wipo_gii_score,51.0643545243557
wipo_gii_rank,17
wipo_income_group_wipo,HI
wipo_region_un,Northern America
wipo_ppp_per_capita,62765.57
wipo_population_thousands,39742.43
wipo_business_environment,62.6828577877872
wipo_business_sophistication,56.8399449800642
wipo_creative_goods_and_services,32.797410920834
wipo_creative_outputs,44.1209967445603
wipo_credit,63.3338197194843
wipo_ecological_sustainability,18.3695549196172
wipo_education,66.2792226851452
wipo_general_infrastructure,60.0267011546485
wipo_human_capital_and_research,58.36323601282
wipo_information_and_communication_technologies_icts,85.7921609782209
wipo_infrastructure,54.7294723508288
wipo_innovation_inputs,63.0643938594709
wipo_innovation_linkages,70.0244316070278
wipo_innovation_outputs,42.7461441704136
wipo_institutional_environment,84.4552686545826
wipo_institutions,78.1528547766151
wipo_intangible_assets,40.199146199134
wipo_investment,60.9244012163821
wipo_knowledge_absorption,46.6615438696893
wipo_knowledge_and_technology_outputs,41.3712915962669
wipo_knowledge_creation,46.5719564046657
wipo_knowledge_diffusion,28.5603441950388
wipo_knowledge_impact,48.9815741890962
wipo_knowledge_workers,53.8338594634755
wipo_market_sophistication,67.2364611770263
wipo_online_creativity,63.2882836591392
wipo_regulatory_environment,87.3204378874756
wipo_research_and_development_r_d,58.6213533474913
wipo_tertiary_education,50.1891320058234
wipo_trade_diversification_and_market_scale,77.4511625952125
wb_gdp_per_capita_ppp_2024,64610.3795171971
wb_rd_expenditure_2023,1.70133
wb_internet_penetration_2023,93.9564
wb_tertiary_education_2023,76.2586212158203
wb_government_effectiveness_2023,1.51680326461792
wb_regulatory_quality_2023,1.64471042156219
wb_rule_of_law_2023,1.47300565242767
wb_control_of_corruption_2023,1.67150104045868
wb_voice_accountability_2023,1.4796462059021
wb_political_stability_2023,0.822420537471771
wb_gdp_current_usd_2024,2243636826633.76
wb_population_2024,41288599.0
wb_labor_force_2024,22690597.0
wb_fdi_net_inflows_2024,63052828220.4018
wb_exports_pct_gdp_2024,32.4437742363653
wb_inflation_consumer_prices_2024,2.38158383281173
wb_unemployment_rate_2024,6.351
wb_education_expenditure_pct_gdp_2022,4.88021993637085
wb_mobile_subscriptions_per100_2023,94.1497
wb_patent_applications_residents_2021,4710.0
wb_high_tech_exports_pct,17.1309209127166
wb_ict_service_exports_pct,11.6770691777618
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,9
oecd_enforcement_level,medium
oecd_thematic_coverage,0
oecd_n_total_initiatives,14
oecd_n_binding,0
oecd_n_nonbinding,12
oecd_n_strategies,1
oecd_n_regulations,6
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,26.13%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,1.3
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.93%
stanford_fig_4.2.18,166%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.95
stanford_fig_4.2.23,1/1/24
stanford_fig_4.3.12,51
stanford_fig_4.3.13,481
stanford_fig_4.3.8,2.887230487
stanford_fig_4.3.9,15.30599504
stanford_fig_4.5.4,4.3
stanford_fig_4.5.7,37%
stanford_fig_1.1.11,6
stanford_fig_1.2.4,0.174573338
stanford_fig_1.3.1,1
stanford_fig_1.3.3,61
stanford_fig_6.2.1,1
stanford_fig_6.2.15,4
stanford_fig_6.2.16,7
stanford_fig_6.2.17,1
