atributo,valor
iso3,CHE
country_name,Switzerland
region,Europe-Other
income_group,HI
iapp_jurisdiction_iapp,Additional research (CHE)
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,7
iapp_evidence_summary,No AI-specific binding law; relies on existing legal framework. Federal Council AI guidelines. OECD AI principles adherent. Strong data protection (nDSG). Geneva AI Lab.
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,66.95
oxford_rank,26
oxford_pillar_policy_capacity,39.0
oxford_pillar_ai_infrastructure,68.97
oxford_pillar_governance,89.2
oxford_pillar_public_sector_adoption,73.93
oxford_pillar_development_and_diffusion,61.41
oxford_pillar_resilience,59.84
oxford_dimension_compute_capacity,31.63
oxford_dimension_policy_vision,60.0
oxford_dimension_e_government_delivery,75.02
oxford_dimension_safety_and_security,33.33
oxford_dimension_ai_sector_maturity,51.77
oxford_dimension_human_capital,60.33
oxford_dimension_data_quality,91.52
oxford_dimension_regulatory_compliance,78.4
oxford_dimension_government_digital_policy,72.84
oxford_dimension_societal_transition,86.35
oxford_dimension_ai_technology_diffusion,75.34
ms_ai_user_share_h1_2025,32.4
ms_ai_user_share_h2_2025,34.8
ms_ai_user_share_change_pp,2.5
fh_country_name,Switzerland
fh_fh_status,F
fh_fh_total_score,96
fh_fh_pr_score,39
fh_fh_cl_score,57
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Switzerland
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,Federal Act on Data Protection (revised nFADP)
gdpr_dp_law_year,2023
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,Revised FADP effective Sep 2023; EU adequacy maintained; FDPIC active
legal_origin,German
is_common_law,0
wipo_gii_score,65.9619514450125
wipo_gii_rank,1
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,95836.64
wipo_population_thousands,8921.98
wipo_business_environment,81.4616885977857
wipo_business_sophistication,67.2294820524216
wipo_creative_goods_and_services,59.7148299515865
wipo_creative_outputs,67.1336165137036
wipo_credit,70.7973224980884
wipo_ecological_sustainability,49.9285453522079
wipo_education,65.1175693329047
wipo_general_infrastructure,50.4312689397685
wipo_human_capital_and_research,61.8397614842093
wipo_information_and_communication_technologies_icts,82.0918958565804
wipo_infrastructure,60.8172367161856
wipo_innovation_inputs,68.8241363613099
wipo_innovation_linkages,80.3541988522434
wipo_innovation_outputs,66.1220270107369
wipo_institutional_environment,92.4276969446989
wipo_institutions,87.7075542853295
wipo_intangible_assets,61.6970781224856
wipo_investment,64.866100955814
wipo_knowledge_absorption,50.0875216331418
wipo_knowledge_and_technology_outputs,65.1104375077702
wipo_knowledge_creation,78.7102793422055
wipo_knowledge_diffusion,60.6788747429306
wipo_knowledge_impact,55.9421584381745
wipo_knowledge_workers,71.2467256718795
wipo_market_sophistication,66.5266472684035
wipo_online_creativity,85.4254798582566
wipo_regulatory_environment,89.233277313504
wipo_research_and_development_r_d,70.4412477333275
wipo_tertiary_education,49.9604673863957
wipo_trade_diversification_and_market_scale,63.9165183513082
wb_gdp_per_capita_ppp_2024,96497.6947971323
wb_rd_expenditure_2021,3.30645
wb_internet_penetration_2023,97.3444
wb_tertiary_education_2023,74.0060882568359
wb_government_effectiveness_2023,2.13492703437805
wb_regulatory_quality_2023,1.72938001155853
wb_rule_of_law_2023,1.76172566413879
wb_control_of_corruption_2023,2.02199912071228
wb_voice_accountability_2023,1.66502690315247
wb_political_stability_2023,1.07144391536713
wb_gdp_current_usd_2024,936564198048.516
wb_population_2024,9005582.0
wb_labor_force_2024,5139536.0
wb_fdi_net_inflows_2024,-108395568633.839
wb_exports_pct_gdp_2024,72.1589447667905
wb_inflation_consumer_prices_2024,1.06234041976595
wb_unemployment_rate_2024,4.343
wb_education_expenditure_pct_gdp_2022,4.92419004440308
wb_mobile_subscriptions_per100_2023,128.64
wb_patent_applications_residents_2021,1288.0
wb_high_tech_exports_pct,12.9094936723953
wb_ict_service_exports_pct,9.58009217619969
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,4
oecd_enforcement_level,none
oecd_thematic_coverage,10
oecd_n_total_initiatives,4
oecd_n_binding,0
oecd_n_nonbinding,4
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,18.43%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.77
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,1.16%
stanford_fig_4.2.18,105%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,3.15
stanford_fig_4.2.23,1/1/24
stanford_fig_4.2.25,0.3818420955675578
stanford_fig_4.3.12,22
stanford_fig_4.3.13,154
stanford_fig_4.3.8,0.428615762
stanford_fig_4.3.9,3.897936818
stanford_fig_1.2.4,0.191267126
stanford_fig_1.3.3,14
stanford_fig_6.2.1,0
stanford_fig_6.2.15,0
stanford_fig_6.2.16,0
stanford_fig_6.3.1,7.483250512041094
stanford_fig_6.3.2,4
stanford_fig_6.3.3,3048.082527
stanford_fig_6.3.4,85.8986977
