atributo,valor
iso3,CHL
country_name,Chile
region,Latin America and the Caribbean
income_group,HI
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,4
iapp_year_enacted,
iapp_enforcement_level,low
iapp_thematic_coverage,8
iapp_evidence_summary,"National AI Policy, law on neurorights (world first), draft AI regulation law Mar 2024, Transparency Council guidance"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,59.3
oxford_rank,50
oxford_pillar_policy_capacity,92.5
oxford_pillar_ai_infrastructure,57.77
oxford_pillar_governance,53.54
oxford_pillar_public_sector_adoption,70.76
oxford_pillar_development_and_diffusion,45.26
oxford_pillar_resilience,56.46
oxford_dimension_policy_vision,100.0
oxford_dimension_policy_commitment,87.5
oxford_dimension_compute_capacity,18.18
oxford_dimension_enabling_technical_infrastructure,75.24
oxford_dimension_data_quality,79.88
oxford_dimension_governance_principles,55.5
oxford_dimension_regulatory_compliance,51.58
oxford_dimension_government_digital_policy,45.0
oxford_dimension_e_government_delivery,96.53
oxford_dimension_ai_sector_maturity,24.68
oxford_dimension_ai_technology_diffusion,52.95
oxford_dimension_societal_transition,57.58
oxford_dimension_safety_and_security,55.33
oxford_dimension_human_capital,65.02
ms_ai_adoption_h1_2025,19.6
ms_ai_adoption_h2_2025,20.8
ms_ai_adoption_change_pp,1.2
stanford_ai_investment_cumulative_2013_2024_bn,0.682
stanford_ai_investment_2024_bn,0.009
stanford_ai_newly_funded_companies_cumulative_2013_2024,17
stanford_ai_skill_penetration_rate,0.58
stanford_ai_skill_penetration_female,0.347
stanford_ai_skill_penetration_male,0.603
stanford_ai_talent_concentration_pct,0.32
stanford_ai_talent_change_pct,153
stanford_net_ai_talent_migration_per10k,-0.19
stanford_ai_hiring_rate_yoy_pct,22.18
stanford_ai_patents_per100k_2023,0.005
stanford_ai_bills_passed_2016_2024,0
wipo_gii_rank,51
wipo_gii_score,33.07
wipo_income_group,HI
wipo_ppp_per_capita,33574.4
wipo_population_thousands,19764.77
wipo_innovation_inputs,40.91
wipo_innovation_outputs,24.34
wipo_institutions,56.32
wipo_human_capital_and_research,33.52
wipo_infrastructure,45.6
wipo_market_sophistication,38.59
wipo_business_sophistication,30.52
wipo_knowledge_and_technology_outputs,21.15
wipo_creative_outputs,27.53
wipo_regulatory_environment,65.59
wipo_business_environment,40.91
wipo_education,50.25
wipo_tertiary_education,36.13
wipo_research_and_development,14.19
wipo_information_and_communication_technologies,82.29
wipo_general_infrastructure,29.99
wipo_investment,17.58
wipo_credit,35.87
wipo_trade_diversification,62.32
wipo_intangible_assets,36.49
wipo_innovation_linkages,20.11
wipo_knowledge_creation,16.73
wipo_knowledge_impact,35.08
wipo_knowledge_diffusion,11.65
wipo_knowledge_absorption,36.76
wipo_ecological_sustainability,24.51
wipo_online_creativity,27.1
wipo_creative_goods_and_services,10.03
wipo_institutional_environment,62.46
wipo_knowledge_workers,34.69
wb_gdp_per_capita_ppp_2024,36181.16
wb_gdp_current_usd_bn_2024,330.27
wb_population_2024,19764771
wb_internet_penetration_2023,94.46
wb_rd_expenditure_pct_gdp_2021,0.36
wb_tertiary_education_rate_2023,104.73
wb_mobile_subscriptions_per100_2023,135.87
wb_exports_pct_gdp_2024,33.72
wb_inflation_2024,4.3
wb_unemployment_rate_2024,8.72
wb_fdi_net_inflows_usd_2024,12521388616.31
wb_education_expenditure_pct_gdp_2022,4.9
wb_patent_applications_residents_2021,402
wb_high_tech_exports_pct_2019,7.63
wb_ict_service_exports_pct_2019,4.53
wb_government_effectiveness_2023,0.72
wb_regulatory_quality_2023,0.93
wb_rule_of_law_2023,0.63
wb_control_of_corruption_2023,0.97
wb_voice_and_accountability_2023,1.02
wb_political_stability_2023,0.14
fh_status,F
fh_total_score,94
fh_political_rights_score,38
fh_civil_liberties_score,56
fh_year,2025
gdpr_has_gdpr_like_law,1
gdpr_similarity_level,2
gdpr_law_name,Law 21.719 Personal Data Protection
gdpr_law_year,2024
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,0
legal_origin,French
is_common_law,0
oecd_has_ai_law_2024,1
oecd_regulatory_approach_2024,light_touch
oecd_year_enacted,2020.0
oecd_regulatory_intensity_2024,7
oecd_enforcement_level_2024,low
oecd_thematic_coverage_2024,14
oecd_n_total_initiatives,8
oecd_n_binding,1
oecd_n_nonbinding,7
oecd_n_strategies,0
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
