atributo,valor
iso3,DNK
country_name,Denmark
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Denmark)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Denmark as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,74.75
oxford_rank,11
oxford_pillar_policy_capacity,92.5
oxford_pillar_ai_infrastructure,59.51
oxford_pillar_governance,94.02
oxford_pillar_public_sector_adoption,85.26
oxford_pillar_development_and_diffusion,58.91
oxford_pillar_resilience,90.01
oxford_dimension_compute_capacity,12.74
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,99.98
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,44.33
oxford_dimension_human_capital,70.04
oxford_dimension_data_quality,89.72
oxford_dimension_regulatory_compliance,88.05
oxford_dimension_government_digital_policy,70.54
oxford_dimension_societal_transition,80.02
oxford_dimension_ai_technology_diffusion,67.23
ms_ai_user_share_h1_2025,26.6
ms_ai_user_share_h2_2025,28.7
ms_ai_user_share_change_pp,2.1
fh_country_name,Denmark
fh_fh_status,F
fh_fh_total_score,97
fh_fh_pr_score,40
fh_fh_cl_score,57
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Denmark
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Data Protection Act
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; Datatilsynet enforcement
legal_origin,Scandinavian
is_common_law,0
wipo_gii_score,56.914915504656
wipo_gii_rank,9
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,83454.42
wipo_population_thousands,5977.41
wipo_business_environment,79.2915556091757
wipo_business_sophistication,56.8949044988554
wipo_creative_goods_and_services,33.8301373143628
wipo_creative_outputs,52.9466975212833
wipo_credit,52.8811514224812
wipo_ecological_sustainability,39.7551854076133
wipo_education,67.9725027808382
wipo_general_infrastructure,47.523869189749
wipo_human_capital_and_research,58.8724275204976
wipo_information_and_communication_technologies_icts,94.6282912015691
wipo_infrastructure,60.6357819329771
wipo_innovation_inputs,63.6147647445384
wipo_innovation_linkages,61.4340843072428
wipo_innovation_outputs,50.6132733790293
wipo_institutional_environment,92.6528049684447
wipo_institutions,88.745325627212
wipo_intangible_assets,52.6987251435245
wipo_investment,42.9121376628224
wipo_knowledge_absorption,43.6611295443484
wipo_knowledge_and_technology_outputs,48.2798492367754
wipo_knowledge_creation,56.42823471803
wipo_knowledge_diffusion,40.9784416501234
wipo_knowledge_impact,47.4328713421728
wipo_knowledge_workers,65.5894996449749
wipo_market_sophistication,52.9253841431501
wipo_online_creativity,72.5592024837213
wipo_regulatory_environment,94.2916163040156
wipo_research_and_development_r_d,65.5127596862613
wipo_tertiary_education,43.1320200943932
wipo_trade_diversification_and_market_scale,62.9828633441469
wb_gdp_per_capita_ppp_2024,81878.2349849181
wb_rd_expenditure_2022,2.89051
wb_internet_penetration_2024,99.7692
wb_tertiary_education_2023,81.2308197021484
wb_government_effectiveness_2023,2.01564884185791
wb_regulatory_quality_2023,1.83951985836029
wb_rule_of_law_2023,1.90893590450287
wb_control_of_corruption_2023,2.37605309486389
wb_voice_accountability_2023,1.66469931602478
wb_political_stability_2023,0.850847959518433
wb_gdp_current_usd_2024,424524722037.047
wb_population_2024,5976992.0
wb_labor_force_2024,3277500.0
wb_fdi_net_inflows_2024,18540782141.6393
wb_exports_pct_gdp_2024,71.0020132043046
wb_inflation_consumer_prices_2024,1.37220049768918
wb_unemployment_rate_2024,5.358
wb_education_expenditure_pct_gdp_2022,6.35586977005005
wb_mobile_subscriptions_per100_2023,126.919
wb_patent_applications_residents_2021,1090.0
wb_high_tech_exports_pct,12.039996737934
wb_ict_service_exports_pct,7.27922375956897
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,strategy_led
oecd_year_enacted,2021.0
oecd_regulatory_intensity,10
oecd_enforcement_level,medium
oecd_thematic_coverage,21
oecd_n_total_initiatives,16
oecd_n_binding,1
oecd_n_nonbinding,11
oecd_n_strategies,1
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,20.47%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.59
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.78%
stanford_fig_4.2.18,192%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,1.14
stanford_fig_4.2.23,1/1/23
stanford_fig_4.3.12,15
stanford_fig_4.3.13,59
stanford_fig_4.3.8,0.133226771
stanford_fig_4.3.9,0.817811835
stanford_fig_1.2.4,0.470829427
stanford_fig_1.2.5,2.304594017
stanford_fig_6.2.1,0
stanford_fig_6.2.15,24
stanford_fig_6.2.16,71
stanford_fig_6.3.1,74.40290642056506
stanford_fig_6.3.2,32
stanford_fig_6.3.3,1068.37097
stanford_fig_6.3.4,1270.163538
