atributo,valor
iso3,EST
country_name,Estonia
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Estonia)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Estonia as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.56
oxford_rank,21
oxford_pillar_policy_capacity,96.0
oxford_pillar_ai_infrastructure,54.29
oxford_pillar_governance,90.0
oxford_pillar_public_sector_adoption,99.63
oxford_pillar_development_and_diffusion,46.01
oxford_pillar_resilience,64.38
oxford_dimension_compute_capacity,7.69
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,99.88
oxford_dimension_safety_and_security,66.67
fh_country_name,Estonia
fh_fh_status,F
fh_fh_total_score,95
fh_fh_pr_score,39
fh_fh_cl_score,56
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Estonia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Personal Data Protection Act
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; Andmekaitse Inspektsioon enforcement
legal_origin,Socialist
is_common_law,0
wipo_gii_score,51.091978139021
wipo_gii_rank,16
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,48008.04
wipo_population_thousands,1360.55
wipo_business_environment,71.3995660051889
wipo_business_sophistication,48.1398139004704
wipo_creative_goods_and_services,52.0501045535645
wipo_creative_outputs,49.7129323928086
wipo_credit,45.8677596598987
wipo_ecological_sustainability,37.8201832028266
wipo_education,64.7030359509665
wipo_general_infrastructure,47.6037524540458
wipo_human_capital_and_research,44.5427083138189
wipo_information_and_communication_technologies_icts,98.3928752314356
wipo_infrastructure,61.2722702961027
wipo_innovation_inputs,59.8271538639781
wipo_innovation_linkages,36.265422552
wipo_innovation_outputs,44.788715927979
wipo_institutional_environment,80.864284677067
wipo_institutions,78.6759290149683
wipo_intangible_assets,42.210366978811
wipo_investment,92.7276607541955
wipo_knowledge_absorption,46.9821528045491
wipo_knowledge_and_technology_outputs,39.8644994631494
wipo_knowledge_creation,28.6379413120113
wipo_knowledge_diffusion,44.6492100894991
wipo_knowledge_impact,46.3063469879377
wipo_knowledge_workers,61.171866344862
wipo_market_sophistication,66.5050477945301
wipo_online_creativity,62.3808910600477
wipo_regulatory_environment,83.763936362649
wipo_research_and_development_r_d,23.290033509909
wipo_tertiary_education,45.6350554805813
wipo_trade_diversification_and_market_scale,60.919722969496
wb_gdp_per_capita_ppp_2024,49968.7108278373
wb_rd_expenditure_2022,1.78205
wb_internet_penetration_2024,92.238
wb_tertiary_education_2023,67.6179275512695
wb_government_effectiveness_2023,1.2634699344635
wb_regulatory_quality_2023,1.42964351177216
wb_rule_of_law_2023,1.42638897895813
wb_control_of_corruption_2023,1.53812229633331
wb_voice_accountability_2023,1.21992552280426
wb_political_stability_2023,0.660533905029297
wb_gdp_current_usd_2024,43130419829.35
wb_population_2024,1372341.0
wb_labor_force_2024,757729.0
wb_fdi_net_inflows_2024,-3437916450.37682
wb_exports_pct_gdp_2024,75.6694833213142
wb_inflation_consumer_prices_2024,3.52056053296586
wb_unemployment_rate_2024,7.6
wb_education_expenditure_pct_gdp_2022,5.20733976364136
wb_mobile_subscriptions_per100_2023,150.196
wb_patent_applications_residents_2021,25.0
wb_high_tech_exports_pct,16.9644248677655
wb_ict_service_exports_pct,12.9619239061074
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,10
oecd_enforcement_level,medium
oecd_thematic_coverage,0
oecd_n_total_initiatives,13
oecd_n_binding,0
oecd_n_nonbinding,11
oecd_n_strategies,0
oecd_n_regulations,2
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,17.40%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.28
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,1.17%
stanford_fig_4.2.18,207%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.13
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.24,0.30%
stanford_fig_4.2.25,0.0054987208927827
stanford_fig_4.2.7,0.87%
stanford_fig_4.3.1,2013
stanford_fig_4.3.12,3
stanford_fig_4.3.13,19
stanford_fig_4.3.8,0.023616548
stanford_fig_4.3.9,0.145512817
stanford_fig_4.4.5,12%
stanford_fig_4.5.6,2016
stanford_fig_1.1.6,2013
stanford_fig_1.1.7,2013
stanford_fig_1.2.2,2010
stanford_fig_1.2.3,2010
stanford_fig_1.2.4,0.072977466
stanford_fig_1.3.10,2019
stanford_fig_1.3.8,2015
stanford_fig_1.3.9,2014
stanford_fig_1.6.2,2011
stanford_fig_1.6.4,2011
stanford_fig_6.2.1,0
stanford_fig_6.2.15,30
stanford_fig_6.2.16,104
stanford_fig_6.2.20,2020
stanford_fig_6.2.8,4
stanford_fig_6.3.1,2.606172323719454
stanford_fig_6.3.2,5
stanford_fig_6.3.3,565.7234461
stanford_fig_6.3.4,195.2512558
