atributo,valor
iso3,FRA
country_name,France
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (France)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to France as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,80.81
oxford_rank,2
oxford_pillar_policy_capacity,77.5
oxford_pillar_ai_infrastructure,76.27
oxford_pillar_governance,90.0
oxford_pillar_public_sector_adoption,97.18
oxford_pillar_development_and_diffusion,68.2
oxford_pillar_resilience,88.63
oxford_dimension_compute_capacity,51.11
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,96.1
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,56.88
oxford_dimension_human_capital,81.07
oxford_dimension_data_quality,93.26
oxford_dimension_regulatory_compliance,80.0
ms_ai_user_share_h1_2025,40.9
ms_ai_user_share_h2_2025,44.0
ms_ai_user_share_change_pp,3.1
fh_country_name,France
fh_fh_status,F
fh_fh_total_score,89
fh_fh_pr_score,37
fh_fh_cl_score,52
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,France
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Loi Informatique et Libertes (amended)
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; CNIL one of strictest enforcers globally
legal_origin,French
is_common_law,0
wipo_gii_score,53.4156786988289
wipo_gii_rank,13
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,65940.41
wipo_population_thousands,66548.53
wipo_business_environment,55.7828305751893
wipo_business_sophistication,55.456901770646
wipo_creative_goods_and_services,31.2484261246148
wipo_creative_outputs,60.7983141425173
wipo_credit,57.454274064845
wipo_ecological_sustainability,32.2757430481217
wipo_education,60.6756004646329
wipo_general_infrastructure,47.8649395601511
wipo_human_capital_and_research,54.3638898041921
wipo_information_and_communication_technologies_icts,84.4783576587254
wipo_infrastructure,54.8730134223327
wipo_innovation_inputs,58.6185214057717
wipo_innovation_linkages,48.4095785299653
wipo_innovation_outputs,52.2081251799358
wipo_institutional_environment,71.2152903664339
wipo_institutions,67.4695033860867
wipo_intangible_assets,80.0084735245645
wipo_investment,37.3932443239219
wipo_knowledge_absorption,47.4604460810954
wipo_knowledge_and_technology_outputs,43.6179362173544
wipo_knowledge_creation,42.0160161184864
wipo_knowledge_diffusion,40.3616165443013
wipo_knowledge_impact,48.4761759892754
wipo_knowledge_workers,70.5006807008772
wipo_market_sophistication,60.9292986456008
wipo_online_creativity,51.9278833963253
wipo_regulatory_environment,75.4103892166369
wipo_research_and_development_r_d,61.6394211097415
wipo_tertiary_education,40.776647838202
wipo_trade_diversification_and_market_scale,87.9403775480355
wb_gdp_per_capita_ppp_2024,62556.91810454
wb_rd_expenditure_2022,2.23312
wb_internet_penetration_2024,88.6538
wb_tertiary_education_2023,70.4536437988281
wb_government_effectiveness_2023,1.14462625980377
wb_regulatory_quality_2023,1.15350544452667
wb_rule_of_law_2023,1.18057084083557
wb_control_of_corruption_2023,1.18482184410095
wb_voice_accountability_2023,1.15460133552551
wb_political_stability_2023,0.343697965145111
wb_high_tech_exports_pct,26.9265976407414
wb_ict_service_exports_pct,7.04616007879945
wb_gdp_current_usd_2024,3160442622465.08
wb_population_2024,68551653.0
wb_labor_force_2024,31859898.0
wb_fdi_net_inflows_2024,52052548617.7634
wb_exports_pct_gdp_2024,33.8897542343832
wb_inflation_consumer_prices_2024,1.99904942291463
wb_unemployment_rate_2024,7.4
wb_education_expenditure_pct_gdp_2022,5.32435989379883
wb_mobile_subscriptions_per100_2023,116.688
wb_patent_applications_residents_2021,13386.0
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,comprehensive
oecd_year_enacted,2016.0
oecd_regulatory_intensity,26
oecd_enforcement_level,medium
oecd_thematic_coverage,25
oecd_n_total_initiatives,40
oecd_n_binding,2
oecd_n_nonbinding,36
oecd_n_strategies,1
oecd_n_regulations,8
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,5.75%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,1.23
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.79%
stanford_fig_4.2.18,52%
stanford_fig_4.2.19,2016
stanford_fig_4.2.2,2014
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.34
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.25,0.0699123084939524
stanford_fig_4.3.12,59
stanford_fig_4.3.13,468
stanford_fig_4.3.15,10.40020055
stanford_fig_4.3.16,2018
stanford_fig_4.3.8,2.617394131
stanford_fig_4.3.9,11.09680763
stanford_fig_4.5.4,6.4
stanford_fig_4.5.7,-13%
stanford_fig_1.2.4,0.434925948
stanford_fig_1.2.5,4.628277083
stanford_fig_1.3.1,3
stanford_fig_1.3.3,24
stanford_fig_6.2.1,9
stanford_fig_6.2.15,43
stanford_fig_6.2.16,299
stanford_fig_6.2.17,9
stanford_fig_6.2.3,1
stanford_fig_6.2.4,9
stanford_fig_6.3.1,190.1034309599707
stanford_fig_6.3.2,139
stanford_fig_6.3.3,429.7768807
stanford_fig_6.3.4,280.7891938
stanford_fig_6.3.5,18.44227351453526
stanford_fig_6.3.8,2014
