atributo,valor
iso3,GBR
country_name,United Kingdom
region,Europe
income_group,HI
iapp_jurisdiction_iapp,United Kingdom
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,6
iapp_enforcement_level,high
iapp_thematic_coverage,13
iapp_evidence_summary,"Pro-innovation approach to AI, National AI Strategy, AI Safety Institute, sector regulators empowered, AI Opportunities Action Plan, no horizontal binding law"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,77.75
oxford_rank,3
oxford_pillar_policy_capacity,100.0
oxford_pillar_ai_infrastructure,72.49
oxford_pillar_governance,92.27
oxford_pillar_public_sector_adoption,68.93
oxford_pillar_development_and_diffusion,68.46
oxford_pillar_resilience,83.3
oxford_dimension_compute_capacity,50.34
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,52.84
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,61.7
oxford_dimension_human_capital,70.05
oxford_dimension_data_quality,96.55
oxford_dimension_regulatory_compliance,84.55
ms_ai_user_share_h1_2025,36.4
ms_ai_user_share_h2_2025,38.9
ms_ai_user_share_change_pp,2.5
fh_country_name,United Kingdom
fh_fh_status,F
fh_fh_total_score,91
fh_fh_pr_score,36
fh_fh_cl_score,55
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,United Kingdom
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,UK GDPR + Data Protection Act 2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,Post-Brexit UK GDPR; EU adequacy decision 2021 renewed 2025; ICO enforcement
legal_origin,English
is_common_law,1
wipo_gii_score,59.1153757105143
wipo_gii_rank,6
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,62573.61
wipo_population_thousands,69138.19
wipo_business_environment,53.7546123456671
wipo_business_sophistication,56.4371660246843
wipo_creative_goods_and_services,50.3673200961013
wipo_creative_outputs,61.2609868200654
wipo_credit,54.5733583517852
wipo_ecological_sustainability,37.9956019659475
wipo_education,61.3220986076234
wipo_general_infrastructure,34.8487809616626
wipo_human_capital_and_research,60.6328432858455
wipo_information_and_communication_technologies_icts,92.2389590052085
wipo_infrastructure,55.0277806442729
wipo_innovation_inputs,62.1359116140509
wipo_innovation_linkages,61.3468447392863
wipo_innovation_outputs,59.962724297087
wipo_institutional_environment,72.1663280494603
wipo_institutions,69.8759027711095
wipo_intangible_assets,65.6875576491145
wipo_investment,61.5437599467149
wipo_knowledge_absorption,38.5861562900205
wipo_knowledge_and_technology_outputs,58.6644617741085
wipo_knowledge_creation,59.0834989560394
wipo_knowledge_diffusion,53.3682657782447
wipo_knowledge_impact,63.5416205880416
wipo_knowledge_workers,69.3784970447462
wipo_market_sophistication,68.7058653443424
wipo_online_creativity,63.3015118859312
wipo_regulatory_environment,83.7067679182011
wipo_research_and_development_r_d,69.821838710318
wipo_tertiary_education,50.7545925395952
wipo_trade_diversification_and_market_scale,90.0004777345271
wb_gdp_per_capita_ppp_2024,62009.4907765366
wb_rd_expenditure_2021,2.89711
wb_internet_penetration_2023,96.2988
wb_tertiary_education_2023,80.4987716674805
wb_government_effectiveness_2023,1.16114270687103
wb_regulatory_quality_2023,1.53656673431396
wb_rule_of_law_2023,1.39836597442627
wb_control_of_corruption_2023,1.48091387748718
wb_voice_accountability_2023,1.26162397861481
wb_political_stability_2023,0.514935672283173
wb_high_tech_exports_pct,23.0942001089205
wb_ict_service_exports_pct,7.74245208143596
wb_gdp_current_usd_2024,3686033044482.13
wb_population_2024,69226000.0
wb_labor_force_2024,35289735.0
wb_fdi_net_inflows_2024,-12955141484.5037
wb_exports_pct_gdp_2024,30.9841588401688
wb_inflation_consumer_prices_2024,3.2715729463592
wb_unemployment_rate_2024,4.361
wb_education_expenditure_pct_gdp_2021,5.90682983398438
wb_mobile_subscriptions_per100_2023,122.796
wb_patent_applications_residents_2021,11592.0
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2018.0
oecd_regulatory_intensity,27
oecd_enforcement_level,medium
oecd_thematic_coverage,19
oecd_n_total_initiatives,55
oecd_n_binding,2
oecd_n_nonbinding,48
oecd_n_strategies,0
oecd_n_regulations,13
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,13.78%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,1.4
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.87%
stanford_fig_4.2.18,109%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.55
stanford_fig_4.2.23,1/1/24
stanford_fig_4.3.12,116
stanford_fig_4.3.13,885
stanford_fig_4.3.8,4.519300073
stanford_fig_4.3.9,28.17025072
stanford_fig_4.5.4,3.8
stanford_fig_4.5.7,51%
stanford_fig_1.1.11,5
stanford_fig_1.2.4,0.517922458
stanford_fig_1.2.5,7.303368194
stanford_fig_1.3.3,72
stanford_fig_6.2.1,10
stanford_fig_6.2.15,119
stanford_fig_6.2.16,710
stanford_fig_6.2.17,10
stanford_fig_6.2.3,2
stanford_fig_6.2.4,10
stanford_fig_6.3.1,568.475448
stanford_fig_6.3.2,555
stanford_fig_6.3.3,179.60173
stanford_fig_6.3.4,839.943699
stanford_fig_6.3.5,262.5886434688056
stanford_fig_6.3.8,2013
