atributo,valor
iso3,IDN
country_name,Indonesia
region,SE Asia
income_group,UM
iapp_jurisdiction_iapp,Indonesia
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,7
iapp_evidence_summary,"National Strategy on AI 2020, Circular on AI Ethics (non-binding), preparing AI regulations Jan 2025, AI Roadmap announced"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,59.87
oxford_rank,46
oxford_pillar_policy_capacity,77.0
oxford_pillar_ai_infrastructure,60.28
oxford_pillar_governance,61.25
oxford_pillar_public_sector_adoption,73.77
oxford_pillar_development_and_diffusion,44.09
oxford_pillar_resilience,58.27
oxford_dimension_compute_capacity,21.15
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,86.59
oxford_dimension_safety_and_security,66.67
ms_ai_user_share_h1_2025,11.7
ms_ai_user_share_h2_2025,12.7
ms_ai_user_share_change_pp,1.1
fh_country_name,Indonesia
fh_fh_status,PF
fh_fh_total_score,58
fh_fh_pr_score,30
fh_fh_cl_score,28
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Indonesia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Personal Data Protection Law 27/2022
gdpr_dp_law_year,2022
gdpr_has_dpa,0
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Effective Oct 2024; DPA (Lembaga PDP) being established
legal_origin,French
is_common_law,0
wipo_gii_score,31.305020749127
wipo_gii_rank,55
wipo_income_group_wipo,UM
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,16542.11
wipo_population_thousands,283487.93
wipo_business_environment,77.9860287038238
wipo_business_sophistication,24.1954565432538
wipo_creative_goods_and_services,9.76193609964156
wipo_creative_outputs,24.7608623322115
wipo_credit,30.3071159421151
wipo_ecological_sustainability,14.8492762119229
wipo_education,30.1867512720085
wipo_general_infrastructure,32.0275604190189
wipo_human_capital_and_research,25.2197985471063
wipo_information_and_communication_technologies_icts,76.7463842686058
wipo_infrastructure,41.2077402998492
wipo_innovation_inputs,38.8888825516023
wipo_innovation_linkages,36.9398594391303
wipo_innovation_outputs,22.3494724799557
wipo_institutional_environment,57.6980153314264
wipo_institutions,59.5051938579778
wipo_intangible_assets,32.6491187514166
wipo_investment,13.006169240307
wipo_knowledge_absorption,25.5926133058888
wipo_knowledge_and_technology_outputs,19.9380826276998
wipo_knowledge_creation,11.1023008778689
wipo_knowledge_diffusion,13.8139064246569
wipo_knowledge_impact,34.8980405805735
wipo_knowledge_workers,10.0538968847423
wipo_market_sophistication,44.3162235098245
wipo_online_creativity,23.9832757263713
wipo_regulatory_environment,42.8315375386832
wipo_research_and_development_r_d,25.4947242408615
wipo_tertiary_education,19.977920128449
wipo_trade_diversification_and_market_scale,89.6353853470515
wb_gdp_per_capita_ppp_2024,16448.2755179559
wb_rd_expenditure_2020,0.28068
wb_internet_penetration_2024,72.7808
wb_tertiary_education_2023,44.8813034886441
wb_government_effectiveness_2023,0.58032637834549
wb_regulatory_quality_2023,0.301378756761551
wb_rule_of_law_2023,-0.153604462742805
wb_control_of_corruption_2023,-0.48687219619751
wb_voice_accountability_2023,0.138982817530632
wb_political_stability_2023,-0.404375314712524
wb_gdp_current_usd_2024,1396300098190.97
wb_population_2024,283487931.0
wb_labor_force_2024,145198137.0
wb_fdi_net_inflows_2024,24246911222.5792
wb_exports_pct_gdp_2024,22.18331286866
wb_inflation_consumer_prices_2024,2.18151273615189
wb_unemployment_rate_2024,3.301
wb_education_expenditure_pct_gdp_2023,1.27517088245674
wb_mobile_subscriptions_per100_2023,125.238
wb_patent_applications_residents_2021,1397.0
wb_high_tech_exports_pct,8.09206094724751
wb_ict_service_exports_pct,4.17395921733689
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,none
oecd_regulatory_intensity,0
oecd_enforcement_level,none
oecd_thematic_coverage,0
oecd_n_total_initiatives,0
oecd_n_binding,0
oecd_n_nonbinding,0
oecd_n_strategies,0
oecd_n_regulations,0
oecd_n_sectors_covered,0
oecd_n_policy_instruments,0
stanford_fig_4.2.13,16.61%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,1.04
stanford_fig_4.2.17,0.32%
stanford_fig_4.2.18,191%
stanford_fig_4.2.22,-0.07
stanford_fig_4.2.23,1/1/19
stanford_fig_4.3.12,1
stanford_fig_4.3.13,19
stanford_fig_4.3.8,0.0485
stanford_fig_4.3.9,0.392813428
stanford_fig_1.2.4,0.000355631
