atributo,valor
iso3,IND
country_name,India
region,Central and Southern Asia
income_group,LM
iapp_jurisdiction_iapp,India
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,4
iapp_enforcement_level,medium
iapp_thematic_coverage,10
iapp_evidence_summary,"MeitY AI Governance Guidelines Nov 2025 (non-binding), AI advisory on content moderation, AI task force, NITI Aayog papers, ""AI for all"" principle"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,66.55
oxford_rank,27
oxford_pillar_policy_capacity,96.0
oxford_pillar_ai_infrastructure,63.31
oxford_pillar_governance,64.03
oxford_pillar_public_sector_adoption,79.07
oxford_pillar_development_and_diffusion,54.85
oxford_pillar_resilience,59.46
oxford_dimension_compute_capacity,48.5
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,86.96
oxford_dimension_safety_and_security,83.33
oxford_dimension_ai_sector_maturity,47.14
oxford_dimension_human_capital,58.83
oxford_dimension_data_quality,76.15
oxford_dimension_regulatory_compliance,65.56
oxford_dimension_government_digital_policy,71.19
oxford_dimension_societal_transition,35.58
oxford_dimension_ai_technology_diffusion,61.15
ms_ai_user_share_h1_2025,14.2
ms_ai_user_share_h2_2025,15.7
ms_ai_user_share_change_pp,1.4
fh_country_name,India
fh_fh_status,PF
fh_fh_total_score,66
fh_fh_pr_score,33
fh_fh_cl_score,33
fh_fh_year,2025
fh_notes,Data year 2024 - downgraded from F in 2021
gdpr_country_name,India
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Digital Personal Data Protection Act
gdpr_dp_law_year,2023
gdpr_has_dpa,0
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Enacted Aug 2023; DPBI (Data Protection Board) being constituted
legal_origin,English
is_common_law,1
wipo_gii_score,38.1998133830439
wipo_gii_rank,38
wipo_income_group_wipo,LM
wipo_region_un,Central and Southern Asia
wipo_ppp_per_capita,11111.71
wipo_population_thousands,1450935.79
wipo_business_environment,54.3789859111468
wipo_business_sophistication,28.1027400510157
wipo_creative_goods_and_services,23.2515896718154
wipo_creative_outputs,32.1357659472078
wipo_credit,33.1549640088743
wipo_ecological_sustainability,13.8506587730457
wipo_education,44.5120002061049
wipo_general_infrastructure,39.2011968158744
wipo_human_capital_and_research,34.7642285724225
wipo_information_and_communication_technologies_icts,64.0304593349746
wipo_infrastructure,39.0274383079649
wipo_innovation_inputs,41.1285231701829
wipo_innovation_linkages,24.5668166544146
wipo_innovation_outputs,35.4891392831555
wipo_institutional_environment,56.1607531947581
wipo_institutions,51.4526599354144
wipo_intangible_assets,39.6251120451024
wipo_investment,39.4595466634258
wipo_knowledge_absorption,34.6430079374797
wipo_knowledge_and_technology_outputs,38.8425126191033
wipo_knowledge_creation,24.8709149134336
wipo_knowledge_diffusion,38.2910146345811
wipo_knowledge_impact,53.3656083092953
wipo_knowledge_workers,25.0983955611527
wipo_market_sophistication,52.2955489840972
wipo_online_creativity,26.0412500268107
wipo_regulatory_environment,43.8182407003384
wipo_research_and_development_r_d,31.410386585695
wipo_tertiary_education,28.3702989254677
wipo_trade_diversification_and_market_scale,84.2721362799915
wb_gdp_per_capita_ppp_2024,11159.9856476091
wb_rd_expenditure_2020,0.64558
wb_internet_penetration_2022,55.9
wb_tertiary_education_2024,34.4184659748952
wb_government_effectiveness_2023,0.47511014342308
wb_regulatory_quality_2023,-0.136969581246376
wb_rule_of_law_2023,0.188364565372467
wb_control_of_corruption_2023,-0.366014748811722
wb_voice_accountability_2023,0.0944044888019562
wb_political_stability_2023,-0.635076940059662
wb_gdp_current_usd_2024,3909891533858.08
wb_population_2024,1450935791.0
wb_labor_force_2024,608500805.0
wb_fdi_net_inflows_2024,27139853378.1402
wb_exports_pct_gdp_2024,21.1618460520863
