atributo,valor
iso3,ISL
country_name,Iceland
region,Europe-Other
income_group,HI
iapp_jurisdiction_iapp,Additional research (ISL)
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,4
iapp_evidence_summary,"EEA member (follows some EU regulation), OECD AI principles adherent, no AI-specific binding law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,60.49
oxford_rank,44
oxford_pillar_policy_capacity,77.0
oxford_pillar_ai_infrastructure,58.43
oxford_pillar_governance,65.27
oxford_pillar_public_sector_adoption,66.61
oxford_pillar_development_and_diffusion,43.0
oxford_pillar_resilience,76.53
oxford_dimension_compute_capacity,7.91
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,72.69
oxford_dimension_safety_and_security,63.33
fh_country_name,Iceland
fh_fh_status,F
fh_fh_total_score,94
fh_fh_pr_score,38
fh_fh_cl_score,56
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Iceland
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR (EEA) + Act 90/2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eea_member
gdpr_enforcement_active,1
gdpr_notes,EEA member; Personuvernd enforcement
legal_origin,Scandinavian
is_common_law,0
wipo_gii_score,47.0172011061986
wipo_gii_rank,24
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,78808.04
wipo_population_thousands,393.4
wipo_business_environment,63.0688527329439
wipo_business_sophistication,52.4205900346645
wipo_creative_goods_and_services,43.5474645090992
wipo_creative_outputs,45.5915870233897
wipo_credit,34.5709570748635
wipo_ecological_sustainability,40.0407206549017
wipo_education,68.3720930223637
wipo_general_infrastructure,64.9768082523097
wipo_human_capital_and_research,47.512153867215
wipo_information_and_communication_technologies_icts,89.5380695600789
wipo_infrastructure,64.8518661557634
wipo_innovation_inputs,59.1584302230939
wipo_innovation_linkages,46.8129083048503
wipo_innovation_outputs,37.9291007363802
wipo_institutional_environment,88.405708993942
wipo_institutions,78.6333381165706
wipo_intangible_assets,30.996045151362
wipo_investment,71.4566796015906
wipo_knowledge_absorption,40.797829400607
wipo_knowledge_and_technology_outputs,30.2666144493707
wipo_knowledge_creation,46.9498457129399
wipo_knowledge_diffusion,18.7358123498351
wipo_knowledge_impact,25.114185285337
wipo_knowledge_workers,69.6510323985363
wipo_market_sophistication,52.3742029412557
wipo_online_creativity,76.8267932817358
wipo_regulatory_environment,84.4254526228258
wipo_research_and_development_r_d,39.934271204378
wipo_tertiary_education,34.2300973749032
wipo_trade_diversification_and_market_scale,51.0949721473131
wb_gdp_per_capita_ppp_2024,84256.8454573112
wb_rd_expenditure_2022,2.6004
wb_internet_penetration_2023,99.8301
wb_tertiary_education_2023,76.5200729370117
wb_government_effectiveness_2023,1.55512094497681
wb_regulatory_quality_2023,1.28444385528564
wb_rule_of_law_2023,1.72111761569977
wb_control_of_corruption_2023,1.55130612850189
wb_voice_accountability_2023,1.44590175151825
wb_political_stability_2023,1.21440374851227
wb_gdp_current_usd_2024,33255181468.9382
wb_population_2024,386506.0
wb_labor_force_2024,238873.0
wb_fdi_net_inflows_2024,2699492845.30796
wb_exports_pct_gdp_2024,42.4519862872913
wb_inflation_consumer_prices_2024,5.85683849970066
wb_unemployment_rate_2024,3.6
wb_education_expenditure_pct_gdp_2022,7.28923988342285
wb_mobile_subscriptions_per100_2023,123.382
wb_patent_applications_residents_2021,34.0
wb_high_tech_exports_pct,38.0792033549769
wb_ict_service_exports_pct,7.03788590161895
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,4
oecd_enforcement_level,medium
oecd_thematic_coverage,14
oecd_n_total_initiatives,4
oecd_n_binding,0
oecd_n_nonbinding,1
oecd_n_strategies,1
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.15,0.08
stanford_fig_4.2.17,0.47%
stanford_fig_4.2.18,173%
stanford_fig_4.2.22,0.51
stanford_fig_4.2.23,1/1/24
stanford_fig_4.2.25,0.0315521841704915
stanford_fig_4.3.12,2
stanford_fig_4.3.13,9
stanford_fig_4.3.8,0.019234692
stanford_fig_4.3.9,0.896085457
stanford_fig_6.2.1,0
stanford_fig_6.2.12,AK
stanford_fig_6.2.13,AK
stanford_fig_6.2.15,0
stanford_fig_6.2.16,0
stanford_fig_6.2.17,1
stanford_fig_6.2.8,0
