atributo,valor
iso3,ISR
country_name,Israel
region,MENA
income_group,HI
iapp_jurisdiction_iapp,Israel
iapp_has_ai_law,0
iapp_regulatory_approach,light_touch
iapp_regulatory_intensity,4
iapp_enforcement_level,medium
iapp_thematic_coverage,8
iapp_evidence_summary,"National Program for AI Apr 2025, voluntary standardization favored over lateral framework, sector-based self-regulation, sandbox approach"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,71.32
oxford_rank,16
oxford_pillar_policy_capacity,92.0
oxford_pillar_ai_infrastructure,62.7
oxford_pillar_governance,90.38
oxford_pillar_public_sector_adoption,70.61
oxford_pillar_development_and_diffusion,64.66
oxford_pillar_resilience,61.32
oxford_dimension_compute_capacity,21.14
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,75.35
oxford_dimension_safety_and_security,66.67
oxford_dimension_ai_sector_maturity,45.54
oxford_dimension_human_capital,68.31
oxford_dimension_data_quality,87.8
oxford_dimension_regulatory_compliance,80.76
oxford_dimension_government_digital_policy,65.87
oxford_dimension_societal_transition,55.96
oxford_dimension_ai_technology_diffusion,86.51
ms_ai_user_share_h1_2025,33.9
ms_ai_user_share_h2_2025,36.1
ms_ai_user_share_change_pp,2.2
fh_country_name,Israel
fh_fh_status,F
fh_fh_total_score,74
fh_fh_pr_score,32
fh_fh_cl_score,42
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Israel
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,Protection of Privacy Law 5741-1981 (amended)
gdpr_dp_law_year,1981
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,EU adequacy since 2011; PPA under Ministry of Justice
legal_origin,English
is_common_law,1
wipo_gii_score,52.2499679129743
wipo_gii_rank,14
wipo_income_group_wipo,HI
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,54446.21
wipo_population_thousands,9387.02
wipo_business_environment,54.0217153181695
wipo_business_sophistication,59.0190062271854
wipo_creative_goods_and_services,44.8301724970564
wipo_creative_outputs,41.0757326734845
wipo_credit,43.4020711759181
wipo_ecological_sustainability,19.7749871746146
wipo_education,58.1358567879119
wipo_general_infrastructure,45.4120804671062
wipo_human_capital_and_research,53.0730345880192
wipo_information_and_communication_technologies_icts,84.7754354665658
wipo_infrastructure,49.9875010360955
wipo_innovation_inputs,56.8571531271557
wipo_innovation_linkages,64.295167349485
wipo_innovation_outputs,48.5965942461785
wipo_institutional_environment,70.1392909786598
wipo_institutions,65.4646314729991
wipo_intangible_assets,29.0287523660899
wipo_investment,66.3323770964455
wipo_knowledge_absorption,33.5910494102893
wipo_knowledge_and_technology_outputs,56.1174558188725
wipo_knowledge_creation,53.1071539767832
wipo_knowledge_diffusion,55.8582468437144
wipo_knowledge_impact,59.38696663612
wipo_knowledge_workers,79.170801921782
wipo_market_sophistication,56.7415923114794
wipo_online_creativity,61.4152534647019
wipo_regulatory_environment,72.232888122168
wipo_research_and_development_r_d,66.2849605258198
wipo_tertiary_education,34.7982864503259
wipo_trade_diversification_and_market_scale,60.4903286620746
wb_gdp_per_capita_ppp_2024,57235.7763244136
wb_rd_expenditure_2022,6.01924
wb_internet_penetration_2024,88.1824
wb_tertiary_education_2023,55.8351593017578
wb_government_effectiveness_2023,1.1453697681427
wb_regulatory_quality_2023,1.12179791927338
wb_rule_of_law_2023,0.783846437931061
wb_control_of_corruption_2023,0.829359412193298
wb_voice_accountability_2023,0.64426463842392
wb_political_stability_2023,-1.46484839916229
wb_gdp_current_usd_2024,540379921261.681
wb_population_2024,9974400.0
wb_labor_force_2024,4742087.0
wb_fdi_net_inflows_2024,14777900000.0
wb_exports_pct_gdp_2024,28.4347615877701
wb_inflation_consumer_prices_2024,3.07480889805025
wb_unemployment_rate_2024,3.595
wb_education_expenditure_pct_gdp_2022,5.93496990203857
wb_mobile_subscriptions_per100_2023,153.337
wb_patent_applications_residents_2021,1592.0
wb_high_tech_exports_pct,23.0916656017552
wb_ict_service_exports_pct,50.8154042813676
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,comprehensive
oecd_year_enacted,2021.0
oecd_regulatory_intensity,10
oecd_enforcement_level,medium
oecd_thematic_coverage,16
oecd_n_total_initiatives,13
oecd_n_binding,2
oecd_n_nonbinding,9
oecd_n_strategies,1
oecd_n_regulations,7
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,14.28%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.87
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,1.98%
stanford_fig_4.2.18,133%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,-2.1
stanford_fig_4.2.23,1/1/22
stanford_fig_4.3.12,36
stanford_fig_4.3.13,492
stanford_fig_4.3.8,1.364899872
stanford_fig_4.3.9,14.95814021
stanford_fig_1.1.11,4
stanford_fig_1.2.4,0.122993666
stanford_fig_1.3.1,1
stanford_fig_1.3.3,13
stanford_fig_6.2.1,0
