atributo,valor
iso3,JPN
country_name,Japan
region,East Asia
income_group,HI
iapp_jurisdiction_iapp,Japan
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,7
iapp_year_enacted,2025.0
iapp_enforcement_level,medium
iapp_thematic_coverage,12
iapp_evidence_summary,"AI Promotion Act enacted May 2025 (light-touch binding), National AI Strategy 2022, AI Governance Guidelines, agile governance approach"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,72.24
oxford_rank,14
oxford_pillar_policy_capacity,70.0
oxford_pillar_ai_infrastructure,70.62
oxford_pillar_governance,80.46
oxford_pillar_public_sector_adoption,72.71
oxford_pillar_development_and_diffusion,66.13
oxford_pillar_resilience,80.75
oxford_dimension_compute_capacity,50.49
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,73.57
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,50.8
oxford_dimension_human_capital,81.69
oxford_dimension_data_quality,85.38
oxford_dimension_regulatory_compliance,85.92
oxford_dimension_government_digital_policy,71.86
oxford_dimension_societal_transition,61.5
oxford_dimension_ai_technology_diffusion,71.0
ms_ai_user_share_h1_2025,16.7
ms_ai_user_share_h2_2025,19.1
ms_ai_user_share_change_pp,2.4
fh_country_name,Japan
fh_fh_status,F
fh_fh_total_score,96
fh_fh_pr_score,40
fh_fh_cl_score,56
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Japan
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,Act on the Protection of Personal Information (APPI) amended
gdpr_dp_law_year,2022
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,EU mutual adequacy since 2019; PPC active
legal_origin,German
is_common_law,0
wipo_gii_score,53.5565691353389
wipo_gii_rank,12
wipo_income_group_wipo,HI
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,53059.36
wipo_population_thousands,123753.04
wipo_business_environment,42.9453263162714
wipo_business_sophistication,62.5156580186155
wipo_creative_goods_and_services,35.5452515307157
wipo_creative_outputs,45.0691517969551
wipo_credit,63.1878523260994
wipo_ecological_sustainability,25.3054485139096
wipo_education,60.425712730134
wipo_general_infrastructure,50.0314690330205
wipo_human_capital_and_research,52.8530889744879
wipo_information_and_communication_technologies_icts,93.538402240373
wipo_infrastructure,56.2917732624343
wipo_innovation_inputs,60.8580052232288
wipo_innovation_linkages,61.7010027867341
wipo_innovation_outputs,47.3890033482739
wipo_institutional_environment,86.4764859056036
wipo_institutions,71.1659572022143
wipo_intangible_assets,54.6508578237106
wipo_investment,27.7094682372086
wipo_knowledge_absorption,59.0855686397888
wipo_knowledge_and_technology_outputs,49.7088548995927
wipo_knowledge_creation,58.3263117091887
wipo_knowledge_diffusion,54.3199067872501
wipo_knowledge_impact,36.4803462023394
wipo_knowledge_workers,66.7604026293235
wipo_market_sophistication,61.463548658392
wipo_online_creativity,35.4296400096837
wipo_regulatory_environment,84.0760593847678
wipo_research_and_development_r_d,68.6280439803117
wipo_tertiary_education,29.505510213018
wipo_trade_diversification_and_market_scale,93.4933254118681
wb_gdp_per_capita_ppp_2024,52039.1716551611
wb_rd_expenditure_2022,3.40537
wb_internet_penetration_2023,86.9815
wb_tertiary_education_2023,64.8912200927734
wb_government_effectiveness_2023,1.63126504421234
wb_regulatory_quality_2023,1.46932590007782
wb_rule_of_law_2023,1.53553938865662
wb_control_of_corruption_2023,1.3956606388092
wb_voice_accountability_2023,1.10550534725189
wb_political_stability_2023,0.951136231422424
wb_gdp_current_usd_2024,4027597523550.58
wb_population_2024,123975371.0
wb_labor_force_2024,69501768.0
wb_fdi_net_inflows_2024,16160318365.9944
wb_exports_pct_gdp_2024,22.7689998646748
wb_inflation_consumer_prices_2024,2.73853681635241
wb_unemployment_rate_2024,2.5
wb_education_expenditure_pct_gdp_2021,3.33563995361328
wb_mobile_subscriptions_per100_2023,178.432
wb_patent_applications_residents_2021,222452.0
wb_high_tech_exports_pct,17.0303844450023
wb_ict_service_exports_pct,3.55938118314782
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2003.0
oecd_regulatory_intensity,11
oecd_enforcement_level,medium
oecd_thematic_coverage,0
oecd_n_total_initiatives,24
oecd_n_binding,2
oecd_n_nonbinding,21
oecd_n_strategies,0
oecd_n_regulations,12
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.12,42
stanford_fig_4.3.13,388
stanford_fig_4.3.8,0.927028226
stanford_fig_4.3.9,5.892677976
stanford_fig_4.5.4,46.1
stanford_fig_4.5.5,2011
stanford_fig_4.5.7,-9%
stanford_fig_1.2.4,4.577701054
stanford_fig_1.2.5,3.652353356
stanford_fig_1.3.3,10
stanford_fig_6.2.1,4
stanford_fig_6.2.15,32
stanford_fig_6.2.16,587
stanford_fig_6.2.17,3
stanford_fig_6.2.4,4
