atributo,valor
iso3,KEN
country_name,Kenya
region,Sub-Saharan Africa
income_group,LM
iapp_jurisdiction_iapp,Kenya
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,5
iapp_evidence_summary,"National AI Strategy 2025, Draft AI Code of Practice, DLT/AI Taskforce, pending Robotics/AI Bill"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,52.55
oxford_rank,68
oxford_pillar_policy_capacity,69.0
oxford_pillar_ai_infrastructure,39.17
oxford_pillar_governance,70.63
oxford_pillar_public_sector_adoption,62.14
oxford_pillar_development_and_diffusion,35.48
oxford_pillar_resilience,70.74
oxford_dimension_compute_capacity,9.13
oxford_dimension_policy_vision,60.0
oxford_dimension_e_government_delivery,69.43
oxford_dimension_safety_and_security,100.0
ms_ai_user_share_h1_2025,7.8
ms_ai_user_share_h2_2025,8.1
ms_ai_user_share_change_pp,0.3
fh_country_name,Kenya
fh_fh_status,PF
fh_fh_total_score,52
fh_fh_pr_score,22
fh_fh_cl_score,30
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Kenya
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Data Protection Act
gdpr_dp_law_year,2019
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,ODPC (Office of Data Protection Commissioner) active enforcement
legal_origin,English
is_common_law,1
wipo_gii_score,21.3791141049195
wipo_gii_rank,102
wipo_income_group_wipo,LM
wipo_region_un,Sub-Saharan Africa
wipo_ppp_per_capita,7157.32
wipo_population_thousands,56432.94
wipo_business_environment,44.179003271043
wipo_business_sophistication,21.311974238742
wipo_creative_goods_and_services,1.08369227665058
wipo_creative_outputs,13.5683745611904
wipo_credit,6.11733807538209
wipo_ecological_sustainability,17.14444799026
wipo_education,39.1859122324736
wipo_general_infrastructure,8.49674034682339
wipo_human_capital_and_research,16.1373466818176
wipo_information_and_communication_technologies_icts,55.7892557515248
wipo_infrastructure,27.1434813628694
wipo_innovation_inputs,25.3547685318016
wipo_innovation_linkages,22.2299848216841
wipo_innovation_outputs,16.6188232525021
wipo_institutional_environment,41.3996646176527
wipo_institutions,39.5988631929715
wipo_intangible_assets,15.1225264144584
wipo_investment,26.306521338992
wipo_knowledge_absorption,17.4403606331328
wipo_knowledge_and_technology_outputs,19.6692719438138
wipo_knowledge_creation,17.7037528872858
wipo_knowledge_diffusion,19.6142465024523
wipo_knowledge_impact,21.6898164417034
wipo_knowledge_workers,24.2655772614092
wipo_market_sophistication,22.5821771826073
wipo_online_creativity,22.9447531391942
wipo_regulatory_environment,33.2179216902188
wipo_research_and_development_r_d,2.05436830566811
wipo_tertiary_education,7.1717595073109
wipo_trade_diversification_and_market_scale,35.3226721334477
wb_high_tech_exports_pct,4.59327769222193
wb_ict_service_exports_pct,11.2280460031494
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,6
oecd_enforcement_level,none
oecd_thematic_coverage,3
oecd_n_total_initiatives,9
oecd_n_binding,0
oecd_n_nonbinding,9
oecd_n_strategies,0
oecd_n_regulations,4
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.13,6
stanford_fig_4.3.8,0.0025
stanford_fig_4.3.9,0.040606312
stanford_fig_6.2.1,0
stanford_fig_6.2.15,21
stanford_fig_6.2.16,52
stanford_fig_6.2.8,2
