atributo,valor
iso3,KOR
country_name,South Korea
region,East Asia
income_group,HI
iapp_jurisdiction_iapp,South Korea
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,8
iapp_year_enacted,2025.0
iapp_enforcement_level,high
iapp_thematic_coverage,12
iapp_evidence_summary,"AI Basic Act passed Jan 2025, enforcement decrees from MSICT, National Strategy for AI, AI Safety Institute"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,76.89
oxford_rank,5
oxford_pillar_policy_capacity,96.0
oxford_pillar_ai_infrastructure,68.21
oxford_pillar_governance,90.73
oxford_pillar_public_sector_adoption,79.23
oxford_pillar_development_and_diffusion,65.88
oxford_pillar_resilience,82.71
oxford_dimension_compute_capacity,40.81
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,91.5
oxford_dimension_safety_and_security,100.0
oxford_dimension_ai_sector_maturity,50.65
oxford_dimension_human_capital,70.07
oxford_dimension_data_quality,85.27
oxford_dimension_regulatory_compliance,81.45
oxford_dimension_government_digital_policy,66.96
oxford_dimension_societal_transition,65.42
oxford_dimension_ai_technology_diffusion,82.0
ms_ai_user_share_h1_2025,25.9
ms_ai_user_share_h2_2025,30.7
ms_ai_user_share_change_pp,4.8
fh_country_name,South Korea
fh_fh_status,F
fh_fh_total_score,83
fh_fh_pr_score,33
fh_fh_cl_score,50
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,South Korea
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,Personal Information Protection Act (PIPA) amended
gdpr_dp_law_year,2023
gdpr_has_dpa,1
gdpr_eu_status,adequacy
gdpr_enforcement_active,1
gdpr_notes,EU adequacy since 2021; PIPC strong enforcement
legal_origin,German
is_common_law,0
wipo_gii_score,59.9976353178735
wipo_gii_rank,4
wipo_income_group_wipo,HI
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,62960.47
wipo_population_thousands,51717.59
wipo_business_environment,58.1740865050582
wipo_business_sophistication,63.6851715501906
wipo_creative_goods_and_services,37.7634037092226
wipo_creative_outputs,61.7470086563706
wipo_credit,65.8762520473492
wipo_ecological_sustainability,25.7129696465399
wipo_education,71.1546987221603
wipo_general_infrastructure,60.6548343933107
wipo_human_capital_and_research,68.6140954304918
wipo_information_and_communication_technologies_icts,95.0357487674814
wipo_infrastructure,60.4678509357773
wipo_innovation_inputs,63.9128818083116
wipo_innovation_linkages,58.3779884798275
wipo_innovation_outputs,57.9477759136713
wipo_institutional_environment,80.2817087802358
wipo_institutions,70.9872709677794
wipo_intangible_assets,81.5033688101877
wipo_investment,30.0904999978219
wipo_knowledge_absorption,50.427708833167
wipo_knowledge_and_technology_outputs,54.148543170972
wipo_knowledge_creation,65.116196564893
wipo_knowledge_diffusion,52.2575407904176
wipo_knowledge_impact,45.0718921576054
wipo_knowledge_workers,82.2498173375774
wipo_market_sophistication,55.8100201573186
wipo_online_creativity,46.2178932958843
wipo_regulatory_environment,74.5060176180442
wipo_research_and_development_r_d,85.4505639680789
wipo_tertiary_education,49.2370236012362
wipo_trade_diversification_and_market_scale,71.4633084267847
wb_gdp_per_capita_ppp_2024,61051.3492502498
wb_rd_expenditure_2022,5.21081
wb_internet_penetration_2024,97.8956
wb_tertiary_education_2023,106.709167480469
wb_government_effectiveness_2023,1.40480732917786
wb_regulatory_quality_2023,1.122523188591
wb_rule_of_law_2023,1.24850225448608
wb_control_of_corruption_2023,0.894088566303253
wb_voice_accountability_2023,0.8595951795578
wb_political_stability_2023,0.609834730625153
wb_gdp_current_usd_2024,1875388209406.8
wb_population_2024,51751065.0
wb_labor_force_2024,29835657.0
wb_fdi_net_inflows_2024,15225800000.0
wb_exports_pct_gdp_2024,44.3582383593234
wb_inflation_consumer_prices_2024,2.32174328643542
wb_unemployment_rate_2024,2.784
wb_education_expenditure_pct_gdp_2022,5.81446981430054
wb_mobile_subscriptions_per100_2023,162.114
wb_patent_applications_residents_2021,186245.0
wb_high_tech_exports_pct,32.4050621736765
wb_ict_service_exports_pct,7.38567145838409
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,6
oecd_enforcement_level,medium
oecd_thematic_coverage,20
oecd_n_total_initiatives,12
oecd_n_binding,0
oecd_n_nonbinding,10
oecd_n_strategies,0
oecd_n_regulations,4
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,13.21%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.63
stanford_fig_4.2.17,1.07%
stanford_fig_4.2.18,65%
stanford_fig_4.2.22,-0.36
stanford_fig_4.2.23,1/1/23
stanford_fig_4.3.12,52
stanford_fig_4.3.13,270
stanford_fig_4.3.8,1.326995968
stanford_fig_4.3.9,8.962056925
stanford_fig_4.5.4,31.4
stanford_fig_4.5.5,2011
stanford_fig_4.5.7,-1%
stanford_fig_1.1.11,6
stanford_fig_1.2.4,17.26851235
stanford_fig_1.2.5,10.42824097
stanford_fig_1.3.1,1
stanford_fig_1.3.3,16
stanford_fig_6.2.1,13
stanford_fig_6.2.15,10
stanford_fig_6.2.16,40
stanford_fig_6.2.17,10
stanford_fig_6.2.3,2
stanford_fig_6.2.4,13
