atributo,valor
iso3,LUX
country_name,Luxembourg
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Luxembourg)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Luxembourg as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,64.28
oxford_rank,33
oxford_pillar_policy_capacity,81.0
oxford_pillar_ai_infrastructure,57.65
oxford_pillar_governance,81.52
oxford_pillar_public_sector_adoption,75.46
oxford_pillar_development_and_diffusion,46.26
oxford_pillar_resilience,66.54
oxford_dimension_compute_capacity,12.18
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,85.39
oxford_dimension_safety_and_security,66.67
fh_country_name,Luxembourg
fh_fh_status,F
fh_fh_total_score,97
fh_fh_pr_score,40
fh_fh_cl_score,57
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Luxembourg
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Law of 1 August 2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; CNPD enforcement
legal_origin,French
is_common_law,0
wipo_gii_score,47.2652289615258
wipo_gii_rank,23
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,151145.79
wipo_population_thousands,673.04
wipo_business_environment,71.270355809746
wipo_business_sophistication,58.2553081252497
wipo_creative_goods_and_services,55.0573533045619
wipo_creative_outputs,53.5961643265818
wipo_credit,42.189621133657
wipo_ecological_sustainability,22.6783497956074
wipo_education,57.1615467143713
wipo_general_infrastructure,29.2967634742628
wipo_human_capital_and_research,46.9483147208229
wipo_information_and_communication_technologies_icts,85.0543350793229
wipo_infrastructure,45.6764827830644
wipo_innovation_inputs,56.1163052832428
wipo_innovation_linkages,56.6877191762395
wipo_innovation_outputs,42.0648261958634
wipo_institutional_environment,88.1407185509425
wipo_institutions,83.9005422730218
wipo_intangible_assets,48.1826935713428
wipo_investment,48.8296798148345
wipo_knowledge_absorption,48.8390856678297
wipo_knowledge_and_technology_outputs,30.5334880651451
wipo_knowledge_creation,39.270129552561
wipo_knowledge_diffusion,19.9912075568303
wipo_knowledge_impact,32.3391270860439
wipo_knowledge_workers,69.23911953168
wipo_market_sophistication,45.8008785140552
wipo_online_creativity,62.9619168590796
wipo_regulatory_environment,92.2905524583771
wipo_research_and_development_r_d,31.7285605632216
wipo_tertiary_education,51.9548368848757
wipo_trade_diversification_and_market_scale,46.3833345936742
wb_gdp_per_capita_ppp_2024,155941.288210791
wb_rd_expenditure_2022,0.97653
wb_internet_penetration_2024,98.7606
wb_tertiary_education_2023,21.5371704101562
wb_government_effectiveness_2023,1.91421329975128
wb_regulatory_quality_2023,1.92906320095062
wb_rule_of_law_2023,1.75243473052979
wb_control_of_corruption_2023,1.92665910720825
wb_voice_accountability_2023,1.63266289234161
wb_political_stability_2023,1.05400168895721
wb_gdp_current_usd_2024,93279851863.4062
wb_population_2024,677012.0
wb_labor_force_2024,352177.0
wb_fdi_net_inflows_2024,105986643430.0
wb_exports_pct_gdp_2024,191.532970187611
wb_inflation_consumer_prices_2024,2.05113269954859
wb_unemployment_rate_2024,6.4
wb_education_expenditure_pct_gdp_2022,3.70599007606506
wb_mobile_subscriptions_per100_2023,144.475
wb_patent_applications_residents_2021,112.0
wb_high_tech_exports_pct,6.57356994288018
wb_ict_service_exports_pct,3.84135632614271
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,6
oecd_enforcement_level,none
oecd_thematic_coverage,11
oecd_n_total_initiatives,8
oecd_n_binding,0
oecd_n_nonbinding,8
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,9.15%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.24
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,1.45%
stanford_fig_4.2.18,114%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,8.92
stanford_fig_4.2.23,1/1/19
stanford_fig_4.3.12,3
stanford_fig_4.3.13,17
stanford_fig_4.3.8,0.086071782
stanford_fig_4.3.9,0.212533081
stanford_fig_1.2.4,15.30543343
stanford_fig_1.2.5,82.16360308
stanford_fig_6.2.1,1
stanford_fig_6.2.15,0
stanford_fig_6.2.16,0
stanford_fig_6.3.1,3.884373322290111
stanford_fig_6.3.2,3
stanford_fig_6.3.3,1148.414402
stanford_fig_6.3.4,598.1029474
