atributo,valor
iso3,MEX
country_name,Mexico
region,LATAM
income_group,UM
iapp_jurisdiction_iapp,Additional research (MEX)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,6
iapp_evidence_summary,"AI Strategy MX, OECD AI principles adherent, draft AI regulation proposals, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,48.33
oxford_rank,77
oxford_pillar_policy_capacity,35.0
oxford_pillar_ai_infrastructure,52.1
oxford_pillar_governance,67.64
oxford_pillar_public_sector_adoption,66.11
oxford_pillar_development_and_diffusion,34.07
oxford_pillar_resilience,32.22
oxford_dimension_compute_capacity,12.47
oxford_dimension_policy_vision,50.0
oxford_dimension_e_government_delivery,77.34
oxford_dimension_safety_and_security,24.33
ms_ai_user_share_h1_2025,16.7
ms_ai_user_share_h2_2025,17.8
ms_ai_user_share_change_pp,1.1
fh_country_name,Mexico
fh_fh_status,PF
fh_fh_total_score,60
fh_fh_pr_score,27
fh_fh_cl_score,33
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Mexico
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,LFPDPPP (private) + LGPDPPSO (public)
gdpr_dp_law_year,2010
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,INAI established but under reform/abolition debate (2024-2025)
legal_origin,French
is_common_law,0
wipo_gii_score,30.5127163343233
wipo_gii_rank,58
wipo_income_group_wipo,UM
wipo_region_un,Latin America and the Caribbean
wipo_ppp_per_capita,24971.32
wipo_population_thousands,130861.01
wipo_business_environment,21.2970875898817
wipo_business_sophistication,28.5936744810896
wipo_creative_goods_and_services,32.2475466388579
wipo_creative_outputs,31.7741373694937
wipo_credit,18.7218677526485
wipo_ecological_sustainability,15.4635669548511
wipo_education,44.4128270485567
wipo_general_infrastructure,25.0744248552647
wipo_human_capital_and_research,32.1935380638012
wipo_information_and_communication_technologies_icts,77.2355826344859
wipo_infrastructure,39.2578581482006
wipo_innovation_inputs,33.4387047347322
wipo_innovation_linkages,21.9545362196582
wipo_innovation_outputs,27.4556194920552
wipo_institutional_environment,42.9898688042018
wipo_institutions,30.9160601777457
wipo_intangible_assets,35.650899990479
wipo_investment,8.95598457326308
wipo_knowledge_absorption,36.7671255782434
wipo_knowledge_and_technology_outputs,23.1371016146167
wipo_knowledge_creation,10.4273990314883
wipo_knowledge_diffusion,28.23324968422
wipo_knowledge_impact,30.7506561281418
wipo_knowledge_workers,27.0593616453672
wipo_market_sophistication,36.2323928028237
wipo_online_creativity,23.5472028581589
wipo_regulatory_environment,28.4612241391536
wipo_research_and_development_r_d,25.1520394072239
wipo_tertiary_education,27.015747735623
wipo_trade_diversification_and_market_scale,81.0193260825595
wb_gdp_per_capita_ppp_2024,26185.3564713253
wb_rd_expenditure_2023,0.26819
wb_internet_penetration_2023,81.1832
wb_tertiary_education_2023,47.474681854248
wb_government_effectiveness_2023,-0.198361441493034
wb_regulatory_quality_2023,-0.171988308429718
wb_rule_of_law_2023,-0.806393921375275
wb_control_of_corruption_2023,-1.02057874202728
wb_voice_accountability_2023,-0.115086063742638
wb_political_stability_2023,-0.630761027336121
wb_gdp_current_usd_2024,1856365616165.94
wb_population_2024,130861007.0
wb_labor_force_2024,60887761.0
wb_fdi_net_inflows_2024,45467026968.0
wb_exports_pct_gdp_2024,36.7033688165177
wb_inflation_consumer_prices_2024,4.72225588452932
wb_unemployment_rate_2024,2.678
wb_education_expenditure_pct_gdp_2022,4.0658597946167
wb_mobile_subscriptions_per100_2023,111.562
wb_patent_applications_residents_2021,1117.0
wb_high_tech_exports_pct,20.4068584131191
wb_ict_service_exports_pct,2.97428590716616
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,8
oecd_enforcement_level,medium
oecd_thematic_coverage,21
oecd_n_total_initiatives,18
oecd_n_binding,0
oecd_n_nonbinding,15
oecd_n_strategies,1
oecd_n_regulations,4
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,24.02%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.85
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.28%
stanford_fig_4.2.18,135%
stanford_fig_4.2.19,2016
stanford_fig_4.2.2,2014
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,-0.1
stanford_fig_4.2.23,1/1/23
stanford_fig_4.3.12,3
stanford_fig_4.3.13,26
stanford_fig_4.3.8,0.1019
stanford_fig_4.3.9,0.863794859
stanford_fig_4.5.4,5.8
stanford_fig_4.5.7,-3%
stanford_fig_1.2.4,0.000770774
stanford_fig_6.2.1,0
stanford_fig_6.2.15,36
stanford_fig_6.2.16,118
stanford_fig_6.2.8,3
