atributo,valor
iso3,MLT
country_name,Malta
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Malta)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Malta as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,61.48
oxford_rank,39
oxford_pillar_policy_capacity,77.0
oxford_pillar_ai_infrastructure,52.25
oxford_pillar_governance,87.77
oxford_pillar_public_sector_adoption,66.58
oxford_pillar_development_and_diffusion,44.16
oxford_pillar_resilience,65.19
oxford_dimension_compute_capacity,7.19
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,67.62
oxford_dimension_safety_and_security,66.67
fh_country_name,Malta
fh_fh_status,F
fh_fh_total_score,90
fh_fh_pr_score,36
fh_fh_cl_score,54
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Malta
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Data Protection Act 2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; IDPC enforcement
legal_origin,English
is_common_law,1
wipo_gii_score,45.3472846775166
wipo_gii_rank,27
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,72941.91
wipo_population_thousands,539.61
wipo_business_environment,51.3885831953917
wipo_business_sophistication,53.8771078499676
wipo_creative_goods_and_services,37.0645876760189
wipo_creative_outputs,51.8005550809986
wipo_credit,24.9172443352787
wipo_ecological_sustainability,32.2794267490557
wipo_education,64.6323935931948
wipo_general_infrastructure,33.5609285831451
wipo_human_capital_and_research,42.8277514716172
wipo_information_and_communication_technologies_icts,87.1975825325821
wipo_infrastructure,51.0126459549276
wipo_innovation_inputs,49.9352413377284
wipo_innovation_linkages,47.7294142310054
wipo_innovation_outputs,39.7276041516596
wipo_institutional_environment,71.1623271607614
wipo_institutions,61.8426743221
wipo_intangible_assets,60.031916726268
wipo_investment,39.0740129295076
wipo_knowledge_absorption,57.8235987405368
wipo_knowledge_and_technology_outputs,27.6546532223206
wipo_knowledge_creation,23.5996226048811
wipo_knowledge_diffusion,37.2466802112965
wipo_knowledge_impact,22.1176568507842
wipo_knowledge_workers,56.0783105783606
wipo_market_sophistication,40.1160270900294
wipo_online_creativity,50.0737991954394
wipo_regulatory_environment,62.9771126101471
wipo_research_and_development_r_d,19.6520994867045
wipo_tertiary_education,44.1987613349524
wipo_trade_diversification_and_market_scale,56.3568240053019
wb_high_tech_exports_pct,29.6218204565045
wb_ict_service_exports_pct,1.60541512852324
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,light_touch
oecd_year_enacted,2022.0
oecd_regulatory_intensity,20
oecd_enforcement_level,medium
oecd_thematic_coverage,23
oecd_n_total_initiatives,26
oecd_n_binding,1
oecd_n_nonbinding,24
oecd_n_strategies,0
oecd_n_regulations,2
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.13,3
stanford_fig_4.3.9,0.015807271
stanford_fig_6.2.1,0
stanford_fig_6.2.15,1
stanford_fig_6.2.16,7
stanford_fig_6.3.1,1.297392016540143
stanford_fig_6.3.2,2
stanford_fig_6.3.3,648.6960083
stanford_fig_6.3.4,234.7713734
