atributo,valor
iso3,MUS
country_name,Mauritius
region,Sub-Saharan Africa
income_group,UM
iapp_jurisdiction_iapp,Mauritius
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,5
iapp_evidence_summary,"AI Strategy 2018, Emerging Technologies Council, Financial Services AI Rules in force (sectoral), plans for AI Office"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,52.76
oxford_rank,67
oxford_pillar_policy_capacity,65.5
oxford_pillar_ai_infrastructure,48.72
oxford_pillar_governance,72.5
oxford_pillar_public_sector_adoption,65.63
oxford_pillar_development_and_diffusion,38.52
oxford_pillar_resilience,36.76
oxford_dimension_compute_capacity,7.19
oxford_dimension_policy_vision,70.0
oxford_dimension_e_government_delivery,81.26
oxford_dimension_safety_and_security,33.33
fh_country_name,Mauritius
fh_fh_status,F
fh_fh_total_score,84
fh_fh_pr_score,36
fh_fh_cl_score,48
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Mauritius
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Data Protection Act
gdpr_dp_law_year,2017
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Data Protection Office active; Convention 108+ signatory
legal_origin,French
is_common_law,0
wipo_gii_score,32.5030604688201
wipo_gii_rank,53
wipo_income_group_wipo,UM
wipo_region_un,Sub-Saharan Africa
wipo_ppp_per_capita,32062.71
wipo_population_thousands,1271.17
wipo_business_environment,54.9871889867543
wipo_business_sophistication,25.6296113959724
wipo_creative_goods_and_services,16.3363972329603
wipo_creative_outputs,25.6023426277342
wipo_credit,32.8627561370999
wipo_ecological_sustainability,20.5922048958356
wipo_education,58.2789677892631
wipo_general_infrastructure,14.9782326755588
wipo_human_capital_and_research,31.0020685409256
wipo_information_and_communication_technologies_icts,66.0673777531969
wipo_infrastructure,33.8792717748638
wipo_innovation_inputs,41.5704010744452
wipo_innovation_linkages,29.5813970013687
wipo_innovation_outputs,19.5566238396158
wipo_institutional_environment,75.1224472011214
wipo_institutions,66.577295344587
wipo_intangible_assets,29.9975006165195
wipo_investment,62.3050834347543
wipo_knowledge_absorption,22.0377274470877
wipo_knowledge_and_technology_outputs,13.5109050514974
wipo_knowledge_creation,8.66742775754196
wipo_knowledge_diffusion,16.0896077911452
wipo_knowledge_impact,15.7756796058051
wipo_knowledge_workers,25.2697097394608
wipo_market_sophistication,50.7637583158774
wipo_online_creativity,26.0779720449375
wipo_regulatory_environment,69.6222498458853
wipo_research_and_development_r_d,2.64136773691936
wipo_tertiary_education,32.0858700965942
wipo_trade_diversification_and_market_scale,57.1234353757781
wb_high_tech_exports_pct,2.14379472409531
wb_ict_service_exports_pct,3.58188640012572
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,strategy_led
oecd_year_enacted,2024.0
oecd_regulatory_intensity,5
oecd_enforcement_level,medium
oecd_thematic_coverage,6
oecd_n_total_initiatives,4
oecd_n_binding,1
oecd_n_nonbinding,2
oecd_n_strategies,1
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.25,0.0107355979335282
stanford_fig_4.3.13,1
stanford_fig_4.3.15,1.318923138
stanford_fig_4.3.16,2018
stanford_fig_4.3.9,0.022
stanford_fig_6.2.1,0
stanford_fig_6.2.15,11
stanford_fig_6.2.16,88
