atributo,valor
iso3,NLD
country_name,Netherlands
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Netherlands)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Netherlands as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,77.18
oxford_rank,4
oxford_pillar_policy_capacity,92.0
oxford_pillar_ai_infrastructure,69.85
oxford_pillar_governance,94.19
oxford_pillar_public_sector_adoption,94.01
oxford_pillar_development_and_diffusion,62.5
oxford_pillar_resilience,66.61
oxford_dimension_compute_capacity,39.17
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,98.03
oxford_dimension_safety_and_security,66.67
oxford_dimension_ai_sector_maturity,46.51
oxford_dimension_human_capital,78.49
oxford_dimension_data_quality,88.87
oxford_dimension_regulatory_compliance,88.38
oxford_dimension_government_digital_policy,90.0
oxford_dimension_societal_transition,66.55
oxford_dimension_ai_technology_diffusion,67.82
ms_ai_user_share_h1_2025,36.3
ms_ai_user_share_h2_2025,38.9
ms_ai_user_share_change_pp,2.6
fh_country_name,Netherlands
fh_fh_status,F
fh_fh_total_score,97
fh_fh_pr_score,39
fh_fh_cl_score,58
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Netherlands
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Implementation Act (UAVG)
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; Autoriteit Persoonsgegevens active
legal_origin,French
is_common_law,0
wipo_gii_score,57.035492429262
wipo_gii_rank,8
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,81494.63
wipo_population_thousands,18228.74
wipo_business_environment,73.3863837080044
wipo_business_sophistication,62.4707376593728
wipo_creative_goods_and_services,40.0754666521675
wipo_creative_outputs,55.923825013253
wipo_credit,59.4376966236545
wipo_ecological_sustainability,23.1575632811887
wipo_education,62.2102149500281
wipo_general_infrastructure,46.4578092800854
wipo_human_capital_and_research,56.0988306994903
wipo_information_and_communication_technologies_icts,91.5267349126119
wipo_infrastructure,53.7140358246287
wipo_innovation_inputs,61.9398626604729
wipo_innovation_linkages,62.0128918501496
wipo_innovation_outputs,55.7262102538514
wipo_institutional_environment,81.6171812925887
wipo_institutions,81.3646154673126
wipo_intangible_assets,46.6290485704696
wipo_investment,39.3453725731943
wipo_knowledge_absorption,57.7163037181894
wipo_knowledge_and_technology_outputs,55.5285954944497
wipo_knowledge_creation,63.3689293567024
wipo_knowledge_diffusion,53.8126878804037
wipo_knowledge_impact,49.4041692462431
wipo_knowledge_workers,67.6830174097796
wipo_market_sophistication,56.0510936515603
wipo_online_creativity,90.3617362599052
wipo_regulatory_environment,89.0902814013447
wipo_research_and_development_r_d,63.804307286861
wipo_tertiary_education,42.2819698615817
wipo_trade_diversification_and_market_scale,69.3702117578322
wb_gdp_per_capita_ppp_2024,86173.6290841738
wb_rd_expenditure_2022,2.25533
wb_internet_penetration_2023,97.0068
wb_tertiary_education_2023,86.5938262939453
wb_government_effectiveness_2023,1.62553191184998
wb_regulatory_quality_2023,1.79096639156342
wb_rule_of_law_2023,1.64250445365906
wb_control_of_corruption_2023,1.86710047721863
wb_voice_accountability_2023,1.55626440048218
wb_political_stability_2023,0.658281981945038
wb_gdp_current_usd_2024,1214927698572.66
wb_population_2024,17993485.0
wb_labor_force_2024,10314837.0
wb_fdi_net_inflows_2024,-17058018836.8683
wb_exports_pct_gdp_2024,82.4303604853273
wb_inflation_consumer_prices_2024,3.34754304219953
wb_unemployment_rate_2024,3.7
wb_education_expenditure_pct_gdp_2022,5.17918014526367
wb_mobile_subscriptions_per100_2023,117.352
wb_patent_applications_residents_2021,2080.0
wb_high_tech_exports_pct,23.0482346929973
wb_ict_service_exports_pct,9.19705544094305
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,11
oecd_enforcement_level,medium
oecd_thematic_coverage,23
oecd_n_total_initiatives,23
oecd_n_binding,0
oecd_n_nonbinding,22
oecd_n_strategies,0
oecd_n_regulations,6
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,8.57%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.92
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,1.07%
stanford_fig_4.2.18,84%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.92
stanford_fig_4.2.23,1/1/23
stanford_fig_4.3.12,24
stanford_fig_4.3.13,116
stanford_fig_4.3.8,1.090665984
stanford_fig_4.3.9,3.089097178
stanford_fig_1.2.4,0.402749504
stanford_fig_1.2.5,10.27996108
stanford_fig_1.3.3,6
stanford_fig_6.2.1,0
stanford_fig_6.2.15,23
stanford_fig_6.2.16,120
stanford_fig_6.3.1,7.066898100739291
stanford_fig_6.3.2,28
stanford_fig_6.3.3,171.246513
stanford_fig_6.3.4,40.17719416
