atributo,valor
iso3,PAK
country_name,Pakistan
region,South Asia
income_group,LM
iapp_jurisdiction_iapp,Additional research (PAK)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,3
iapp_evidence_summary,"National AI Policy 2023, Presidential Initiative for AI and Computing, UNESCO AI ethics adopted, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,45.38
oxford_rank,81
oxford_pillar_policy_capacity,61.5
oxford_pillar_ai_infrastructure,41.23
oxford_pillar_governance,61.25
oxford_pillar_public_sector_adoption,36.51
oxford_pillar_development_and_diffusion,36.95
oxford_pillar_resilience,50.21
oxford_dimension_compute_capacity,9.99
oxford_dimension_policy_vision,60.0
oxford_dimension_e_government_delivery,59.1
oxford_dimension_safety_and_security,66.67
ms_ai_user_share_h1_2025,9.7
ms_ai_user_share_h2_2025,10.3
ms_ai_user_share_change_pp,0.7
fh_country_name,Pakistan
fh_fh_status,NF
fh_fh_total_score,27
fh_fh_pr_score,12
fh_fh_cl_score,15
fh_fh_year,2025
fh_notes,Data year 2024 - downgraded to NF after flawed 2024 elections
gdpr_country_name,Pakistan
gdpr_has_gdpr_like_law,0
gdpr_gdpr_similarity_level,1
gdpr_dp_law_name,Draft Personal Data Protection Bill (pending)
gdpr_dp_law_year,2020
gdpr_has_dpa,0
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Draft bill since 2018-2020; PECA 2016 sectoral only; no comprehensive framework
legal_origin,English
is_common_law,1
wipo_gii_score,22.0640834582869
wipo_gii_rank,99
wipo_income_group_wipo,LM
wipo_region_un,Central and Southern Asia
wipo_ppp_per_capita,6715.3
wipo_population_thousands,251269.16
wipo_business_environment,28.4123413700653
wipo_business_sophistication,24.8670607800166
wipo_creative_goods_and_services,1.46304592639826
wipo_creative_outputs,22.585922426444
wipo_credit,13.1748343994354
wipo_ecological_sustainability,14.9437482450007
wipo_education,31.1170908248701
wipo_general_infrastructure,2.18378767553197
wipo_human_capital_and_research,15.4158180609381
wipo_information_and_communication_technologies_icts,46.2016614605331
wipo_infrastructure,21.1097324603553
wipo_innovation_inputs,22.2005159685894
wipo_innovation_linkages,25.1429704536217
wipo_innovation_outputs,21.8116867228229
wipo_institutional_environment,25.8474425807837
wipo_institutions,25.2703953029493
wipo_intangible_assets,31.1791787718349
wipo_investment,5.09194141299775
wipo_knowledge_absorption,29.2903444186903
wipo_knowledge_and_technology_outputs,21.0374510192018
wipo_knowledge_creation,18.8111906296394
wipo_knowledge_diffusion,15.379953591379
wipo_knowledge_impact,28.9212088365869
wipo_knowledge_workers,20.1678674677376
wipo_market_sophistication,24.339573238688
wipo_online_creativity,26.522286235708
wipo_regulatory_environment,21.5514019579988
wipo_research_and_development_r_d,8.8553858995604
wipo_tertiary_education,6.27497745838381
wipo_trade_diversification_and_market_scale,54.7519439036308
wb_high_tech_exports_pct,2.30269691786268
wb_ict_service_exports_pct,22.0096590376737
stanford_fig_1.2.4,0.001212099
stanford_fig_6.2.15,11
stanford_fig_6.2.16,20
