atributo,valor
iso3,PAN
country_name,Panama
region,LATAM
income_group,HI
iapp_jurisdiction_iapp,Additional research (PAN)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,2
iapp_evidence_summary,"National AI Strategy 2024, AIG Panama, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,39.3
oxford_rank,102
oxford_pillar_policy_capacity,23.0
oxford_pillar_ai_infrastructure,53.03
oxford_pillar_governance,41.75
oxford_pillar_public_sector_adoption,61.33
oxford_pillar_development_and_diffusion,20.84
oxford_pillar_resilience,30.73
oxford_dimension_compute_capacity,8.67
oxford_dimension_policy_vision,20.0
oxford_dimension_e_government_delivery,62.01
oxford_dimension_safety_and_security,22.0
ms_ai_user_share_h1_2025,20.3
ms_ai_user_share_h2_2025,21.5
ms_ai_user_share_change_pp,1.2
fh_country_name,Panama
fh_fh_status,F
fh_fh_total_score,83
fh_fh_pr_score,36
fh_fh_cl_score,47
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Panama
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law 81 of 2019 Personal Data Protection
gdpr_dp_law_year,2019
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,ANTAI (National Authority for Transparency) enforcement
legal_origin,French
is_common_law,0
wipo_gii_score,25.8798675140179
wipo_gii_rank,82
wipo_income_group_wipo,HI
wipo_region_un,Latin America and the Caribbean
wipo_ppp_per_capita,41292.26
wipo_population_thousands,4515.58
wipo_business_environment,34.7307511630105
wipo_business_sophistication,18.3897086951914
wipo_creative_goods_and_services,30.987042533797
wipo_creative_outputs,24.7798260480336
wipo_credit,28.5706542779949
wipo_ecological_sustainability,27.4402919960308
wipo_education,44.1851200795698
wipo_general_infrastructure,39.1102913340714
wipo_human_capital_and_research,22.0795120816797
wipo_information_and_communication_technologies_icts,65.0544708170577
wipo_infrastructure,43.8683513823866
wipo_innovation_inputs,29.9118983206021
wipo_innovation_linkages,16.345810476208
wipo_innovation_outputs,19.5735924044457
wipo_institutional_environment,51.9937011548727
wipo_institutions,42.022562111691
wipo_intangible_assets,19.6372886047861
wipo_investment,4.17209413167181
wipo_knowledge_absorption,14.7679049124889
wipo_knowledge_and_technology_outputs,14.3673587608577
wipo_knowledge_creation,4.51697194434117
wipo_knowledge_diffusion,16.8430264945342
wipo_knowledge_impact,21.7420778436978
wipo_knowledge_workers,24.0554106968774
wipo_market_sophistication,23.1993573320615
wipo_online_creativity,28.8576844487652
wipo_regulatory_environment,39.3432340171897
wipo_research_and_development_r_d,1.94061015680529
wipo_tertiary_education,20.112806008664
wipo_trade_diversification_and_market_scale,36.8553235865178
wb_high_tech_exports_pct,0.295190561101589
wb_ict_service_exports_pct,3.5406650582061
stanford_fig_4.2.7,1.69%
stanford_fig_4.3.12,42
stanford_fig_4.3.13,388
stanford_fig_4.3.8,0.927028226
stanford_fig_4.3.9,5.892677976
stanford_fig_4.5.4,46.1
stanford_fig_4.5.5,2011
stanford_fig_4.5.7,-9%
stanford_fig_1.2.4,4.577701054
stanford_fig_1.2.5,3.652353356
stanford_fig_1.3.3,10
stanford_fig_6.2.1,1
stanford_fig_6.2.15,5
stanford_fig_6.2.16,25
stanford_fig_6.2.17,3
stanford_fig_6.2.4,4
