atributo,valor
iso3,POL
country_name,Poland
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Poland)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Poland as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.14
oxford_rank,24
oxford_pillar_policy_capacity,96.0
oxford_pillar_ai_infrastructure,64.79
oxford_pillar_governance,85.0
oxford_pillar_public_sector_adoption,74.84
oxford_pillar_development_and_diffusion,47.18
oxford_pillar_resilience,75.73
oxford_dimension_compute_capacity,33.27
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,95.09
oxford_dimension_safety_and_security,95.67
oxford_dimension_ai_sector_maturity,36.11
oxford_dimension_human_capital,52.98
oxford_dimension_data_quality,87.87
oxford_dimension_regulatory_compliance,70.0
oxford_dimension_government_digital_policy,54.59
oxford_dimension_societal_transition,55.79
oxford_dimension_ai_technology_diffusion,56.14
ms_ai_user_share_h1_2025,26.4
ms_ai_user_share_h2_2025,28.5
ms_ai_user_share_change_pp,2.1
fh_country_name,Poland
fh_fh_status,F
fh_fh_total_score,81
fh_fh_pr_score,34
fh_fh_cl_score,47
fh_fh_year,2025
fh_notes,Data year 2024 - upgraded after 2023 elections
gdpr_country_name,Poland
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Personal Data Protection Act
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; UODO enforcement
legal_origin,Socialist
is_common_law,0
wipo_gii_score,37.7080354431444
wipo_gii_rank,39
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,51628.83
wipo_population_thousands,38539.2
wipo_business_environment,17.6293576838079
wipo_business_sophistication,38.0149708146227
wipo_creative_goods_and_services,27.8897786087318
wipo_creative_outputs,38.0556535526162
wipo_credit,20.7427840042045
wipo_ecological_sustainability,17.3674817057492
wipo_education,60.2607572746064
wipo_general_infrastructure,36.9303212910977
wipo_human_capital_and_research,42.6283530177312
wipo_information_and_communication_technologies_icts,83.0131888686202
wipo_infrastructure,45.7703306218224
wipo_innovation_inputs,40.9779049578425
wipo_innovation_linkages,23.136075543187
wipo_innovation_outputs,33.0309335542818
wipo_institutional_environment,58.7132965692685
wipo_institutions,44.9246645477198
wipo_intangible_assets,40.7056987158775
wipo_investment,5.74771831105972
wipo_knowledge_absorption,39.7648335513827
wipo_knowledge_and_technology_outputs,28.0062135559473
wipo_knowledge_creation,23.9654766241817
wipo_knowledge_diffusion,29.9083994822356
wipo_knowledge_impact,30.1447645614247
wipo_knowledge_workers,51.1440033492985
wipo_market_sophistication,33.5512057873163
wipo_online_creativity,42.9214381699783
wipo_regulatory_environment,58.4313393900831
wipo_research_and_development_r_d,34.5096272817137
wipo_tertiary_education,33.1146744968735
wipo_trade_diversification_and_market_scale,74.1631150466849
wb_gdp_per_capita_ppp_2024,51262.5105756884
wb_rd_expenditure_2022,1.45383
wb_internet_penetration_2024,88.585
wb_tertiary_education_2023,76.8794097900391
wb_government_effectiveness_2023,0.421437799930573
wb_regulatory_quality_2023,0.780193567276001
wb_rule_of_law_2023,0.458741247653961
wb_control_of_corruption_2023,0.565399944782257
wb_voice_accountability_2023,0.626450896263123
wb_political_stability_2023,0.559584558010101
wb_gdp_current_usd_2024,917767106146.761
wb_population_2024,36559233.0
wb_labor_force_2024,18269205.0
wb_fdi_net_inflows_2024,20606000000.0
wb_exports_pct_gdp_2024,52.1798133919011
wb_inflation_consumer_prices_2024,3.7842600751287
wb_unemployment_rate_2024,2.807
wb_education_expenditure_pct_gdp_2022,4.31372976303101
wb_mobile_subscriptions_per100_2023,135.146
wb_patent_applications_residents_2021,3377.0
wb_high_tech_exports_pct,9.8529348361967
wb_ict_service_exports_pct,12.2154090728439
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,8
oecd_enforcement_level,none
oecd_thematic_coverage,19
oecd_n_total_initiatives,13
oecd_n_binding,0
oecd_n_nonbinding,13
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,13.05%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.78
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.94%
stanford_fig_4.2.18,110%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.95
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.25,0.3892308860534109
stanford_fig_4.3.12,5
stanford_fig_4.3.13,48
stanford_fig_4.3.8,0.03659772
stanford_fig_4.3.9,0.351180082
stanford_fig_1.2.4,0.057240434
stanford_fig_1.3.3,3
stanford_fig_1.4.6,11/17/16
stanford_fig_6.2.1,0
stanford_fig_6.2.15,13
stanford_fig_6.2.16,23
stanford_fig_6.3.1,55.91825447208751
stanford_fig_6.3.2,136
stanford_fig_6.3.3,170.6330736
stanford_fig_6.3.4,150.1446372
stanford_fig_6.3.5,22.98186890577564
