atributo,valor
iso3,ROU
country_name,Romania
region,Europe
income_group,UM
iapp_jurisdiction_iapp,EU (Romania)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Romania as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,56.73
oxford_rank,57
oxford_pillar_policy_capacity,84.0
oxford_pillar_ai_infrastructure,55.23
oxford_pillar_governance,71.72
oxford_pillar_public_sector_adoption,55.66
oxford_pillar_development_and_diffusion,38.06
oxford_pillar_resilience,59.05
oxford_dimension_compute_capacity,12.56
oxford_dimension_policy_vision,60.0
oxford_dimension_e_government_delivery,82.87
oxford_dimension_safety_and_security,59.67
ms_ai_user_share_h1_2025,15.3
ms_ai_user_share_h2_2025,16.2
ms_ai_user_share_change_pp,0.9
fh_country_name,Romania
fh_fh_status,F
fh_fh_total_score,83
fh_fh_pr_score,35
fh_fh_cl_score,48
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Romania
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Law 190/2018
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; ANSPDCP enforcement
legal_origin,Socialist
is_common_law,0
wipo_gii_score,34.2643558022539
wipo_gii_rank,49
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,47203.73
wipo_population_thousands,19015.09
wipo_business_environment,21.2291430396499
wipo_business_sophistication,31.1205076918701
wipo_creative_goods_and_services,20.2883610839412
wipo_creative_outputs,28.4639619172088
wipo_credit,26.7702510962069
wipo_ecological_sustainability,45.6054843119937
wipo_education,47.2136193409733
wipo_general_infrastructure,32.9721485088783
wipo_human_capital_and_research,30.7862146775579
wipo_information_and_communication_technologies_icts,75.7716068442403
wipo_infrastructure,51.4497465550374
wipo_innovation_inputs,37.5947382221853
wipo_innovation_linkages,20.621962206854
wipo_innovation_outputs,29.2027155273
wipo_institutional_environment,51.9919900641346
wipo_institutions,42.2133490069694
wipo_intangible_assets,30.6033725566631
wipo_investment,3.41718737530486
wipo_knowledge_absorption,37.1656200928051
wipo_knowledge_and_technology_outputs,29.9414691373912
wipo_knowledge_creation,13.1891129728454
wipo_knowledge_diffusion,40.8426889246033
wipo_knowledge_impact,35.7926055147247
wipo_knowledge_workers,35.5739407759513
wipo_market_sophistication,32.4038731794919
wipo_online_creativity,32.3607414715677
wipo_regulatory_environment,53.4189139171237
wipo_research_and_development_r_d,6.65845432776587
wipo_tertiary_education,38.4865703639345
wipo_trade_diversification_and_market_scale,67.024181066964
wb_gdp_per_capita_ppp_2024,49076.5399383138
wb_rd_expenditure_2022,0.45881
wb_internet_penetration_2024,91.2905
wb_tertiary_education_2023,55.1682891845703
wb_government_effectiveness_2023,-0.0926659479737282
wb_regulatory_quality_2023,0.318900614976883
wb_rule_of_law_2023,0.437425792217255
wb_control_of_corruption_2023,0.0404953435063362
wb_voice_accountability_2023,0.503180325031281
wb_political_stability_2023,0.373643964529037
wb_gdp_current_usd_2024,382564217988.866
wb_population_2024,19051804.0
wb_labor_force_2024,8263437.0
wb_fdi_net_inflows_2024,7159113565.92973
wb_exports_pct_gdp_2024,35.6030266999465
wb_inflation_consumer_prices_2024,5.72140574354439
wb_unemployment_rate_2024,5.4
wb_education_expenditure_pct_gdp_2022,3.2788200378418
wb_mobile_subscriptions_per100_2023,123.252
wb_patent_applications_residents_2021,772.0
wb_high_tech_exports_pct,11.0725693077429
wb_ict_service_exports_pct,20.6903260485
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,9
oecd_enforcement_level,none
oecd_thematic_coverage,15
oecd_n_total_initiatives,12
oecd_n_binding,0
oecd_n_nonbinding,12
oecd_n_strategies,0
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,27.31%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.57
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.56%
stanford_fig_4.2.18,148%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.06
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.24,2.90%
stanford_fig_4.2.25,0.0218639616451125
stanford_fig_4.3.12,2
stanford_fig_4.3.13,13
stanford_fig_4.3.8,0.071166738
stanford_fig_4.3.9,0.392566533
stanford_fig_1.2.4,0.031480399
stanford_fig_6.2.1,0
stanford_fig_6.2.15,11
stanford_fig_6.2.16,54
stanford_fig_6.3.1,46.36938885148581
stanford_fig_6.3.2,48
stanford_fig_6.3.3,247.8933548
stanford_fig_6.3.4,242.7632371
stanford_fig_6.3.5,31.12631523548312
